eps,min_samples,labels,n_clusters,n_noise,silhouette,score
0.15,2,"[-1 -1 -1 -1 -1  0  0  0  0 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  1 -1  1  1 -1  2  2 -1 -1 -1  3  3 -1 -1 -1 -1]",4,15,0.15652887538150587,-0.09673556230924707
0.15,3,"[-1 -1 -1 -1 -1  0  0  0  0 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  1 -1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]",2,19,0.10753690111298084,-0.22123154944350953
0.15,4,"[-1 -1 -1 -1 -1  0  0  0  0 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]",1,22,-1.0,-1.05
0.15,5,"[-1 -1 -1 -1 -1  0  0  0  0 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]",1,22,-1.0,-1.05
0.15,6,"[-1 -1 -1 -1 -1  0  0  0  0 -1  0  0  0  0  0  0 -1  0  0  0  0  0  0  0
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]",1,23,-1.0,-1.075
0.2,2,"[-1 -1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  1  2  1  1  2  1  1  1 -1 -1  3  3 -1 -1 -1 -1]",4,10,0.33360488401702865,0.11680244200851433
0.2,3,"[-1 -1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  1 -1  1  1 -1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1]",2,14,0.289203668422657,-0.005398165788671472
0.2,4,"[-1 -1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  1 -1  1  1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]",2,16,0.19554930102431656,-0.10222534948784173
0.2,5,"[-1 -1 -1 -1  0  0  0  0  0 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]",1,21,-1.0,-1.025
0.2,6,"[-1 -1 -1 -1 -1  0  0  0  0 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]",1,22,-1.0,-1.05
0.25,2,"[-1 -1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  1  0  0  1  0  0  0 -1 -1  2  2 -1 -1 -1 -1]",3,10,0.19750347101928692,0.04875173550964346
0.25,3,"[-1 -1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0 -1  0  0 -1  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1]",1,14,-1.0,-0.85
0.25,4,"[-1 -1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0 -1  0  0 -1  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1]",1,14,-1.0,-0.85
0.25,5,"[-1 -1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0 -1  0  0 -1  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1]",1,14,-1.0,-0.85
0.25,6,"[-1 -1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0 -1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]",1,18,-1.0,-0.95
0.3,2,"[-1 -1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  1  0  0  1  0  0  0  2  2  3  3 -1 -1 -1 -1]",4,8,0.2560240893459032,0.1280120446729516
0.3,3,"[-1 -1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0 -1  0  0 -1  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1]",1,14,-1.0,-0.85
0.3,4,"[-1 -1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0 -1  0  0 -1  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1]",1,14,-1.0,-0.85
0.3,5,"[-1 -1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0 -1  0  0 -1  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1]",1,14,-1.0,-0.85
0.3,6,"[-1 -1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0 -1  0  1 -1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1]",2,14,0.24033191174605956,-0.02983404412697019
0.35,2,"[-1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  1  0  0  1  0  0  0  2  2  3  3 -1 -1 -1 -1]",4,7,0.26256949713467576,0.1562847485673379
0.35,3,"[-1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0 -1  0  0 -1  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1]",1,13,-1.0,-0.825
0.35,4,"[-1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0 -1  0  0 -1  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1]",1,13,-1.0,-0.825
0.35,5,"[-1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0 -1  0  0 -1  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1]",1,13,-1.0,-0.825
0.35,6,"[-1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0 -1  0  0 -1  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1]",1,13,-1.0,-0.825
0.4,2,"[-1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  1  0  0  1  0  0  0  2  2  3  3 -1 -1 -1 -1]",4,7,0.26256949713467576,0.1562847485673379
0.4,3,"[-1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0 -1  0  0 -1  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1]",1,13,-1.0,-0.825
0.4,4,"[-1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0 -1  0  0 -1  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1]",1,13,-1.0,-0.825
0.4,5,"[-1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0 -1  0  0 -1  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1]",1,13,-1.0,-0.825
0.4,6,"[-1 -1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0 -1  0  0 -1  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1]",1,13,-1.0,-0.825
0.5,2,"[-1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  1  1 -1 -1 -1 -1]",2,6,0.6059726629717459,0.352986331485873
0.5,3,"[-1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1]",1,8,-1.0,-0.7
0.5,4,"[-1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1]",1,8,-1.0,-0.7
0.5,5,"[-1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1 -1]",1,9,-1.0,-0.725
0.5,6,"[-1 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1 -1]",1,9,-1.0,-0.725
0.6,2,"[-1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  1  1 -1 -1 -1 -1]",2,5,0.6350087217044217,0.39250436085221085
0.6,3,"[-1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1]",1,7,-1.0,-0.675
0.6,4,"[-1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1]",1,7,-1.0,-0.675
0.6,5,"[-1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1]",1,7,-1.0,-0.675
0.6,6,"[-1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1 -1]",1,8,-1.0,-0.7
0.8,2,"[-1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  1  1 -1 -1 -1 -1]",2,5,0.6350087217044217,0.39250436085221085
0.8,3,"[-1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1]",1,7,-1.0,-0.675
0.8,4,"[-1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1]",1,7,-1.0,-0.675
0.8,5,"[-1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1]",1,7,-1.0,-0.675
0.8,6,"[-1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1]",1,7,-1.0,-0.675
1.0,2,"[-1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  1  1  2  2 -1 -1]",3,3,0.6650758797140185,0.45753793985700925
1.0,3,"[-1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1]",1,7,-1.0,-0.675
1.0,4,"[-1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1]",1,7,-1.0,-0.675
1.0,5,"[-1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1]",1,7,-1.0,-0.675
1.0,6,"[-1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1]",1,7,-1.0,-0.675
