표층형,*,*,*,품사태그,의미부류,종성 유무,읽기,*,*,*,*,*
ㄱㄴㄷ順,*,*,*,NNG,*,T,ㄱㄴㄷ순,*,*,*,*,*
ㄱㄴㄷ次例,*,*,*,NNG,*,F,ㄱㄴㄷ차례,*,*,*,*,*
ㄱㄴ順,*,*,*,NNG,*,T,ㄱㄴ순,*,*,*,*,*
ㄱㄴ次例,*,*,*,NNG,*,F,ㄱㄴ차례,*,*,*,*,*
ㄱ字쇠,*,*,*,NNG,*,F,ㄱ자쇠,*,*,*,*,*
ㄱ字자,*,*,*,NNG,*,F,ㄱ자자,*,*,*,*,*
ㄱ字집,*,*,*,NNG,*,T,ㄱ자집,*,*,*,*,*
ㄱ字鏃홈,*,*,*,NNG,*,T,ㄱ자촉홈,*,*,*,*,*
ㄱ字턱솔이음,*,*,*,NNG,*,T,ㄱ자턱솔이음,*,*,*,*,*
ㄱ字턱솔홈,*,*,*,NNG,*,T,ㄱ자턱솔홈,*,*,*,*,*
ㄱ字홈,*,*,*,NNG,*,T,ㄱ자홈,*,*,*,*,*
ㄷ받침變則,*,*,*,NNG,*,T,ㄷ받침변칙,*,*,*,*,*
ㄷ變則,*,*,*,NNG,*,T,ㄷ변칙,*,*,*,*,*
ㄷ變則活用,*,*,*,NNG,*,T,ㄷ변칙활용,*,*,*,*,*
ㄷ不規則用言,*,*,*,NNG,*,T,ㄷ불규칙용언,*,*,*,*,*
ㄷ不規則活用,*,*,*,NNG,*,T,ㄷ불규칙활용,*,*,*,*,*
ㄷ字管,*,*,*,NNG,*,T,ㄷ자관,*,*,*,*,*
ㄷ字집,*,*,*,NNG,*,T,ㄷ자집,*,*,*,*,*
ㄷ字턱솔이음,*,*,*,NNG,*,T,ㄷ자턱솔이음,*,*,*,*,*
ㄷ字形자물쇠,*,*,*,NNG,*,F,ㄷ자형자물쇠,*,*,*,*,*
ㄹ받침變則,*,*,*,NNG,*,T,ㄹ받침변칙,*,*,*,*,*
ㄹ變則,*,*,*,NNG,*,T,ㄹ변칙,*,*,*,*,*
ㄹ變則活用,*,*,*,NNG,*,T,ㄹ변칙활용,*,*,*,*,*
ㄹ不規則用言,*,*,*,NNG,*,T,ㄹ불규칙용언,*,*,*,*,*
ㄹ不規則活用,*,*,*,NNG,*,T,ㄹ불규칙활용,*,*,*,*,*
ㄹ字집,*,*,*,NNG,*,T,ㄹ자집,*,*,*,*,*
ㅁ字집,*,*,*,NNG,*,T,ㅁ자집,*,*,*,*,*
ㅂ받침變則,*,*,*,NNG,*,T,ㅂ받침변칙,*,*,*,*,*
ㅂ變則,*,*,*,NNG,*,T,ㅂ변칙,*,*,*,*,*
ㅂ變則活用,*,*,*,NNG,*,T,ㅂ변칙활용,*,*,*,*,*
ㅂ不規則用言,*,*,*,NNG,*,T,ㅂ불규칙용언,*,*,*,*,*
ㅂ不規則活用,*,*,*,NNG,*,T,ㅂ불규칙활용,*,*,*,*,*
ㅅ받침變則,*,*,*,NNG,*,T,ㅅ받침변칙,*,*,*,*,*
ㅅ變則,*,*,*,NNG,*,T,ㅅ변칙,*,*,*,*,*
ㅅ變則活用,*,*,*,NNG,*,T,ㅅ변칙활용,*,*,*,*,*
ㅅ不規則用言,*,*,*,NNG,*,T,ㅅ불규칙용언,*,*,*,*,*
ㅅ不規則活用,*,*,*,NNG,*,T,ㅅ불규칙활용,*,*,*,*,*
