hanja,hyeonto,cooccur_count,hanja_count,hyeonto_count,pmi
何,오,1560,6499,3014,5.679
乎,아,2396,6463,4769,5.644
乎,잇가,452,6463,932,5.593
何,리오,1347,6499,3504,5.25
至,하여는,497,11075,981,4.879
矣,리라,829,10758,1689,4.875
及,하여는,231,6449,981,4.554
必,하리니,220,6558,944,4.515
故,로,4856,12458,14566,4.106
何,잇가,150,6499,932,3.994
必,리라,244,6558,1689,3.825
月,에,5225,7248,33893,3.774
然,나,1507,10020,8047,3.588
若,면,1450,5781,14789,3.448
矣,로다,488,10758,2978,3.293
安,리오,249,5163,3504,3.146
時,엔,105,7239,1084,3.106
何,며,124,6499,1447,3.085
何,아,358,6499,4769,2.894
將,할새,166,9320,1603,2.838
主,가,332,5573,5488,2.804
於,하여는,292,27629,981,2.793
言,호되,299,14617,2085,2.658
可,아,688,14791,4769,2.65
如,오,293,10036,3014,2.64
則,리라,293,17922,1689,2.639
可,잇가,133,14791,932,2.634
則,하나니,190,17922,1109,2.621
我,로다,147,5179,2978,2.616
必,하나니,69,6558,1109,2.61
世,엔,54,5291,1084,2.599
若,하면,136,5781,2504,2.596
亦,리라,120,7781,1689,2.554
我,하라,62,5179,1321,2.544
年,에,2528,8468,33893,2.503
矣,니라,727,10758,7687,2.5
能,리오,309,10262,3504,2.467
自,로,1530,12604,14566,2.423
亦,잇가,60,7781,932,2.412
是,로,1453,12444,14566,2.367
以,라하여,628,56979,1383,2.358
若,어든,66,5781,1444,2.347
乎,리오,179,6463,3504,2.346
可,니이다,700,14791,5993,2.345
矣,로되,260,10758,3078,2.337
州,라가,106,6854,1969,2.337
十,에,2235,8664,33893,2.292
亦,아,278,7781,4769,2.269
矣,라하니라,98,10758,1217,2.268
下,하사,157,16718,1255,2.267
無,하라,150,15219,1321,2.263
欲,한대,233,6503,4853,2.248
十,와,223,8664,3516,2.236
後,에,1928,7915,33893,2.209
謂,라하여,95,9601,1383,2.203
能,아,350,10262,4769,2.202
亦,니라,426,7781,7687,2.196
州,할새,78,6854,1603,2.191
使,로,1101,10667,14566,2.189
我,라하고,74,5179,2021,2.185
矣,라하고,152,10758,2021,2.169
已,니라,326,6077,7687,2.167
于,하사,67,7677,1255,2.162
可,리라,173,14791,1689,2.156
士,가,217,5742,5488,2.147
于,하다,1157,7677,21901,2.146
皆,러라,205,9513,3158,2.134
將,하리니,60,9320,944,2.133
也,라,25177,55765,66907,2.118
故,라하니라,102,12458,1217,2.114
與,로,1119,11425,14566,2.113
可,니라,764,14791,7687,2.112
未,니이다,282,7071,5993,2.098
時,에,1630,7239,33893,2.096
上,호되,141,10237,2085,2.087
非,니이다,283,7155,5993,2.086
也,니라,2825,55765,7687,2.084
與,잇가,70,11425,932,2.08
非,며,68,7155,1447,2.079
皆,로되,192,9513,3078,2.077
使,한대,338,10667,4853,2.071
在,엔,55,7780,1084,2.069
安,잇가,31,5163,932,2.051
可,로다,283,14791,2978,2.047
于,할새,79,7677,1603,2.046
若,오,111,5781,3014,2.035
有,어든,249,27333,1444,2.021
將,리라,99,9320,1689,2.017
可,며,134,14791,1447,2.01
矣,니이다,399,10758,5993,1.993
此,니이다,510,13827,5993,1.985
以,로,5063,56979,14566,1.973
欲,어늘,391,6503,9884,1.969
也,니이다,2026,55765,5993,1.964
非,면,639,7155,14789,1.958
無,리라,154,15219,1689,1.947
可,라하고,179,14791,2021,1.946
世,하여는,31,5291,981,1.942
者,는,9862,32807,50835,1.928
已,니이다,213,6077,5993,1.912
非,로되,127,7155,3078,1.891
侯,하다,714,5662,21901,1.889
非,요,739,7155,18026,1.882
乃,하다,855,6861,21901,1.872
欲,호되,77,6503,2085,1.869
當,하여는,32,5778,981,1.861
安,아,139,5163,4769,1.861
天,하사,103,14627,1255,1.852
今,엔,48,7896,1084,1.851
欲,러니,246,6503,6767,1.847
則,하리니,94,17922,944,1.838
見,하니라,167,7174,4193,1.837
非,니라,304,7155,7687,1.83
得,리오,218,11263,3504,1.829
我,하리니,27,5179,944,1.829
侯,할새,50,5662,1603,1.825
明,하사,41,5950,1255,1.821
日,에,1101,5927,33893,1.818
未,엔,42,7071,1084,1.818
亦,니이다,255,7781,5993,1.815
使,라도,118,10667,2033,1.808
及,엔,38,6449,1084,1.806
非,아,184,7155,4769,1.795
出,라가,69,6562,1969,1.781
乃,잇가,34,6861,932,1.774
我,아,130,5179,4769,1.76
州,하다,788,6854,21901,1.756
王,이,2656,15787,32454,1.738
言,하면,189,14617,2504,1.732
後,엔,44,7915,1084,1.722
亦,로다,118,7781,2978,1.712
陽,할새,43,5290,1603,1.706
謂,라하니라,59,9601,1217,1.7
爲,라하여,259,37502,1383,1.684
者,를,859,32807,5257,1.68
欲,나,260,6503,8047,1.677
此,잇가,64,13827,932,1.676
今,하면,98,7896,2504,1.673
非,잇가,33,7155,932,1.671
矣,니,962,10758,18067,1.671
