,하여,라,는,하고,하니,에,이,하다,니,요,면,로,어늘,나,니라,러니,니이다,하며,가,를,한대,아,하니라,라하니,와,리오,러라,로되,오,로다,하면,호되,라도,라하고,라가,리라,할새,하시니,며,어든,라하여,하라,하사,라하니라,하나니,엔,하여는,하리니,하니이다,잇가
之,10725,14805,8276,8077,6918,5268,4854,3365,4473,3940,3328,2101,1375,1191,2099,1130,1603,929,1216,1723,1070,929,773,625,1397,826,546,637,579,497,614,269,548,332,228,248,169,424,300,182,163,334,228,308,225,335,209,142,172,199
不,4349,8615,2505,5680,4043,368,824,1226,2180,2396,3043,490,1078,1094,1805,709,1414,1021,293,304,174,1044,484,595,137,489,519,389,252,345,284,59,227,358,158,404,9,183,266,356,216,40,67,169,239,18,48,134,185,211
以,5067,6937,2159,5320,4432,630,790,2240,1713,1826,1675,5063,895,536,1172,722,989,617,294,304,653,487,545,485,202,448,260,284,252,193,366,159,145,265,175,148,78,256,153,96,628,153,58,187,161,42,42,104,127,108
也,330,25177,902,309,344,1036,43,65,4815,3782,158,120,500,263,2825,104,2026,97,73,55,6,193,128,384,47,313,187,319,810,347,11,4,13,405,8,233,2,22,307,39,60,70,12,332,28,142,84,2,26,46
而,4873,8629,3651,4363,5573,1114,1293,1262,2031,1620,2890,496,626,291,1571,475,1104,891,434,491,216,790,511,367,171,376,254,161,265,132,349,89,190,155,140,260,49,294,162,120,82,58,67,145,269,76,61,121,156,169
其,5718,6324,2358,4205,2789,1533,1611,870,1469,1440,1659,651,486,569,934,351,696,599,421,514,268,841,438,251,235,427,177,217,285,405,315,97,150,103,90,215,53,100,153,112,80,145,74,101,134,174,208,84,74,109
爲,4495,4653,1366,3667,2715,686,658,2234,1275,1496,793,214,562,445,658,693,528,292,245,196,329,453,326,350,100,316,248,250,240,118,93,118,81,187,121,111,38,90,150,66,259,99,30,111,59,39,53,62,79,69
者,1439,3780,9862,1126,1122,934,194,142,1029,934,864,359,354,209,565,204,417,173,787,859,66,409,115,162,82,108,202,223,200,59,77,29,135,54,48,64,15,24,72,128,34,18,8,47,34,65,42,28,32,96
人,2911,3333,2532,1791,1678,893,2819,910,1137,939,952,508,482,346,403,273,232,225,233,364,192,288,179,189,168,194,198,230,88,112,103,107,182,90,64,54,35,53,80,83,64,43,33,56,77,53,43,34,18,39
於,3093,3182,909,2494,2424,2983,328,586,784,739,895,131,448,434,487,354,369,285,146,165,236,356,213,123,144,212,73,172,70,70,103,61,103,67,97,90,108,68,65,81,48,15,47,45,101,120,292,67,80,69
