hanja,hyeonto,cooccur_count,hanja_count,hyeonto_count,pmi
何,오,1557,6499,2649,5.863
乎,아,2396,6463,4769,5.644
何,리오,902,6499,2505,5.156
矣,리라,829,10758,1480,5.066
故,로,4829,12458,10552,4.563
然,이나,1472,10020,4758,4.312
矣,로다,488,10758,2035,3.842
月,에,5225,7248,33893,3.774
必,리라,197,6558,1480,3.707
若,면,709,5781,7220,3.45
若,이면,741,5781,7569,3.446
使,으로,596,10667,4014,3.163
安,리오,178,5163,2505,3.146
與,으로,586,11425,4014,3.039
矣,로되,260,10758,1926,3.013
何,아,358,6499,4769,2.894
矣,니라,725,10758,5946,2.866
將,할새,166,9320,1603,2.838
是,로,1430,12444,10552,2.809
主,가,332,5573,5488,2.804
如,오,288,10036,2649,2.801
則,리라,286,17922,1480,2.794
乎,리오,167,6463,2505,2.73
自,으로,518,12604,4014,2.72
者,는,9724,32807,29442,2.695
言,호되,299,14617,2085,2.658
可,아,688,14791,4769,2.65
亦,리라,111,7781,1480,2.633
我,로다,101,5179,2035,2.624
也,라,25115,55765,47501,2.609
若,하면,136,5781,2504,2.596
能,리오,237,10262,2505,2.568
年,이라,1503,8468,19406,2.557
可,니이다,565,14791,4230,2.538
年,에,2528,8468,33893,2.503
已,니라,317,6077,5946,2.497
矣,니이다,396,10758,4230,2.485
者,를,831,32807,2922,2.48
也,니이다,2019,55765,4230,2.461
也,니라,2803,55765,5946,2.443
可,로다,252,14791,2035,2.429
非,니이다,251,7155,4230,2.416
此,니이다,480,13827,4230,2.401
十,과,141,8664,1986,2.398
已,니이다,203,6077,4230,2.345
矣,니,961,10758,11458,2.326
未,니이다,233,7071,4230,2.325
十,에,2235,8664,33893,2.292
自,로,1012,12604,10552,2.291
以,으로,1737,56979,4014,2.289
也,니,4796,55765,11458,2.272
亦,아,278,7781,4769,2.269
可,리라,162,14791,1480,2.251
欲,한대,233,6503,4853,2.248
亦,니라,340,7781,5946,2.241
如,면,531,10036,7220,2.237
可,니라,637,14791,5946,2.22
後,에,1928,7915,33893,2.209
非,로되,99,7155,1926,2.208
能,아,350,10262,4769,2.202
若,오,109,5781,2649,2.195
州,할새,78,6854,1603,2.191
士,가,217,5742,5488,2.147
于,하다,1157,7677,21901,2.146
皆,로되,125,9513,1926,2.134
非,니라,290,7155,5946,2.133
皆,러라,111,9513,1730,2.117
事,를,240,12239,2922,2.11
時,에,1630,7239,33893,2.096
上,호되,141,10237,2085,2.087
使,한대,338,10667,4853,2.071
非,요,487,7155,10441,2.068
也,요,3774,55765,10441,2.06
矣,라하니,140,10758,2008,2.06
陽,으로,137,5290,4014,2.053
于,할새,79,7677,1603,2.046
矣,라,3277,10758,47501,2.045
謂,로다,125,9601,2035,2.041
亦,이니라,86,7781,1741,2.03
亦,로다,100,7781,2035,2.023
欲,나,135,6503,3289,2.022
十,와,82,8664,1530,1.993
欲,이어늘,191,6503,4747,1.993
已,러라,65,6077,1730,1.992
將,리라,85,9320,1480,1.987
非,면,318,7155,7220,1.986
州,러니,145,6854,3446,1.982
矣,러라,113,10758,1730,1.966
欲,어늘,200,6503,5137,1.946
無,리라,134,15219,1480,1.936
欲,러니,133,6503,3446,1.933
非,이면,321,7155,7569,1.931
已,니,412,6077,11458,1.929
此,니라,486,13827,5946,1.927
亦,니이다,194,7781,4230,1.923
二,와,78,8670,1530,1.92
可,라하니,173,14791,2008,1.906
侯,하다,714,5662,21901,1.889
乃,하다,855,6861,21901,1.872
欲,호되,77,6503,2085,1.869
安,아,139,5163,4769,1.861
見,하니라,167,7174,4192,1.837
矣,나,196,10758,3289,1.833
以,로,3326,56979,10552,1.831
侯,할새,50,5662,1603,1.825
日,에,1101,5927,33893,1.818
也,오,809,55765,2649,1.817
夫,와,66,7906,1530,1.812
無,이니이다,146,15219,1763,1.808
必,이니,235,6558,6609,1.803
非,아,184,7155,4769,1.795
可,리오,197,14791,2505,1.774
心,이니이다,50,5358,1763,1.768
我,아,130,5179,4769,1.76
州,하다,788,6854,21901,1.756
欲,이러니,113,6503,3321,1.751
王,이,2656,15787,32454,1.738
可,이니이다,135,14791,1763,1.736
言,하면,189,14617,2504,1.732
心,이면,209,5358,7569,1.729
所,니이다,455,21112,4230,1.713
陽,할새,43,5290,1603,1.706
當,이니,193,5778,6609,1.701
十,이라,849,8664,19406,1.7
我,오,69,5179,2649,1.694
我,라하니,52,5179,2008,1.686
得,리오,141,11263,2505,1.685
今,하면,98,7896,2504,1.673
五,와,43,5675,1530,1.672
矣,요,554,10758,10441,1.666
可,이니라,127,14791,1741,1.666
得,리라,82,11263,1480,1.662
已,요,311,6077,10441,1.657
知,로되,85,9062,1926,1.648
臣,으로,175,8962,4014,1.646
出,할새,51,6562,1603,1.641
三,과,85,8850,1986,1.638
知,나,144,9062,3289,1.636
未,니라,203,7071,5946,1.635
天,하시니,103,14627,1464,1.63
二,에,1411,8670,33893,1.627
心,을,60,5358,2335,1.625
兵,할새,54,7038,1603,1.623
知,니라,258,9062,5946,1.623
年,이요,305,8468,7585,1.611
將,러니,152,9320,3446,1.606
所,니라,594,21112,5946,1.606
臣,니이다,179,8962,4230,1.603
能,면,349,10262,7220,1.6
故,하니라,246,12458,4192,1.6
欲,로되,59,6503,1926,1.6
如,하니라,198,10036,4192,1.598
此,면,468,13827,7220,1.593
非,이요,253,7155,7585,1.585
則,이요,633,17922,7585,1.583
下,하시니,114,16718,1464,1.583
軍,하다,662,6500,21901,1.581
十,이요,305,8664,7585,1.578
民,이니이다,56,6852,1763,1.576
又,리오,79,6808,2505,1.575
我,리오,60,5179,2505,1.573
知,로다,85,9062,2035,1.568
王,과,144,15787,1986,1.563
必,이니이다,53,6558,1763,1.56
得,아,246,11263,4769,1.559
書,와,48,6867,1530,1.555
四,에,917,5932,33893,1.553
無,니이다,293,15219,4230,1.55
此,하니라,263,13827,4192,1.546
已,라하니,55,6077,2008,1.536
使,로,506,10667,10552,1.532
則,니라,478,17922,5946,1.529
知,리오,101,9062,2505,1.517
亦,이니이다,61,7781,1763,1.516
民,을,71,6852,2335,1.513
與,로,533,11425,10552,1.508
太,할새,49,6940,1603,1.503
書,호되,63,6867,2085,1.501
所,를,271,21112,2922,1.499
未,이러니,103,7071,3321,1.497
必,이니라,50,6558,1741,1.494
者,가,787,32807,5488,1.492
非,라,1486,7155,47501,1.492
已,오,70,6077,2649,1.484
知,니이다,166,9062,4230,1.478
不,이니라,446,59177,1741,1.478
將,한대,195,9320,4853,1.472
則,요,807,17922,10441,1.472
亦,러라,58,7781,1730,1.471
皆,호되,85,9513,2085,1.463
是,니라,317,12444,5946,1.463
兵,이어늘,143,7038,4747,1.461
中,으로,183,10651,4014,1.461
太,하다,650,6940,21901,1.46
此,는,1735,13827,29442,1.455
矣,어늘,235,10758,5137,1.452
五,에,815,5675,33893,1.447
是,에,1785,12444,33893,1.445
諸,할새,41,6054,1603,1.443
皆,하니라,168,9513,4192,1.438
與,할새,77,11425,1603,1.436
非,나,99,7155,3289,1.436
及,에,918,6449,33893,1.434
一,이면,365,11484,7569,1.434
有,리오,287,27333,2505,1.431
用,리오,73,6966,2505,1.428
則,이니,495,17922,6609,1.427
可,요,644,14791,10441,1.424
可,이요,466,14791,7585,1.418
不,이니이다,433,59177,1763,1.417
在,이라하니,50,7780,1552,1.414
主,할새,37,5573,1603,1.414
太,과,57,6940,1986,1.412
欲,이나,127,6503,4758,1.401
軍,으로,107,6500,4014,1.4
亦,라,1512,7781,47501,1.396
未,나,95,7071,3289,1.394
從,이러니,76,5608,3321,1.393
出,이어늘,127,6562,4747,1.391
夫,는,949,7906,29442,1.391
用,이니이다,50,6966,1763,1.389
已,로다,50,6077,2035,1.379
用,이니라,49,6966,1741,1.378
未,로되,55,7071,1926,1.378
不,리라,353,59177,1480,1.375
有,나,362,27333,3289,1.373
非,니,329,7155,11458,1.368
可,이니,392,14791,6609,1.367
如,러라,69,10036,1730,1.354
