,라,하고,하여,하니,에,이,는,하야,하다,은,이라,니,로,요,이요,이면,면,이니,니라,하며,가,어늘,한대,아,이나,이어늘,니이다,하니라,으로,러니,이러니,나,를,오,리오,하면,을,호되,로다,라하니,과,로되,이니이다,이니라,러라,할새,이라하니,와,리라,하시니
之,12146,8077,6518,6918,5268,4854,5038,4207,3365,3239,2659,3050,1283,2553,1387,1179,2149,1423,1863,929,1216,1008,1070,929,505,367,1294,773,818,898,232,713,957,527,731,614,766,269,406,448,749,461,309,236,452,169,177,648,235,424
不,5790,5680,2550,4043,368,824,1672,1799,1226,833,2825,1229,351,1252,1144,1759,1284,951,1359,1021,293,544,174,1044,637,534,981,484,139,305,404,490,194,194,339,284,110,59,245,334,78,242,433,446,260,9,261,59,353,183
以,4982,5320,2989,4432,630,790,1551,2078,2240,608,1955,1035,3326,1044,782,809,866,678,922,617,294,496,653,487,295,399,689,545,1737,398,324,251,200,220,329,366,104,159,131,255,127,176,300,250,149,78,230,75,126,256
也,25115,309,127,344,1036,43,688,203,65,214,62,4796,120,3774,9,12,146,19,2803,97,73,496,6,193,13,4,2019,128,0,103,1,253,49,809,308,11,6,4,338,379,2,316,7,22,185,2,5,45,231,22
而,6499,4363,2646,5573,1114,1293,2559,2227,1262,1092,2130,1368,362,1083,537,1426,1464,663,1284,891,434,346,216,790,140,280,808,511,134,276,199,156,311,249,302,349,180,89,103,231,96,105,296,287,170,49,136,75,254,294
其,4625,4205,3316,2789,1533,1611,1593,2402,870,765,1699,929,397,870,570,863,796,540,754,599,421,281,268,841,318,205,486,438,254,187,164,258,286,263,358,315,228,97,287,153,132,143,210,180,116,53,98,103,196,100
爲,3153,3667,2737,2715,686,658,980,1758,2234,386,1500,735,181,794,702,379,414,540,517,292,245,309,329,453,247,253,374,326,33,375,318,204,133,189,256,93,63,118,89,192,55,157,154,141,134,38,158,45,100,90
者,3302,1126,803,1122,934,194,9724,636,142,138,478,884,325,668,266,157,707,145,520,173,787,271,66,409,61,83,383,115,34,160,44,155,831,193,97,77,28,29,58,123,18,187,34,45,123,15,39,64,57,24
人,2084,1791,1678,1678,893,2819,949,1233,910,1583,1249,548,182,378,561,600,352,589,296,225,233,220,192,288,231,262,153,179,326,99,174,126,140,69,119,103,224,107,64,87,124,129,79,107,67,35,102,44,46,53
於,2291,2494,1719,2424,2983,328,677,1374,586,232,891,470,112,402,337,470,425,314,369,285,146,229,236,356,233,219,234,213,19,178,176,211,116,52,161,103,49,61,58,84,77,111,135,118,50,108,39,67,85,68
子,1582,1685,1346,1547,1094,943,1819,1211,1250,506,423,418,349,327,157,164,318,191,242,112,364,183,370,243,109,139,74,150,180,172,147,137,108,101,80,47,84,69,122,124,60,96,25,41,29,77,56,69,45,133
有,2510,1949,1288,2845,790,422,671,947,275,273,1186,598,135,489,339,682,777,327,402,407,198,349,91,380,366,258,303,255,46,154,163,362,140,39,287,105,51,105,100,106,79,184,97,92,68,11,99,79,105,73
曰,505,134,68,110,159,567,322,45,31,169,406,174,25,277,267,29,31,190,47,19,341,19,7,52,29,13,21,13,7,3,8,34,11,49,17,8,6,14,13,123,19,8,16,21,1,0,104,15,1,6
所,3221,980,943,932,476,584,1507,599,115,482,730,842,152,710,427,310,289,442,594,120,254,175,44,181,143,119,455,77,94,53,67,139,271,49,119,83,167,25,63,66,82,101,105,82,51,9,34,95,56,27
則,2481,1988,934,726,284,676,387,479,22,219,783,769,75,807,633,38,30,495,478,189,178,124,3,122,116,44,195,42,38,13,12,116,184,79,116,10,165,12,39,114,42,40,112,108,28,2,73,39,286,21
下,1225,1213,1322,1272,708,520,1072,800,223,302,361,354,272,264,137,185,228,147,198,158,223,184,77,119,74,69,232,117,82,105,48,126,158,34,67,79,72,48,25,59,44,75,60,54,48,23,19,48,51,114
大,1473,1314,1426,1117,445,836,665,745,877,406,458,347,137,328,230,148,172,161,144,115,199,149,111,85,84,114,93,132,126,64,63,94,87,27,40,49,53,46,40,52,61,61,37,35,41,58,33,78,37,35
王,749,1066,1175,708,770,2656,364,492,906,569,315,175,192,119,110,101,77,79,69,49,129,119,185,59,62,128,49,57,233,66,90,35,36,28,21,33,55,31,16,36,144,25,16,16,9,49,54,61,6,71
無,1622,1301,765,1282,132,140,329,473,130,128,685,290,90,359,325,328,313,220,301,260,65,127,26,230,151,103,293,131,32,88,54,153,58,39,61,43,25,18,70,92,19,81,146,89,98,3,51,23,134,29
公,607,1026,547,923,731,1340,282,979,1246,528,320,134,157,141,128,98,70,84,61,52,88,79,200,74,63,86,29,83,121,103,85,51,40,27,23,28,48,57,46,38,57,43,13,18,38,67,44,35,23,30
可,2389,449,313,417,78,87,289,217,98,65,632,596,68,644,466,118,160,392,637,57,47,145,25,688,114,62,565,38,23,38,24,180,61,87,197,13,20,15,252,173,13,104,135,127,32,4,70,16,162,13
天,1166,1044,1005,781,718,661,741,676,143,363,399,376,181,321,229,164,184,164,189,126,206,143,37,151,83,86,185,61,107,62,36,109,142,20,68,43,79,30,28,63,47,65,69,60,16,20,44,49,46,103
言,1439,775,790,774,370,682,616,385,104,467,552,203,73,219,234,282,176,173,123,109,99,72,111,102,170,110,55,121,73,43,61,94,59,65,30,189,95,299,37,43,24,36,43,43,22,7,58,13,26,45
此,1911,312,443,782,329,260,1735,308,20,468,269,339,153,308,119,140,468,138,486,23,78,140,15,149,46,31,480,263,33,26,3,87,67,94,114,126,61,11,50,75,6,61,30,36,59,3,17,6,50,50
自,964,884,1000,798,199,293,265,666,514,125,388,234,1012,199,148,183,147,155,147,79,64,130,74,98,78,126,103,90,518,66,76,59,40,38,37,56,33,46,24,47,14,28,44,52,45,40,40,13,55,22
故,1267,526,389,496,270,259,188,288,233,75,668,160,4829,152,109,55,70,108,130,45,60,39,78,28,43,16,90,246,28,38,31,49,40,73,14,15,29,5,8,51,13,19,13,26,29,8,30,20,2,12
是,1675,367,631,337,1785,198,523,299,149,43,342,421,1430,345,155,83,258,187,317,40,65,74,4,158,30,35,117,101,23,22,18,59,34,66,66,30,14,9,58,61,13,45,21,52,21,8,20,12,26,25
事,1182,983,772,848,613,190,661,632,361,101,237,322,145,262,75,147,251,88,99,120,124,134,109,95,59,27,126,107,27,113,47,118,240,50,59,78,35,35,23,39,26,55,26,20,43,32,20,47,18,32
一,771,719,526,662,968,279,213,504,118,303,499,253,98,241,262,365,211,248,151,65,64,62,27,66,84,87,107,67,89,38,38,64,50,18,37,106,52,25,11,27,64,47,34,43,25,2,25,25,16,22
與,679,745,689,857,277,383,358,541,332,190,423,172,533,132,83,112,163,98,112,87,110,83,95,161,74,61,72,79,586,122,121,44,59,39,82,37,34,46,28,35,40,40,33,39,39,77,26,43,22,34
