x,y,boundary_type,cluster_id
7.007832,-3.928752,Sentence,1
6.8256197,-1.3651973,Sentence,2
4.2420297,-1.4729269,Sentence,2
7.0459304,-1.7952644,Sentence,0
7.8556933,-3.9840636,Sentence,1
8.743233,-3.4356546,Sentence,2
10.399712,-0.899988,Sentence,2
7.329735,-2.4830945,Sentence,2
10.815152,-0.6870444,Sentence,0
6.1942267,-4.1647186,Sentence,2
10.289651,-1.1831976,Sentence,1
8.3387785,-4.58366,Sentence,1
7.279325,-0.62325966,Sentence,0
10.748117,-1.9080212,Sentence,1
11.23507,-5.1488037,Sentence,2
9.001433,-1.8126884,Sentence,1
6.9437103,-3.847859,Sentence,1
9.2128725,-5.7443733,Sentence,2
10.479625,-2.257175,Sentence,1
5.9259644,-3.6119697,Sentence,1
8.740729,-5.26541,Sentence,2
10.113661,-2.2814178,Sentence,2
6.492675,-0.15018749,Sentence,0
10.207695,-2.5592399,Sentence,1
9.421947,-3.884902,Sentence,2
6.4316897,-0.75639707,Sentence,0
9.488906,-1.0057445,Sentence,0
10.192229,-3.3858328,Sentence,2
8.218247,-2.750981,Sentence,1
8.385074,-4.3581996,Sentence,2
6.4492116,-2.960993,Sentence,1
9.260194,-0.7643958,Sentence,0
10.183219,2.5997217,Sentence,0
7.9080195,-4.688677,Sentence,2
6.1316433,-2.4502826,Sentence,1
9.761486,-2.427668,Sentence,1
10.804704,-1.713356,Sentence,0
4.9160156,-1.6822048,Sentence,0
6.7882295,-1.3616941,Sentence,0
7.367061,0.029060025,Sentence,0
7.1357937,0.3329313,Sentence,0
7.430805,0.464078,Sentence,0
8.034122,-0.4942434,Sentence,0
9.974097,-2.340009,Sentence,1
7.933151,-3.699284,Sentence,1
7.092814,-2.678437,Sentence,1
8.752711,-5.1269917,Sentence,2
6.6690307,-3.9804907,Sentence,1
9.846014,-2.4346676,Sentence,1
10.378081,-2.4507353,Sentence,1
8.069453,-4.696633,Sentence,1
9.005009,-2.2169569,Sentence,0
9.145296,-3.0440915,Sentence,2
4.8138404,-0.6689052,Sentence,0
8.015643,-3.9212682,Sentence,2
8.792624,-3.449913,Sentence,1
7.355765,-3.7464864,Sentence,1
4.3469787,-2.4937093,Sentence,0
9.217932,-4.1548247,Sentence,2
6.396174,-4.800475,Sentence,2
7.6568284,-0.81219256,Sentence,0
8.682961,-3.3757484,Sentence,2
6.1080437,-1.6258212,Sentence,0
6.892703,-3.8946648,Sentence,1
8.698991,-4.9730177,Sentence,2
8.000735,-4.1148076,Sentence,1
7.374086,-2.8885198,Sentence,2
9.214825,-5.2459707,Sentence,2
6.4611945,-1.773876,Sentence,0
9.994783,-2.57244,Sentence,1
4.4355745,-1.2079679,Sentence,0
7.5015206,-1.9597954,Sentence,2
8.481103,-4.955422,Sentence,2
11.860806,-3.2192566,Sentence,0
8.635495,-4.3274617,Sentence,2
4.5032663,-1.4047508,Sentence,0
9.783749,1.9393666,Sentence,0
6.8930044,-3.5747986,Sentence,1
7.633514,-2.5491502,Sentence,2
7.3306513,-4.076882,Sentence,1
9.071598,-2.825893,Sentence,2
5.612404,-2.8042698,Sentence,2
4.372401,-1.5380338,Sentence,0
7.325668,-2.841405,Sentence,1
9.592111,-4.785576,Sentence,2
7.416071,-0.64534265,Sentence,0
7.9407964,-3.241189,Sentence,0
7.082952,-1.1543641,Sentence,0
9.276446,-1.242062,Sentence,0
7.472368,-2.1813986,Sentence,0
6.6112,-0.15536247,Sentence,0
7.4866533,-0.83700716,Sentence,0
6.727108,-3.805646,Sentence,1
9.503531,-4.3235707,Sentence,2
7.176872,-4.490097,Sentence,1
6.370875,-3.6202352,Sentence,1
8.389161,-5.740971,Sentence,2
9.625438,-5.4074,Sentence,2
7.991444,-2.9902606,Sentence,1
8.834767,-4.6497917,Sentence,2
8.074273,-2.7293065,Sentence,0
10.3426485,-4.7979946,Sentence,2
6.9045196,-4.049729,Sentence,1
9.029445,-5.2190657,Sentence,2
7.899442,-4.757535,Sentence,1
6.8101196,-4.0701127,Sentence,1
9.295284,-4.755179,Sentence,2
8.244337,-2.7903464,Sentence,1
7.4871483,-4.2870393,Sentence,1
10.38317,-4.6201363,Sentence,2
7.4673376,-4.564036,Sentence,1
4.196632,-1.5356499,Sentence,0
6.8060236,-4.2202334,Sentence,1
6.931107,-2.735221,Sentence,0
9.898816,-3.783491,Sentence,2
8.843444,-3.3811216,Sentence,1
7.9717116,-3.698916,Sentence,1
6.9072356,-4.074919,Sentence,0
6.7462864,-4.0141344,Sentence,1
7.407138,-3.6718192,Sentence,1
8.943634,-5.2028017,Sentence,2
8.434452,-2.9823549,Sentence,1
