x,y,boundary_type,cluster_id,z
12.205057,-7.8545833,Sentence,1,9.15382
11.410065,-6.448838,Sentence,2,8.160956
13.603459,-4.2697263,Sentence,2,8.720439
11.525203,-6.887206,Sentence,0,7.5606456
11.443384,-8.518873,Sentence,1,9.237316
11.444831,-7.3220453,Sentence,2,9.606821
9.700098,-8.0582905,Sentence,2,8.425027
12.7771,-5.905017,Sentence,2,8.986373
9.3747425,-8.197129,Sentence,0,7.966842
13.047749,-6.72513,Sentence,2,9.554609
9.729443,-8.323783,Sentence,1,8.799955
11.93855,-8.107049,Sentence,1,10.067277
11.509263,-5.8387704,Sentence,0,7.519726
10.156554,-8.828039,Sentence,1,8.789408
11.78879,-4.646086,Sentence,2,11.206104
10.404968,-6.2081647,Sentence,1,9.481551
11.796935,-8.2196245,Sentence,1,8.398734
12.924049,-6.427968,Sentence,2,10.667027
10.504203,-8.697696,Sentence,1,8.428306
12.16071,-8.359697,Sentence,1,7.5991826
12.91121,-6.6805997,Sentence,2,10.1444845
10.3736105,-8.167058,Sentence,2,9.015501
10.208432,-5.1045594,Sentence,0,7.8839736
10.862811,-8.523275,Sentence,1,9.230038
12.028033,-5.958017,Sentence,2,10.057368
11.816649,-5.4546237,Sentence,0,7.5085006
10.014335,-7.058278,Sentence,0,8.692311
10.974673,-5.7393613,Sentence,2,9.893189
11.220359,-7.858646,Sentence,1,8.655575
12.18845,-7.037097,Sentence,2,9.715631
12.580577,-7.443155,Sentence,1,7.908566
11.002036,-7.7640634,Sentence,0,7.375425
7.7458158,-3.9146812,Sentence,0,7.22914
12.706995,-5.589958,Sentence,2,8.845369
12.715458,-7.62493,Sentence,1,8.928952
11.007055,-8.385283,Sentence,1,8.636558
9.971058,-8.854684,Sentence,0,8.5216675
13.455474,-4.874304,Sentence,0,8.599816
11.782096,-5.912751,Sentence,0,8.031347
10.998269,-5.6910295,Sentence,0,7.0652924
10.983749,-5.244766,Sentence,0,6.956967
10.85771,-5.490202,Sentence,0,6.7918406
10.255194,-6.1707177,Sentence,0,8.2789345
10.328281,-6.0408344,Sentence,1,9.144198
12.045802,-8.067826,Sentence,1,9.345111
11.556959,-7.510646,Sentence,1,7.6214495
12.7168665,-7.040388,Sentence,2,10.442058
12.583914,-8.147976,Sentence,1,8.537305
11.003146,-8.647793,Sentence,1,8.487722
10.963891,-8.858186,Sentence,1,8.562037
12.54191,-8.32604,Sentence,1,9.761174
10.779381,-6.8126197,Sentence,0,9.495189
11.133659,-5.9492683,Sentence,2,9.648636
13.117593,-4.5716357,Sentence,0,7.3728514
12.368242,-7.3935943,Sentence,2,9.521513
11.285923,-8.813076,Sentence,1,9.163684
11.868778,-8.650392,Sentence,1,8.75007
14.306848,-5.192287,Sentence,0,7.9033957
12.286338,-6.1859713,Sentence,2,9.746508
13.326103,-8.337752,Sentence,2,8.988966
11.49844,-5.7654386,Sentence,0,7.4316645
11.514849,-6.707322,Sentence,2,9.760573
12.568569,-6.2764215,Sentence,0,7.1721897
12.3979,-7.6518064,Sentence,1,8.3734865
12.515882,-7.219957,Sentence,2,10.223488
11.803558,-8.533796,Sentence,1,9.68658
12.602994,-6.1259594,Sentence,2,9.324358
12.408309,-6.920775,Sentence,2,10.867009
