cluster_id,book_name,paragraph_id,left_sentence_id,right_sentence_id,src_left,src_right,tgt_left,tgt_right,marker_left,marker_right,marker_normalized,cluster_size
3,자치통감강목6,10,19,20,"放, 安世四世孫也.","放父臨, 尙元帝妹敬武公主, 生放, 放爲侍中ㆍ中郞將, 娶許皇后女弟.",장방(張放)은 장안세(張安世)의 4대손이다.,"장방의 아버지 장림(張臨)이 원제(元帝)의 누이동생인 경무공주(敬武公主)에게 장가들어 장방을 낳았는데, 장방은 시중(侍中)과 중랑장(中郞將)의 관직을 제수받고 허황후(許皇后)의 여동생에게 장가들었다.",,ㆍ,ㆍ,25173
3,자치통감강목6,722,1601,1602,"延登, 延入而登殿也.","漢舊儀 “丞相ㆍ御史大夫初拜, 皇帝延登親詔也. ”",“연등(延登)”은 맞아 들여서 궁전으로 올라오게 하는 것이다.,≪한구의(漢舊儀)≫에 “승상(丞相)과 어사대부(御史大夫)를 처음 임명할 적에 황제(皇帝)가 맞이하여 궁전에 오르게 하고 직접 명했다. ” 하였다. ,,ㆍ,ㆍ,25173
3,자치통감강목6,722,1602,1603,"漢舊儀 “丞相ㆍ御史大夫初拜, 皇帝延登親詔也. ”","續漢志 “給事黃門侍郞, 六百石, 掌侍從左右.",≪한구의(漢舊儀)≫에 “승상(丞相)과 어사대부(御史大夫)를 처음 임명할 적에 황제(皇帝)가 맞이하여 궁전에 오르게 하고 직접 명했다. ” 하였다. ,≪속한지(續漢志)≫에 “급사황문시랑(給事黃門侍郞)은 육백석(六百石)이니 황제의 좌우에서 시종하는 일을 관장하였다.,ㆍ,,ㆍ,25173
3,자치통감강목6,997,2230,2231,"屢誅大臣, 謂殺朱博ㆍ王嘉等.","則武宣, 謂以武帝ㆍ宣帝爲法則也.",“누주대신(屢誅大臣)”은 주박(朱博)과 왕가(王嘉) 등을 죽인 것을 이른다.,“칙무선(則武宣)”은 무제(武帝)와 선제(宣帝)를 본받음을 이른다.,ㆍ,ㆍ,ㆍ,25173
3,자치통감강목6,1012,2259,2260,"舜, 莽之從弟.","使持節者, 奉使而持節也, 魏晉以下, 遂以爲官稱.",왕순(王舜)은 왕망(王莽)의 종제(從弟)이다.,"“사지절(使持節)”은 사명(使命)을 받들고 부절(符節)을 가지고 간 것이니,  위(魏)ㆍ진시대(晉時代) 이하에서는 마침내 사지절(使持節)을 관명으로 삼았다.",,,,25173
3,자치통감강목6,1123,2459,2460,莽이 欲以女配帝하여 以固其權하여 奏言호되 長秋宮未建하고 掖廷媵未充하니,請考論五經하여 定取后禮하고 正十二女之義하여 以廣繼嗣하며 博采二王後及周公孔子世와 列侯在長安者適子女니이다,"왕망(王莽)이 자신의 딸을 황제의 배필로 삼아서 자신의 권력을 견고히 하고자 하여 아뢰기를 “장추궁(長秋宮)의 황후를 아직 세우지 못하였고 액정(掖庭)의 잉첩(媵妾) 수를 채우지 못했으니,","오경(五經)을 상고하고 의논하여 황후를 맞이하는 예(禮)를 정하고 열두 여자를 취하는 뜻을 바로잡아 계사(繼嗣)를 많이 두며 은(殷)ㆍ주(周) 두 나라 왕(王)의 후손과 주공(周公)ㆍ공자(孔子)의 후세(後世), 장안(長安)에 있는 열후(列侯)의 적처(嫡妻)의 딸들을 널리 채택하기를 바랍니다. ” 하였다. ","가,하여,하여,호되,하고,하니","하여,하고,하여,하며,와,니이다",하니,25173
3,자치통감강목6,1123,2460,2461,請考論五經하여 定取后禮하고 正十二女之義하여 以廣繼嗣하며 博采二王後及周公孔子世와 列侯在長安者適子女니이다,事下有司하여 上衆女名하니 王氏女多在選中이라,"오경(五經)을 상고하고 의논하여 황후를 맞이하는 예(禮)를 정하고 열두 여자를 취하는 뜻을 바로잡아 계사(繼嗣)를 많이 두며 은(殷)ㆍ주(周) 두 나라 왕(王)의 후손과 주공(周公)ㆍ공자(孔子)의 후세(後世), 장안(長安)에 있는 열후(列侯)의 적처(嫡妻)의 딸들을 널리 채택하기를 바랍니다. ” 하였다. ","이 일을 유사(有司)에게 회부하여 많은 여자들의 이름을 올리게 하니, 선택된 여자들 중에 왕씨(王氏)의 딸들이 많이 끼어 있었다.","하여,하고,하여,하며,와,니이다","하여,하니,라",니이다,25173
3,자치통감강목6,1140,2498,2499,"何武不擧莽爲大司馬, 鮑宣素有彊項名. 王商與王鳳不協, 爲所擠陷, 忿毒而死, 其子安不附王氏.","辛慶忌本王鳳所成, 莽見其三子通ㆍ遵ㆍ茂皆能, 欲親厚之.","하무(何武)는 왕망(王莽)을 대사마(大司馬)로 천거하지 않았고, 포선(鮑宣)은 평소 강직하다는 명성이 있었고, 왕상(王商)은 왕봉(王鳳)과 화합하지 못하고 왕봉에게 배척당하여 분노와 한을 품고 죽으니, 그의 아들 왕안(王安)이 왕씨(王氏)를 따르지 않았다.","신경기(辛慶忌)는 본래 왕봉이 키워준 사람인데, 왕망은 그의 세 아들인 신통(辛通)ㆍ신준(辛遵)ㆍ신무(辛茂)가 모두 유능함을 보고는 이들과 친하고자 하였다.",,"ㆍ,ㆍ",ㆍ,25173
3,자치통감강목6,1140,2499,2500,"辛慶忌本王鳳所成, 莽見其三子通ㆍ遵ㆍ茂皆能, 欲親厚之.","辛茂自以名臣子孫, 兄弟竝顯列, 不宜附莽, 又不甚詘事甄豐ㆍ甄邯.","신경기(辛慶忌)는 본래 왕봉이 키워준 사람인데, 왕망은 그의 세 아들인 신통(辛通)ㆍ신준(辛遵)ㆍ신무(辛茂)가 모두 유능함을 보고는 이들과 친하고자 하였다.","그러나 신무는 본래 명신(名臣)의 자손으로 형제가 모두 현달한 지위에 있으니 왕망에게 붙어서는 안 된다고 생각하였고,  또 몸을 굽혀 견풍(甄豐)과 진감(甄邯)을 공손히 섬기지 않았다.","ㆍ,ㆍ",ㆍ,ㆍ,25173
3,자치통감강목6,1153,2521,2522,"新息ㆍ召陵二縣, 屬汝南郡.","續漢志 “南陽郡新野縣, 有東鄕, 故新都, 王莽所封也.",신식(新息)과 소릉(召陵) 두 현(縣)은 여남군(汝南郡)에 속하였다.,"≪속한지(續漢志)≫에 “남양군(南陽郡) 신야현(新野縣)에 동향(東鄕)이 있으니, 옛 신도국(新都國)으로 왕망(王莽)을 봉한 곳이다.",ㆍ,,ㆍ,25173
3,자치통감강목6,1197,2615,2616,"成帝建始元年, 罷甘泉泰畤ㆍ汾陰后土祠, 作長安南北郊, 永始三年, 復甘泉ㆍ汾陰,","成帝崩, 皇太后詔復長安南北郊, 哀帝建平三年, 復甘泉ㆍ汾陰, 今又復南北郊, 是五徙也.",성제(成帝) 건시(建始) 원년에 감천(甘泉)의 태치(泰畤)와 분음(汾陰)의 후토사(后土祠)를 파하고 장안(長安)의 남교(南郊)와 북교(北郊)를 만들었다가 영시(永始) 3년에 감천과 분음을 회복하였다.,"성제(成帝)가 붕(崩)하자 황태후가 조령(詔令)을 내려 장안의 남교와 북교를 회복하였고, 애제(哀帝) 건평(建平) 3년에 감천과 분음을 회복하였는데, 지금 다시 남교와 북교를 회복하니, 이것이 다섯 번 바꾼 것이다.","ㆍ,ㆍ",ㆍ,ㆍ,25173
3,자치통감강목6,1277,2786,2787,"嚴鄕國, 蓋在東郡.","信ㆍ璜, 皆東平煬王雲之子也.",엄향국(嚴鄕國)은 동군(東郡)에 있었다.,유신(劉信)과 유황(劉璜)은 모두 동평양왕(東平煬王) 유운(劉雲)의 아들이다.,,ㆍ,ㆍ,25173
