kind,name,x,y,count
parent,p0,-3.3762143,18.170658,61532.0
parent,p1,-4.4592,19.65951,53926.0
parent,p2,0.12989464,16.158422,26572.0
parent,p3,-1.4363936,19.34821,100590.0
parent,p4,-0.99665713,19.317915,92815.0
parent,p5,-2.0284765,15.949403,55096.0
parent,p6,-5.2297425,19.254795,28738.0
parent,p7,-1.52377,19.237543,71005.0
parent,p8,-2.7153733,15.768221,51136.0
parent,p9,-4.519604,19.690159,41412.0
parent,p10,-5.15378,18.952133,46719.0
parent,p11,0.043710466,17.217505,85522.0
parent,p12,1.6406195,17.963852,81478.0
parent,p13,-0.8590852,17.340366,59105.0
parent,p14,-4.9671106,19.530361,22598.0
parent,p15,-1.8252993,17.3703,82230.0
marker,라,-1.5839968,19.222084,163963.0
marker,는,-1.3916198,19.520224,143487.0
marker,하여,-1.9108624,18.81993,58975.0
marker,하고,-2.573197,18.76682,55696.0
marker,하니,-2.4904878,18.951132,52327.0
marker,니,-1.2373888,19.548891,45777.0
marker,요,-1.3627807,19.578594,43920.0
marker,가,-2.6693456,18.495644,43194.0
marker,에,-3.1800718,19.18419,41654.0
marker,면,-0.71100503,18.67817,30658.0
marker,하야,-4.2800436,19.173578,28587.0
marker,로,-1.1520888,18.784931,27792.0
marker,니라,0.5914241,17.983578,15771.0
marker,나,-0.37040833,18.309515,15567.0
marker,하며,-1.0207236,17.841074,10484.0
marker,어늘,-4.0683837,18.600767,10462.0
marker,하다,-4.9942107,19.701508,9850.0
marker,를,-0.85263234,18.415257,9620.0
marker,아,0.17622085,16.992598,8896.0
marker,라하니,-2.3614163,19.048462,7309.0
marker,니이다,-2.16453,15.753779,6461.0
marker,리오,-0.2532163,17.890064,6316.0
marker,하니라,-3.6906612,19.447008,6150.0
marker,러니,-4.58761,19.717329,5475.0
marker,로되,-1.5088149,18.762955,5164.0
marker,와,-2.0426211,18.0862,5019.0
marker,한대,-4.710023,19.189762,4268.0
marker,오,-3.3880196,17.50377,4140.0
marker,하면,-1.4564857,19.032953,3971.0
marker,하시니,1.0975863,18.498604,3882.0
marker,라도,-0.5568761,17.85539,3541.0
marker,하나니,-0.7618476,19.095617,2845.0
marker,리라,-0.46798074,18.667124,2670.0
marker,며,-1.1460483,19.050526,2639.0
marker,라하고,-4.1692715,19.248655,2603.0
marker,어든,-0.78741825,17.717392,2529.0
marker,라하니라,-2.1087003,19.268679,2400.0
marker,로다,0.38414946,16.43022,2281.0
marker,엔,-1.1915767,18.407808,2172.0
