marker,total_count,entropy,normalized_entropy,interpretation
라,79310,3.802,0.951,범용
는,62805,3.643,0.911,범용
하고,40828,3.858,0.965,범용
하니,34332,3.883,0.971,범용
하여,30844,3.85,0.962,범용
하야,28587,3.588,0.897,범용
에,27299,3.844,0.961,범용
가,26011,3.825,0.956,범용
니,21649,3.768,0.942,범용
요,20883,3.769,0.942,범용
면,16605,3.548,0.887,범용
로,14416,3.853,0.963,범용
하다,9623,2.919,0.73,범용
나,8732,3.711,0.928,범용
어늘,7344,3.677,0.919,범용
니라,6886,3.608,0.902,범용
니이다,6023,3.306,0.826,범용
하며,5913,3.765,0.941,범용
를,5265,3.767,0.942,범용
아,5192,3.62,0.905,범용
러니,4186,3.364,0.841,범용
라하니,4086,3.882,0.97,범용
하니라,4047,3.736,0.934,범용
리오,3627,3.508,0.877,범용
와,3314,3.771,0.943,범용
한대,3273,3.021,0.755,범용
오,3239,3.782,0.946,범용
로되,3176,3.79,0.947,범용
하면,2327,3.56,0.89,범용
라도,2257,3.452,0.863,범용
라하고,1874,3.702,0.925,범용
라가,1769,3.391,0.848,범용
하시니,1535,3.458,0.864,범용
리라,1522,3.584,0.896,범용
며,1407,3.774,0.944,범용
라하니라,1387,3.91,0.977,범용
어든,1354,3.57,0.892,범용
로다,1349,3.65,0.913,범용
호되,1340,3.584,0.896,범용
러라,1299,3.32,0.83,범용
하나니,1269,3.305,0.826,범용
엔,1259,3.561,0.89,범용
하라,1188,3.316,0.829,범용
하사,1065,3.365,0.841,범용
할새,1037,3.176,0.794,범용
도,1004,3.721,0.93,범용
잇가,985,3.317,0.829,범용
하니이다,984,3.432,0.858,범용
어니와,914,3.57,0.892,범용
하되,902,3.564,0.891,범용
