,total,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
라,79310,4152.0,4621.0,3349.0,14100.0,6832.0,4116.0,2006.0,7860.0,3686.0,3356.0,2692.0,6812.0,3524.0,4550.0,2198.0,5456.0
는,62805,3511.0,2445.0,1254.0,14454.0,6285.0,4217.0,858.0,5858.0,2459.0,2021.0,1315.0,4188.0,3712.0,3956.0,1754.0,4518.0
하고,40828,3137.0,4482.0,1581.0,514.0,2079.0,2922.0,2523.0,1854.0,3968.0,2905.0,3289.0,2346.0,1449.0,2363.0,1126.0,4290.0
하니,34332,2761.0,3471.0,1381.0,704.0,1581.0,1876.0,2184.0,3000.0,2606.0,2346.0,3728.0,2130.0,1361.0,1581.0,923.0,2699.0
하여,30844,2636.0,2674.0,1374.0,560.0,2087.0,1743.0,1373.0,2538.0,2906.0,2146.0,1932.0,2248.0,1144.0,1334.0,444.0,3705.0
하야,28587,2085.0,4606.0,986.0,90.0,369.0,1787.0,2243.0,121.0,2922.0,2933.0,3838.0,1380.0,728.0,1157.0,663.0,2679.0
에,27299,2178.0,3973.0,1055.0,488.0,966.0,1776.0,2455.0,858.0,1935.0,2549.0,1954.0,1222.0,1194.0,1625.0,1211.0,1860.0
가,26011,2719.0,2669.0,712.0,345.0,1364.0,1675.0,1506.0,1049.0,1995.0,1669.0,2970.0,1398.0,1291.0,1414.0,528.0,2707.0
니,21649,1016.0,798.0,358.0,2478.0,2553.0,1458.0,298.0,2683.0,1261.0,625.0,837.0,2095.0,1133.0,1633.0,643.0,1780.0
요,20883,1155.0,1020.0,481.0,2956.0,2427.0,1361.0,321.0,2380.0,1405.0,694.0,385.0,1600.0,1178.0,1299.0,626.0,1595.0
면,16605,729.0,368.0,254.0,135.0,1657.0,1183.0,222.0,1257.0,2053.0,211.0,1171.0,2711.0,953.0,1549.0,61.0,2091.0
로,14416,1354.0,1318.0,407.0,287.0,938.0,1028.0,541.0,937.0,1154.0,722.0,780.0,1111.0,928.0,845.0,267.0,1799.0
하다,9623,297.0,1425.0,70.0,41.0,7.0,218.0,2000.0,10.0,294.0,1380.0,2376.0,81.0,71.0,114.0,1176.0,63.0
나,8732,816.0,630.0,335.0,52.0,529.0,563.0,232.0,523.0,746.0,182.0,409.0,1345.0,654.0,569.0,78.0,1069.0
어늘,7344,625.0,712.0,240.0,24.0,101.0,345.0,746.0,276.0,545.0,615.0,1348.0,335.0,352.0,349.0,155.0,576.0
니라,6886,766.0,281.0,192.0,89.0,695.0,327.0,137.0,234.0,314.0,88.0,291.0,950.0,1065.0,691.0,70.0,696.0
니이다,6023,487.0,337.0,91.0,9.0,143.0,820.0,72.0,63.0,1179.0,154.0,394.0,586.0,120.0,267.0,36.0,1265.0
하며,5913,432.0,376.0,304.0,89.0,466.0,527.0,141.0,266.0,658.0,175.0,167.0,356.0,463.0,605.0,85.0,803.0
를,5265,369.0,423.0,142.0,128.0,335.0,528.0,128.0,176.0,595.0,197.0,198.0,505.0,419.0,428.0,50.0,644.0
아,5192,402.0,214.0,320.0,114.0,205.0,300.0,111.0,125.0,285.0,53.0,437.0,999.0,499.0,446.0,33.0,649.0
러니,4186,335.0,907.0,146.0,13.0,16.0,118.0,568.0,28.0,255.0,489.0,681.0,86.0,114.0,88.0,180.0,162.0
라하니,4086,325.0,301.0,148.0,120.0,176.0,215.0,169.0,195.0,246.0,327.0,401.0,218.0,411.0,364.0,88.0,382.0
하니라,4047,310.0,837.0,195.0,131.0,95.0,176.0,408.0,190.0,215.0,419.0,247.0,156.0,143.0,143.0,220.0,162.0
리오,3627,247.0,110.0,136.0,13.0,216.0,159.0,70.0,141.0,264.0,26.0,393.0,750.0,291.0,250.0,20.0,541.0
와,3314,310.0,501.0,207.0,35.0,232.0,324.0,86.0,124.0,272.0,175.0,69.0,133.0,164.0,221.0,121.0,340.0
한대,3273,198.0,466.0,33.0,6.0,11.0,96.0,504.0,8.0,126.0,393.0,1055.0,20.0,126.0,74.0,105.0,52.0
오,3239,291.0,145.0,126.0,72.0,146.0,204.0,131.0,110.0,204.0,55.0,515.0,313.0,204.0,324.0,111.0,288.0
로되,3176,340.0,314.0,110.0,25.0,133.0,202.0,114.0,236.0,248.0,124.0,192.0,288.0,249.0,181.0,38.0,382.0
하면,2327,108.0,87.0,55.0,11.0,196.0,152.0,29.0,356.0,394.0,69.0,124.0,188.0,118.0,140.0,5.0,295.0
라도,2257,131.0,72.0,64.0,2.0,97.0,199.0,33.0,50.0,323.0,26.0,133.0,408.0,168.0,230.0,2.0,319.0
라하고,1874,134.0,218.0,52.0,33.0,27.0,93.0,158.0,50.0,122.0,159.0,359.0,59.0,124.0,121.0,61.0,104.0
라가,1769,109.0,408.0,80.0,12.0,11.0,50.0,253.0,22.0,125.0,201.0,257.0,61.0,29.0,45.0,48.0,58.0
하시니,1535,192.0,117.0,19.0,1.0,59.0,89.0,38.0,41.0,66.0,37.0,104.0,74.0,268.0,78.0,23.0,329.0
리라,1522,90.0,64.0,41.0,5.0,149.0,60.0,50.0,86.0,115.0,16.0,236.0,277.0,96.0,108.0,11.0,118.0
며,1407,80.0,55.0,49.0,41.0,136.0,104.0,18.0,140.0,126.0,47.0,32.0,150.0,89.0,106.0,44.0,190.0
라하니라,1387,90.0,97.0,66.0,68.0,91.0,66.0,44.0,168.0,79.0,91.0,75.0,115.0,114.0,101.0,30.0,92.0
어든,1354,62.0,45.0,40.0,12.0,48.0,159.0,48.0,25.0,190.0,22.0,119.0,174.0,96.0,181.0,2.0,131.0
로다,1349,74.0,78.0,196.0,30.0,61.0,60.0,36.0,22.0,44.0,20.0,116.0,167.0,178.0,125.0,12.0,130.0
호되,1340,93.0,268.0,40.0,17.0,22.0,112.0,81.0,17.0,166.0,100.0,169.0,52.0,39.0,69.0,18.0,77.0
러라,1299,61.0,366.0,49.0,5.0,3.0,104.0,128.0,3.0,121.0,151.0,110.0,31.0,22.0,41.0,29.0,75.0
하나니,1269,43.0,12.0,21.0,16.0,244.0,80.0,4.0,83.0,85.0,3.0,36.0,162.0,92.0,133.0,3.0,252.0
엔,1259,125.0,55.0,27.0,11.0,77.0,130.0,3.0,140.0,173.0,25.0,24.0,95.0,55.0,111.0,16.0,192.0
하라,1188,24.0,67.0,49.0,22.0,15.0,89.0,55.0,5.0,120.0,17.0,365.0,151.0,41.0,80.0,12.0,76.0
하사,1065,125.0,126.0,25.0,0.0,27.0,102.0,21.0,9.0,54.0,26.0,64.0,36.0,70.0,65.0,20.0,295.0
할새,1037,26.0,244.0,27.0,4.0,4.0,29.0,119.0,4.0,48.0,176.0,197.0,10.0,28.0,42.0,66.0,13.0
도,1004,90.0,89.0,26.0,11.0,46.0,93.0,35.0,38.0,86.0,23.0,43.0,103.0,92.0,77.0,9.0,143.0
잇가,985,85.0,43.0,10.0,4.0,9.0,107.0,6.0,6.0,132.0,10.0,92.0,130.0,87.0,57.0,5.0,202.0
