,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
라,0.05235153,0.058265034,0.042226706,0.17778338,0.08614298,0.051897615,0.025293153,0.09910478,0.046475854,0.042314965,0.033942755,0.08589081,0.044433236,0.057369813,0.027714033,0.06879334
는,0.055903193,0.03893002,0.019966563,0.23014091,0.10007165,0.067144334,0.013661332,0.09327283,0.039152935,0.03217897,0.020937823,0.06668259,0.059103575,0.06298862,0.027927713,0.07193695
하고,0.07683452,0.10977761,0.038723424,0.0125894,0.050920937,0.071568534,0.061795827,0.04541001,0.097188205,0.07115215,0.08055746,0.057460565,0.03549035,0.05787695,0.027579112,0.10507495
하니,0.0804206,0.10110101,0.04022486,0.02050565,0.046050332,0.054642897,0.06361412,0.08738203,0.07590586,0.068332754,0.10858674,0.062041245,0.039642315,0.046050332,0.026884539,0.078614704
하여,0.085462324,0.08669433,0.044546753,0.018155882,0.06766308,0.05651018,0.044514332,0.08228505,0.094216056,0.06957593,0.06263779,0.0728829,0.037089873,0.0432499,0.01439502,0.12012061
하야,0.07293525,0.16112219,0.034491204,0.0031482843,0.012907965,0.06251093,0.078462236,0.004232693,0.10221429,0.102599084,0.13425682,0.04827369,0.025466122,0.040472943,0.023192361,0.093713924
에,0.07978314,0.14553647,0.038646106,0.017876113,0.03538591,0.06505733,0.089930035,0.031429723,0.07088172,0.09337338,0.07157771,0.044763543,0.043737866,0.05952599,0.0443606,0.06813437
가,0.1045327,0.10261043,0.027373035,0.0132636195,0.052439354,0.06439583,0.05789858,0.04032909,0.07669832,0.06416516,0.114182465,0.05374649,0.049632847,0.054361615,0.020299105,0.10407136
니,0.046930574,0.036860824,0.01653656,0.11446256,0.117926925,0.06734722,0.01376507,0.12393182,0.058247495,0.028869694,0.038662292,0.09677121,0.05233498,0.075430736,0.029701142,0.08222089
요,0.055308145,0.048843555,0.02303309,0.14155054,0.11621893,0.06517263,0.015371354,0.1139683,0.06727961,0.033232775,0.018436048,0.076617345,0.05640952,0.062203705,0.029976536,0.07637791
면,0.043902438,0.022162,0.015296597,0.008130081,0.09978922,0.0712436,0.013369467,0.07570009,0.12363746,0.0127070155,0.07052093,0.16326408,0.05739235,0.09328516,0.0036735923,0.12592593
로,0.09392342,0.09142619,0.028232519,0.019908436,0.06506659,0.071309656,0.037527747,0.064997226,0.08004995,0.050083242,0.05410655,0.077067144,0.06437292,0.058615427,0.018521087,0.1247919
하다,0.030863555,0.14808272,0.007274239,0.0042606257,0.0007274239,0.022654058,0.20783539,0.001039177,0.030551802,0.14340642,0.24690844,0.0084173335,0.0073781563,0.011846618,0.12220721,0.006546815
나,0.093449384,0.07214842,0.038364638,0.0059551075,0.06058177,0.06447549,0.026568942,0.05989464,0.08543289,0.020842876,0.04683921,0.15403114,0.07489693,0.06516262,0.008932661,0.12242327
어늘,0.08510349,0.09694989,0.03267974,0.003267974,0.013752723,0.046977125,0.10157952,0.0375817,0.07421024,0.08374183,0.18355119,0.04561547,0.04793028,0.047521785,0.021105664,0.078431375
니라,0.1112402,0.040807437,0.02788266,0.012924775,0.100929424,0.047487658,0.01989544,0.033981994,0.045599766,0.0127795525,0.042259656,0.13796107,0.15466163,0.10034853,0.010165554,0.10107464
니이다,0.08085672,0.055952184,0.01510875,0.0014942719,0.023742322,0.13614477,0.011954175,0.010459904,0.19574963,0.025568653,0.065415904,0.097293705,0.019923626,0.044330068,0.0059770877,0.21002823
하며,0.07305936,0.0635887,0.051412143,0.015051581,0.0788094,0.089125656,0.023845764,0.044985626,0.11128023,0.029595805,0.028242854,0.060206324,0.07830205,0.10231693,0.0143751055,0.13580246
를,0.07008547,0.08034188,0.02697056,0.02431149,0.06362773,0.1002849,0.02431149,0.0334283,0.113010444,0.037416905,0.03760684,0.09591643,0.07958215,0.08129155,0.009496676,0.12231719
아,0.07742681,0.041217256,0.06163328,0.021956857,0.039483823,0.0577812,0.021379044,0.0240755,0.05489214,0.010208013,0.08416795,0.19241141,0.0961094,0.08590139,0.006355932,0.125
러니,0.08002867,0.21667463,0.034878165,0.0031055901,0.0038222647,0.028189203,0.13569039,0.006688963,0.060917344,0.116817966,0.16268514,0.020544672,0.027233636,0.021022456,0.04300048,0.03870043
