book_name,sentence_id,pa_cluster,sa_dominant_cluster,sa_cluster_diversity,sa_phrase_count
논어집주,60,3,2,2,3
논어집주,67,3,10,1,1
논어집주,78,3,0,1,1
논어집주,93,3,0,1,1
논어집주,94,3,3,1,1
논어집주,169,3,3,2,3
논어집주,170,3,8,1,1
논어집주,171,3,0,1,1
논어집주,172,3,0,1,1
논어집주,173,3,3,1,1
논어집주,211,3,0,1,1
논어집주,234,3,0,1,3
논어집주,240,3,1,1,1
논어집주,283,3,1,1,1
논어집주,284,3,3,2,3
논어집주,285,3,8,2,3
논어집주,342,3,0,1,3
논어집주,360,3,1,1,1
논어집주,383,3,0,1,1
논어집주,433,3,0,1,1
논어집주,443,3,0,2,2
논어집주,444,3,3,1,1
논어집주,445,3,1,1,1
논어집주,446,3,8,1,1
논어집주,468,3,0,1,1
논어집주,474,3,0,1,1
논어집주,479,3,3,1,1
논어집주,485,3,8,1,1
논어집주,516,3,0,1,1
논어집주,537,3,0,1,1
논어집주,558,3,0,1,1
논어집주,559,3,3,1,1
논어집주,581,3,1,1,1
논어집주,591,3,0,1,1
논어집주,592,3,0,2,2
논어집주,593,3,3,2,3
논어집주,598,3,0,1,1
논어집주,632,3,0,1,1
논어집주,638,3,3,1,2
논어집주,648,3,1,1,1
논어집주,649,3,0,1,1
논어집주,651,3,0,2,3
논어집주,701,3,0,1,1
논어집주,712,3,0,1,1
논어집주,716,3,8,1,1
논어집주,733,3,0,1,1
논어집주,734,3,0,1,1
논어집주,735,3,0,1,1
논어집주,736,3,3,2,5
논어집주,741,3,3,1,1
논어집주,764,3,0,1,1
논어집주,811,3,0,1,1
논어집주,830,3,3,1,1
논어집주,850,3,2,3,4
논어집주,914,3,0,1,1
논어집주,920,3,0,1,1
논어집주,921,3,0,1,3
논어집주,922,3,0,1,1
논어집주,942,3,0,1,1
논어집주,948,3,0,1,1
논어집주,970,3,0,1,3
논어집주,988,3,3,1,1
논어집주,1009,3,1,1,1
논어집주,1023,3,0,1,1
논어집주,1044,3,3,1,1
논어집주,1053,3,1,1,1
논어집주,1078,3,3,1,1
논어집주,1113,3,0,1,1
논어집주,1114,3,3,1,1
논어집주,1181,3,0,1,1
논어집주,1210,3,8,1,1
논어집주,1223,3,8,1,1
논어집주,1224,3,3,1,3
논어집주,1254,3,0,1,1
논어집주,1265,3,2,1,2
논어집주,1266,3,0,1,1
논어집주,1297,3,3,1,1
논어집주,1312,3,0,2,3
논어집주,1337,3,0,1,1
논어집주,1338,3,3,2,5
논어집주,1340,3,3,1,1
논어집주,1365,3,1,1,1
논어집주,1434,3,0,1,1
논어집주,1435,3,3,1,1
논어집주,1436,3,1,1,1
논어집주,1437,3,3,1,1
논어집주,1438,3,3,1,1
논어집주,1463,3,3,1,1
논어집주,1464,3,3,1,1
논어집주,1479,3,3,1,1
논어집주,1504,3,0,1,1
논어집주,1505,3,0,1,1
논어집주,1528,3,0,3,5
논어집주,1529,3,3,1,1
논어집주,1553,3,0,1,1
논어집주,1554,3,3,1,1
논어집주,1555,3,3,1,1
논어집주,1559,3,3,1,1
논어집주,1560,3,0,1,1
논어집주,1673,3,0,1,2
논어집주,1674,3,0,1,1
논어집주,1679,3,3,1,1
논어집주,1683,3,8,1,1
논어집주,1700,3,0,1,1
논어집주,1701,3,11,2,3
논어집주,1702,3,0,2,2
논어집주,1757,3,0,1,1
논어집주,1758,3,3,1,1
논어집주,1770,3,0,1,1
논어집주,1771,3,3,1,1
논어집주,1772,3,3,1,1
논어집주,1810,3,0,3,4
논어집주,1811,3,0,1,1
논어집주,1824,3,3,1,3
논어집주,1835,3,1,1,1
논어집주,1880,3,3,1,1
논어집주,1913,3,0,3,6
논어집주,1929,3,0,1,3
논어집주,1936,3,3,1,3
논어집주,1951,3,3,2,4
논어집주,1952,3,0,1,2
논어집주,1960,3,0,1,1
논어집주,1961,3,1,1,1
논어집주,1975,3,3,1,1
논어집주,2072,3,7,1,2
논어집주,2079,3,0,1,3
논어집주,2080,3,0,1,3
논어집주,2081,3,0,1,2
논어집주,2106,3,0,1,3
논어집주,2144,3,0,1,1
논어집주,2172,3,0,1,1
논어집주,2190,3,3,1,1
논어집주,2254,3,3,1,1
논어집주,2255,3,0,1,1
논어집주,2266,3,0,2,2
논어집주,2267,3,0,1,1
논어집주,2282,3,0,2,4
논어집주,2288,3,0,1,1
논어집주,2304,3,11,1,1
논어집주,2357,3,0,1,1
논어집주,2359,3,0,1,1
논어집주,2374,3,0,1,1
논어집주,2375,3,0,1,1
논어집주,2408,3,0,1,1
논어집주,2412,3,0,1,1
논어집주,2413,3,1,1,1
논어집주,2426,3,0,1,3
논어집주,2451,3,0,1,1
논어집주,2452,3,0,1,1
논어집주,2453,3,0,1,1
논어집주,2456,3,0,2,3
논어집주,2457,3,0,1,4
논어집주,2473,3,1,1,1
논어집주,2489,3,0,1,1
논어집주,2533,3,0,1,1
논어집주,2540,3,0,1,3
논어집주,2546,3,3,1,1
논어집주,2579,3,11,1,2
논어집주,2587,3,0,1,1
논어집주,2588,3,0,1,1
논어집주,2609,3,0,1,1
논어집주,2610,3,0,1,1
논어집주,2616,3,1,1,1
논어집주,2617,3,0,1,1
논어집주,2660,3,0,2,2
논어집주,2663,3,1,1,1
논어집주,2664,3,0,3,5
논어집주,2673,3,0,1,1
논어집주,2678,3,3,1,1
논어집주,2686,3,0,1,1
논어집주,2687,3,0,2,3
논어집주,2700,3,1,1,1
논어집주,2701,3,1,1,1
논어집주,2702,3,0,1,1
논어집주,2713,3,0,1,3
논어집주,2726,3,0,1,1
논어집주,2746,3,11,2,3
논어집주,2772,3,0,1,1
논어집주,2791,3,1,1,1
논어집주,2792,3,1,1,1
논어집주,2793,3,0,2,3
논어집주,2794,3,1,1,1
논어집주,2795,3,0,1,1
논어집주,2796,3,3,1,1
논어집주,2797,3,3,1,1
논어집주,2809,3,0,1,1
논어집주,2810,3,8,1,1
논어집주,2820,3,3,1,1
논어집주,2870,3,0,1,1
논어집주,2871,3,3,1,1
논어집주,2926,3,3,1,1
논어집주,2958,3,0,1,3
논어집주,2977,3,3,1,1
논어집주,2978,3,3,1,1
논어집주,2979,3,2,1,2
논어집주,2984,3,3,2,3
논어집주,3015,3,0,2,2
논어집주,3032,3,0,1,2
논어집주,3034,3,3,1,1
논어집주,3059,3,0,1,1
논어집주,3068,3,0,1,1
논어집주,3069,3,0,1,3
논어집주,3073,3,0,2,2
논어집주,3078,3,8,1,1
논어집주,3089,3,0,1,1
논어집주,3090,3,0,1,2
논어집주,3100,3,0,2,3
논어집주,3102,3,0,1,3
논어집주,3106,3,3,1,1
논어집주,3107,3,2,2,3
논어집주,3108,3,0,1,1
논어집주,3109,3,0,1,1
논어집주,3110,3,0,1,1
논어집주,3117,3,0,1,1
논어집주,3118,3,0,1,1
논어집주,3121,3,0,1,1
논어집주,3122,3,3,1,2
논어집주,3126,3,0,1,1
논어집주,3133,3,0,1,1
논어집주,3134,3,2,1,2
논어집주,3135,3,3,2,3
논어집주,3138,3,7,2,3
논어집주,3142,3,3,1,1
논어집주,3147,3,3,1,1
논어집주,3148,3,0,1,1
논어집주,3149,3,3,1,2
논어집주,3150,3,3,1,1
논어집주,3181,3,0,1,2
논어집주,3188,3,3,2,3
논어집주,3193,3,0,1,3
논어집주,3194,3,0,1,1
논어집주,3195,3,0,1,1
논어집주,3196,3,0,1,1
논어집주,3247,3,2,2,3
논어집주,3248,3,3,1,1
논어집주,3290,3,8,1,1
논어집주,3291,3,0,2,3
논어집주,3296,3,0,1,1
논어집주,3297,3,0,2,3
논어집주,3300,3,6,2,3
논어집주,3301,3,0,1,1
논어집주,3308,3,3,2,3
논어집주,3313,3,3,1,1
논어집주,3331,3,0,1,2
논어집주,3333,3,7,1,1
논어집주,3394,3,1,1,1
논어집주,3412,3,8,1,1
논어집주,3454,3,0,2,2
논어집주,3457,3,3,1,1
논어집주,3463,3,0,2,3
논어집주,3521,3,3,1,1
논어집주,3530,3,0,2,2
논어집주,3535,3,0,1,1
논어집주,3536,3,3,1,1
논어집주,3591,3,0,1,1
논어집주,3592,3,0,1,1
논어집주,3641,3,0,1,1
논어집주,3642,3,1,1,1
논어집주,3644,3,3,1,1
논어집주,3645,3,0,1,1
논어집주,3653,3,0,1,1
논어집주,3654,3,0,1,1
논어집주,3676,3,0,2,3
논어집주,3677,3,3,1,1
논어집주,3678,3,3,1,1
논어집주,3679,3,3,1,1
논어집주,3680,3,2,1,2
논어집주,3682,3,0,1,1
논어집주,3683,3,0,1,1
논어집주,3684,3,0,1,2
논어집주,3731,3,3,1,1
논어집주,3732,3,0,1,1
논어집주,3733,3,3,1,1
논어집주,3781,3,7,1,1
논어집주,3865,3,0,1,2
논어집주,3866,3,0,1,1
논어집주,3867,3,0,1,3
논어집주,3906,3,0,1,1
논어집주,3913,3,0,1,1
논어집주,3917,3,0,2,2
논어집주,3974,3,0,1,1
논어집주,3975,3,3,1,1
논어집주,3979,3,0,2,2
논어집주,4033,3,0,1,2
논어집주,4240,3,0,1,1
논어집주,4266,3,8,1,1
논어집주,4301,3,3,1,1
논어집주,4302,3,3,1,1
논어집주,4303,3,0,2,3
논어집주,4347,3,0,1,1
논어집주,4378,3,2,1,1
논어집주,4379,3,0,1,1
논어집주,4387,3,8,1,1
논어집주,4388,3,3,1,5
논어집주,4389,3,0,1,1
논어집주,4390,3,0,1,1
논어집주,4411,3,11,1,1
논어집주,4412,3,0,1,1
논어집주,4464,3,0,2,3
논어집주,4472,3,3,1,1
논어집주,4487,3,3,1,1
논어집주,4515,3,0,1,3
논어집주,4532,3,1,1,1
논어집주,4554,3,2,2,4
논어집주,4558,3,0,1,1
논어집주,4559,3,0,1,2
논어집주,4594,3,0,1,1
논어집주,4595,3,0,1,1
논어집주,4618,3,3,1,1
논어집주,4683,3,0,1,2
논어집주,4695,3,0,1,1
논어집주,4698,3,1,1,1
