pa_cluster,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,3368,60,84,163,91,62,32,26,135,32,34,226,52,43,24,78
1,4542,32,42,337,141,103,65,41,99,33,10,48,45,34,11,15
2,3113,71,54,371,93,50,30,14,88,42,39,8,47,52,3,9
3,4080,940,131,2214,82,45,7,422,123,15,41,47,35,46,1,18
4,3047,90,194,374,62,80,29,58,196,42,48,6,57,62,21,11
5,3515,76,112,244,98,59,60,65,187,27,22,23,44,32,18,31
6,2600,16,26,179,65,61,14,11,35,39,5,63,28,14,1,7
7,2909,59,173,291,85,62,13,81,150,43,40,1,73,100,1,8
8,3912,15,181,180,114,70,44,15,168,35,21,18,51,46,18,30
9,3078,95,17,347,90,67,8,73,29,11,6,153,20,15,3,8
10,4452,3,117,88,66,108,24,8,107,45,10,229,33,23,9,48
11,4369,26,255,192,103,75,83,11,397,151,79,1,84,60,19,71
12,2662,49,70,100,65,21,32,29,112,44,39,31,33,12,15,24
13,3078,46,165,161,67,51,27,29,177,38,49,15,56,36,8,20
14,1825,158,6,386,38,43,5,80,6,5,5,204,12,3,1,24
15,4567,24,156,121,107,86,72,7,259,72,38,20,107,53,101,80
