kind,name,x,y,count
parent,p0,-4.1892815,18.662596,613958.0
parent,p1,-4.585208,20.00495,12421.0
parent,p2,-7.0436687,21.178822,40051.0
parent,p3,-4.558204,20.86575,104147.0
parent,p4,-3.8400843,19.206036,24444.0
parent,p5,-6.7352257,19.704927,24460.0
parent,p6,-4.9775815,17.47719,8979.0
parent,p7,-5.802065,21.274769,13055.0
parent,p8,-5.4451265,19.033464,35386.0
parent,p9,-5.5326414,18.59359,12119.0
parent,p10,-7.8637276,19.829689,13661.0
parent,p11,-3.1275764,20.65213,13792.0
parent,p12,-7.7380576,19.303951,15929.0
parent,p13,-4.750703,21.473541,11993.0
parent,p14,-3.3668687,17.309755,3596.0
parent,p15,-7.1320796,17.862932,11424.0
marker,는,-4.6738486,20.284832,132224.0
marker,라,-4.8299108,20.014408,106062.0
marker,하여,-6.564275,19.836964,72159.0
marker,하고,-5.3265758,20.480888,63074.0
marker,하니,-4.375478,20.330973,59528.0
marker,니,-6.0335374,21.303627,54703.0
marker,요,-4.84528,20.699562,53975.0
marker,가,-3.1839235,19.182203,48498.0
marker,에,-3.6913724,20.45975,43033.0
marker,면,-4.6566763,18.47083,35378.0
marker,하야,-6.4138317,19.936289,29840.0
marker,로,-7.842661,19.622856,27399.0
marker,나,-5.3554792,19.11308,15758.0
marker,하며,-5.0943446,21.119373,15712.0
marker,니라,-5.4191337,19.769058,14425.0
marker,를,-3.3556588,18.717302,11908.0
marker,어늘,-3.515336,20.222769,11696.0
marker,라하니,-4.8199005,19.983875,7922.0
marker,하다,-3.3586667,20.533587,7581.0
marker,와,-3.519074,20.86987,6491.0
marker,러니,-3.3177493,20.064562,5845.0
marker,로되,-4.072576,19.064125,5776.0
marker,아,-6.0849843,18.497276,5100.0
marker,하시니,-6.7848735,18.741629,4848.0
marker,하면,-5.225855,20.884895,4841.0
marker,하니라,-5.365873,20.838741,4780.0
marker,한대,-3.1027026,20.584059,4466.0
marker,로다,-4.6627846,20.671629,4417.0
marker,라도,-5.348927,19.216148,4354.0
marker,며,-5.1313157,20.504519,4037.0
marker,리오,-5.4405046,17.881998,3985.0
marker,니이다,-3.625919,17.651361,3943.0
marker,하사,-6.808588,19.148684,3834.0
marker,하나니,-6.4106297,21.000114,3442.0
marker,어든,-4.179188,18.235802,3417.0
marker,오,-5.3862066,20.490084,3263.0
marker,라하고,-5.6358156,19.980413,2576.0
marker,엔,-4.6653795,19.144709,2372.0
marker,리라,-4.092743,17.88399,2340.0
marker,하시고,-7.091662,18.91676,2212.0
marker,라가,-3.1283677,20.389833,2195.0
marker,어니와,-5.0485673,19.700438,2135.0
marker,도,-3.3299024,18.179169,1963.0
marker,호되,-5.166089,18.605482,1887.0
marker,하되,-5.248553,20.243711,1726.0
marker,할새,-3.217672,20.491457,1614.0
marker,라하니라,-5.3924317,19.961382,1522.0
marker,하리니,-7.0205207,21.172152,1473.0
marker,라야,-6.236313,20.867676,1448.0
marker,인댄,-6.584181,20.899315,1402.0
marker,하시며,-6.586844,18.594273,1341.0
marker,여,-4.660999,20.672602,1308.0
marker,시니라,-7.728693,19.72181,1270.0
marker,하여는,-5.660265,18.033257,1160.0
marker,라하시니,-7.1840243,19.793583,1152.0
marker,잇가,-4.906392,17.374386,1151.0
marker,하라,-6.626325,19.199793,1123.0
marker,일새,-7.539611,18.848839,1096.0
marker,리니,-6.990621,21.192984,1039.0
marker,컨대,-4.4295945,17.73338,964.0
marker,라하여,-6.503021,19.83419,942.0
marker,러라,-3.9652014,19.097809,920.0
marker,하리라,-6.1287737,20.670153,897.0
marker,히,-3.7644439,19.246853,848.0
marker,하시니라,-7.65467,19.674608,813.0
marker,호대,-4.4028597,20.783344,800.0
marker,인저,-6.1904473,20.751587,779.0
marker,어시늘,-6.884946,18.54985,754.0
marker,하노라,-6.959891,19.025936,714.0
marker,하니이다,-3.8165488,17.879375,672.0
marker,의,-6.0223904,19.376753,649.0
marker,로라,-5.8635526,17.70736,643.0
marker,하신대,-5.9966135,20.239166,581.0
marker,하소서,-6.669052,20.307863,569.0
marker,시니,-6.2948027,18.340555,558.0
marker,하노니,-7.2284822,18.313478,557.0
marker,러시니,-3.3307927,17.898582,549.0
marker,온,-6.837761,18.368082,483.0
marker,호라,-6.2277746,19.669462,483.0
marker,잇고,-6.7152877,18.210838,471.0
marker,고,-4.9812155,18.659056,467.0
marker,리이다,-4.556877,17.867771,464.0
marker,일새라,-5.120536,21.20998,458.0
marker,하나니라,-3.3609202,18.020477,448.0
marker,하시면,-3.1892357,18.404453,444.0
marker,라하야,-6.781023,19.755686,418.0
marker,하노이다,-7.316116,18.078873,417.0
marker,호니,-4.746126,20.016897,417.0
marker,언마는,-4.3748727,17.308823,406.0
marker,하시다,-6.3033414,20.101763,395.0
marker,하얀,-3.2523632,17.98,393.0
marker,러시다,-6.547296,21.06866,387.0
marker,하나,-5.432851,19.46929,367.0
marker,라하다,-4.4645534,18.220715,365.0
marker,에도,-4.4838076,18.928349,361.0
marker,어다,-5.550609,18.725113,355.0
marker,하시되,-3.8719137,17.080954,353.0
marker,어시든,-6.753774,20.539175,351.0
marker,언정,-6.9473095,19.592655,339.0
marker,라하시니라,-7.757311,19.777414,332.0
marker,로소니,-6.040137,21.194191,328.0
marker,로소이다,-4.271785,16.988031,316.0
marker,라한대,-4.430152,19.466787,314.0
marker,하리이다,-4.7850213,19.196041,314.0
marker,라하시고,-4.5779862,19.732224,304.0
marker,어니,-3.8467631,17.58848,292.0
marker,리오마는,-6.184631,19.09637,254.0
marker,하실새,-6.653069,19.349545,251.0
marker,니잇고,-6.034791,18.832148,236.0
marker,하야는,-5.7655044,18.382141,236.0
marker,로대,-3.92834,19.326502,235.0
marker,론,-5.700424,20.014471,234.0
marker,삿다,-7.128531,18.317127,221.0
marker,에는,-5.2536373,21.393314,221.0
marker,로니,-5.124398,17.365341,219.0
marker,라하니이다,-5.255055,19.8793,214.0
marker,호리라,-5.996308,19.516373,204.0
marker,리잇가,-4.0134993,16.949905,203.0
marker,라하면,-6.317159,17.804924,202.0
marker,라하나니,-4.8346753,17.596478,191.0
marker,라사,-5.323611,21.560707,189.0
