marker,total_count,entropy,normalized_entropy,interpretation
는,57952,2.093,0.523,중간
라,50636,2.305,0.576,중간
하고,44233,1.714,0.428,중간
하니,37455,1.858,0.465,중간
하여,36139,2.024,0.506,중간
하야,29840,1.884,0.471,중간
가,27626,1.948,0.487,중간
에,26983,1.663,0.416,중간
니,24841,2.532,0.633,중간
요,24476,1.91,0.477,중간
면,17737,1.772,0.443,중간
로,13842,2.343,0.586,중간
나,8583,2.106,0.527,중간
하며,7702,1.628,0.407,중간
어늘,7643,1.693,0.423,중간
하다,7475,1.523,0.381,장르특화
를,6072,1.829,0.457,중간
니라,5524,1.973,0.493,중간
러니,4222,1.657,0.414,중간
라하니,4139,1.627,0.407,중간
와,4000,2.009,0.502,중간
니이다,3532,2.002,0.5,중간
로되,3414,1.815,0.454,중간
한대,3165,1.318,0.329,장르특화
아,2934,1.612,0.403,중간
하니라,2794,2.032,0.508,중간
하면,2653,1.619,0.405,중간
라도,2503,2.083,0.521,중간
오,2497,1.432,0.358,장르특화
로다,2270,1.589,0.397,장르특화
리오,2168,1.729,0.432,중간
며,1929,1.52,0.38,장르특화
하시니,1854,1.78,0.445,중간
라가,1831,1.708,0.427,중간
라하고,1770,1.441,0.36,장르특화
어든,1675,1.671,0.418,중간
하사,1642,1.608,0.402,중간
호되,1456,1.785,0.446,중간
하나니,1409,1.994,0.499,중간
엔,1288,1.748,0.437,중간
리라,1204,1.789,0.447,중간
할새,1186,1.222,0.305,장르특화
도,1099,1.873,0.468,중간
어니와,1009,1.585,0.396,장르특화
하되,990,1.738,0.434,중간
하리니,899,1.612,0.403,중간
하시고,898,1.647,0.412,중간
러라,842,2.119,0.53,중간
라하니라,821,1.856,0.464,중간
호대,800,1.563,0.391,장르특화
