,total,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
는,57952,33893.0,1678.0,1873.0,12295.0,1363.0,544.0,299.0,1060.0,2073.0,406.0,353.0,636.0,229.0,502.0,256.0,492.0
라,50636,30778.0,2079.0,1662.0,5187.0,1811.0,830.0,459.0,505.0,1762.0,702.0,450.0,595.0,2341.0,757.0,172.0,546.0
하고,44233,32156.0,17.0,702.0,4329.0,1140.0,1213.0,489.0,79.0,879.0,573.0,241.0,719.0,451.0,583.0,214.0,448.0
하니,37455,26717.0,166.0,1109.0,2312.0,1584.0,836.0,491.0,98.0,966.0,515.0,148.0,769.0,579.0,678.0,128.0,359.0
하여,36139,23972.0,9.0,675.0,2729.0,982.0,3027.0,326.0,178.0,799.0,755.0,267.0,418.0,384.0,837.0,239.0,542.0
하야,29840,20510.0,0.0,379.0,2249.0,918.0,2317.0,375.0,18.0,567.0,494.0,93.0,740.0,254.0,473.0,196.0,257.0
가,27626,18630.0,63.0,525.0,3219.0,1032.0,387.0,279.0,137.0,707.0,239.0,273.0,956.0,218.0,333.0,244.0,384.0
에,26983,19604.0,22.0,572.0,3083.0,535.0,449.0,334.0,55.0,434.0,186.0,211.0,791.0,160.0,236.0,96.0,215.0
니,24841,11462.0,175.0,4600.0,2474.0,696.0,277.0,194.0,2630.0,823.0,279.0,66.0,272.0,283.0,301.0,91.0,218.0
요,24476,15682.0,159.0,585.0,4583.0,575.0,226.0,235.0,204.0,819.0,281.0,108.0,175.0,249.0,256.0,126.0,213.0
면,17737,12816.0,10.0,1263.0,597.0,327.0,342.0,365.0,75.0,768.0,357.0,94.0,106.0,68.0,263.0,130.0,156.0
로,13842,6895.0,3.0,163.0,761.0,275.0,239.0,99.0,21.0,211.0,96.0,2462.0,205.0,2069.0,141.0,92.0,110.0
나,8583,4087.0,8.0,175.0,289.0,246.0,85.0,127.0,10.0,2945.0,138.0,40.0,77.0,104.0,100.0,52.0,100.0
하며,7702,5585.0,0.0,138.0,976.0,127.0,165.0,67.0,10.0,141.0,75.0,42.0,37.0,45.0,174.0,31.0,89.0
어늘,7643,5613.0,3.0,65.0,588.0,296.0,176.0,107.0,13.0,151.0,116.0,13.0,227.0,54.0,114.0,30.0,77.0
하다,7475,5547.0,4.0,12.0,630.0,282.0,310.0,26.0,2.0,56.0,58.0,11.0,403.0,67.0,26.0,6.0,35.0
를,6072,4300.0,0.0,185.0,428.0,302.0,116.0,56.0,9.0,253.0,53.0,57.0,56.0,42.0,65.0,64.0,86.0
니라,5524,3847.0,67.0,207.0,165.0,190.0,71.0,58.0,12.0,315.0,90.0,115.0,39.0,150.0,83.0,40.0,75.0
러니,4222,3121.0,1.0,16.0,310.0,144.0,90.0,124.0,5.0,49.0,47.0,9.0,156.0,49.0,37.0,15.0,49.0
라하니,4139,3168.0,95.0,160.0,15.0,144.0,55.0,50.0,18.0,121.0,61.0,35.0,46.0,42.0,45.0,12.0,72.0
와,4000,2020.0,8.0,42.0,1203.0,50.0,27.0,28.0,12.0,90.0,13.0,26.0,383.0,18.0,21.0,22.0,37.0
니이다,3532,2403.0,0.0,150.0,132.0,150.0,50.0,77.0,7.0,222.0,52.0,17.0,21.0,72.0,58.0,61.0,60.0
로되,3414,2429.0,0.0,69.0,202.0,238.0,45.0,88.0,10.0,83.0,46.0,6.0,39.0,31.0,64.0,28.0,36.0
한대,3165,2507.0,0.0,13.0,228.0,75.0,78.0,44.0,1.0,13.0,23.0,2.0,140.0,7.0,15.0,9.0,10.0
아,2934,2215.0,3.0,153.0,97.0,39.0,34.0,51.0,6.0,131.0,51.0,3.0,13.0,25.0,27.0,12.0,74.0
하니라,2794,1877.0,5.0,30.0,216.0,150.0,92.0,27.0,49.0,41.0,23.0,56.0,59.0,82.0,50.0,3.0,34.0
하면,2653,1980.0,3.0,128.0,177.0,44.0,49.0,36.0,6.0,92.0,31.0,1.0,13.0,9.0,50.0,11.0,23.0
라도,2503,998.0,0.0,112.0,79.0,50.0,38.0,46.0,3.0,1053.0,23.0,13.0,12.0,17.0,20.0,9.0,30.0
오,2497,1957.0,3.0,65.0,162.0,29.0,22.0,18.0,8.0,103.0,13.0,4.0,30.0,27.0,17.0,2.0,37.0
로다,2270,1522.0,11.0,25.0,499.0,44.0,31.0,11.0,10.0,40.0,12.0,0.0,15.0,14.0,19.0,0.0,17.0
리오,2168,1582.0,0.0,141.0,28.0,36.0,19.0,46.0,21.0,109.0,37.0,0.0,12.0,31.0,25.0,11.0,70.0
며,1929,1453.0,6.0,32.0,211.0,37.0,15.0,25.0,8.0,58.0,7.0,4.0,11.0,12.0,15.0,7.0,28.0
하시니,1854,1343.0,1.0,81.0,110.0,25.0,44.0,28.0,1.0,44.0,13.0,31.0,14.0,26.0,11.0,14.0,68.0
라가,1831,1292.0,0.0,6.0,235.0,37.0,40.0,39.0,3.0,23.0,27.0,1.0,55.0,34.0,25.0,3.0,11.0
라하고,1770,1423.0,34.0,32.0,9.0,45.0,32.0,18.0,7.0,41.0,25.0,9.0,22.0,19.0,11.0,12.0,31.0
어든,1675,1234.0,0.0,54.0,117.0,24.0,33.0,33.0,1.0,66.0,41.0,0.0,17.0,3.0,12.0,14.0,26.0
하사,1642,1203.0,0.0,17.0,120.0,26.0,126.0,17.0,0.0,16.0,17.0,8.0,7.0,6.0,4.0,12.0,63.0
호되,1456,1024.0,0.0,16.0,140.0,83.0,43.0,25.0,1.0,14.0,38.0,9.0,12.0,6.0,18.0,8.0,19.0
하나니,1409,935.0,1.0,153.0,65.0,26.0,36.0,24.0,1.0,39.0,19.0,13.0,8.0,38.0,32.0,7.0,12.0
엔,1288,926.0,0.0,41.0,118.0,18.0,19.0,31.0,2.0,39.0,10.0,25.0,23.0,9.0,19.0,2.0,6.0
리라,1204,838.0,0.0,123.0,39.0,16.0,23.0,30.0,3.0,64.0,29.0,0.0,9.0,1.0,12.0,7.0,10.0
할새,1186,967.0,0.0,9.0,57.0,16.0,33.0,29.0,0.0,5.0,6.0,0.0,51.0,2.0,4.0,2.0,5.0
도,1099,769.0,2.0,36.0,76.0,58.0,9.0,5.0,6.0,47.0,23.0,4.0,14.0,7.0,10.0,19.0,14.0
어니와,1009,766.0,0.0,39.0,42.0,26.0,8.0,14.0,2.0,48.0,16.0,2.0,8.0,10.0,8.0,1.0,19.0
하되,990,702.0,0.0,26.0,109.0,43.0,28.0,8.0,1.0,15.0,11.0,3.0,6.0,7.0,13.0,9.0,9.0
하리니,899,141.0,1.0,636.0,15.0,14.0,21.0,4.0,0.0,9.0,13.0,0.0,7.0,1.0,13.0,12.0,12.0
하시고,898,656.0,0.0,16.0,87.0,10.0,35.0,5.0,0.0,10.0,4.0,17.0,7.0,10.0,4.0,5.0,32.0
러라,842,526.0,1.0,7.0,70.0,92.0,17.0,23.0,0.0,27.0,13.0,4.0,13.0,18.0,14.0,2.0,15.0
라하니라,821,585.0,20.0,23.0,4.0,22.0,11.0,12.0,0.0,33.0,7.0,33.0,7.0,44.0,10.0,4.0,6.0
호대,800,555.0,0.0,9.0,151.0,15.0,16.0,6.0,0.0,10.0,3.0,4.0,18.0,2.0,3.0,2.0,6.0
