,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
는,0.5848461,0.028954998,0.03231985,0.21215834,0.023519464,0.009387079,0.0051594423,0.018291,0.035770983,0.0070057977,0.006091248,0.0109746,0.0039515463,0.008662341,0.004417449,0.008489785
라,0.60782844,0.041057747,0.032822497,0.102437004,0.035765067,0.0163915,0.009064697,0.009973141,0.034797378,0.013863654,0.008886958,0.011750533,0.04623193,0.014949838,0.0033967928,0.0107828425
하고,0.7269685,0.00038432845,0.015870504,0.09786811,0.025772613,0.027422965,0.011055094,0.0017859968,0.019872041,0.012954129,0.005448421,0.016254833,0.010196008,0.013180205,0.004838017,0.010128185
하니,0.7133093,0.004431985,0.029608864,0.061727405,0.042290747,0.022320118,0.013109065,0.002616473,0.025790948,0.013749833,0.0039514084,0.020531304,0.01545855,0.018101722,0.0034174342,0.009584835
하여,0.6633277,0.00024903842,0.018677883,0.07551399,0.02717286,0.083759926,0.009020725,0.004925427,0.022109078,0.020891558,0.00738814,0.011566452,0.01062564,0.023160575,0.006613354,0.014997648
하야,0.68733245,0.0,0.012701073,0.075368635,0.030764075,0.077647455,0.012567024,0.00060321717,0.01900134,0.01655496,0.0031166219,0.024798928,0.008512064,0.015851207,0.006568365,0.0086126
가,0.67436475,0.0022804604,0.019003836,0.116520666,0.037356112,0.0140085425,0.010099182,0.0049590967,0.025591834,0.0086512705,0.009881996,0.034605082,0.007891117,0.012053862,0.008832259,0.013899949
에,0.7265315,0.00081532815,0.021198532,0.11425713,0.019827299,0.016640106,0.012378164,0.0020383205,0.016084202,0.006893229,0.007819738,0.029314755,0.0059296596,0.008746248,0.0035577957,0.00796798
니,0.4614146,0.0070448047,0.18517773,0.099593416,0.028018195,0.01115092,0.0078096697,0.105873354,0.033130713,0.011231432,0.0026568978,0.01094964,0.0113924565,0.012117065,0.0036632987,0.008775814
요,0.6407093,0.0064961594,0.023900963,0.18724465,0.023492401,0.009233535,0.009601242,0.008334695,0.03346135,0.011480634,0.0044124858,0.007149861,0.010173231,0.010459226,0.0051479,0.008702402
면,0.72255737,0.0005637932,0.071207084,0.033658452,0.018436037,0.019281728,0.020578451,0.004228449,0.043299317,0.020127418,0.005299656,0.005976208,0.0038337938,0.014827761,0.0073293117,0.008795174
로,0.49812165,0.00021673169,0.011775755,0.054977603,0.019867072,0.01726629,0.0071521457,0.0015171218,0.015243462,0.006935414,0.17786448,0.014809999,0.14947262,0.010186389,0.0066464385,0.007946828
나,0.47617382,0.000932075,0.020389142,0.03367121,0.028661307,0.009903297,0.014796691,0.0011650937,0.34312013,0.016078295,0.004660375,0.008971222,0.012116975,0.011650938,0.0060584876,0.011650938
하며,0.72513634,0.0,0.017917424,0.12672034,0.016489225,0.021423006,0.008699039,0.001298364,0.018306933,0.00973773,0.005453129,0.004803947,0.005842638,0.022591535,0.0040249284,0.01155544
어늘,0.7343975,0.00039251603,0.008504514,0.07693314,0.03872825,0.023027606,0.013999739,0.0017009028,0.01975664,0.015177286,0.0017009028,0.02970038,0.0070652887,0.014915609,0.0039251605,0.010074578
하다,0.7420736,0.00053511705,0.0016053512,0.08428094,0.037725754,0.04147157,0.003478261,0.00026755853,0.007491639,0.007759197,0.0014715719,0.053913042,0.0089632105,0.003478261,0.0008026756,0.004682274
를,0.7081686,0.0,0.03046772,0.070487484,0.049736496,0.019104084,0.009222661,0.0014822134,0.041666668,0.00872859,0.009387352,0.009222661,0.006916996,0.010704875,0.010540185,0.014163373
니라,0.69641566,0.012128892,0.037472844,0.029869659,0.034395367,0.012853005,0.010499638,0.0021723388,0.057023894,0.016292542,0.020818248,0.0070601013,0.027154235,0.015025344,0.0072411294,0.013577118
러니,0.7392231,0.00023685457,0.003789673,0.07342492,0.03410706,0.021316912,0.029369967,0.0011842728,0.011605874,0.011132165,0.0021316912,0.036949314,0.011605874,0.008763619,0.0035528187,0.011605874
라하니,0.76540226,0.022952404,0.03865668,0.0036240637,0.03479101,0.013288233,0.012080213,0.0043488764,0.029234115,0.014737859,0.008456149,0.011113795,0.010147379,0.010872192,0.002899251,0.017395506
와,0.505,0.002,0.0105,0.30075,0.0125,0.00675,0.007,0.003,0.0225,0.00325,0.0065,0.09575,0.0045,0.00525,0.0055,0.00925
니이다,0.6803511,0.0,0.042468857,0.037372593,0.042468857,0.014156286,0.02180068,0.00198188,0.06285391,0.014722537,0.004813137,0.0059456397,0.020385051,0.016421292,0.017270667,0.016987542
로되,0.7114821,0.0,0.020210896,0.05916813,0.069712944,0.01318102,0.025776215,0.0029291154,0.024311658,0.013473931,0.0017574693,0.011423551,0.009080258,0.018746339,0.008201523,0.010544815
한대,0.7921011,0.0,0.004107425,0.07203791,0.023696683,0.02464455,0.013902054,0.00031595575,0.004107425,0.0072669825,0.0006319115,0.044233806,0.0022116904,0.0047393367,0.0028436019,0.0031595577
아,0.75494206,0.0010224949,0.05214724,0.033060666,0.013292434,0.011588275,0.017382413,0.0020449897,0.04464894,0.017382413,0.0010224949,0.0044308114,0.00852079,0.009202454,0.0040899795,0.02522154
하니라,0.6717967,0.001789549,0.010737294,0.07730852,0.05368647,0.032927703,0.009663565,0.01753758,0.014674302,0.008231926,0.020042948,0.021116678,0.029348604,0.01789549,0.0010737294,0.012168934
하면,0.7463249,0.0011307953,0.048247267,0.066716924,0.016584998,0.018469658,0.013569544,0.0022615907,0.03467772,0.011684885,0.00037693177,0.004900113,0.003392386,0.018846588,0.0041462495,0.00866943
라도,0.39872155,0.0,0.044746306,0.031562127,0.01997603,0.015181782,0.018377947,0.0011985617,0.42069516,0.009188973,0.0051937676,0.004794247,0.0067918496,0.0079904115,0.0035956851,0.011985618
오,0.78374046,0.0012014417,0.026031237,0.06487785,0.011613937,0.008810572,0.0072086505,0.0032038447,0.0412495,0.0052062473,0.0016019223,0.012014417,0.0108129755,0.0068081697,0.00080096116,0.014817782
로다,0.6704846,0.004845815,0.011013215,0.2198238,0.01938326,0.013656388,0.004845815,0.004405286,0.017621145,0.0052863434,0.0,0.0066079297,0.006167401,0.008370044,0.0,0.007488987
리오,0.7297048,0.0,0.0650369,0.012915129,0.016605167,0.008763838,0.021217711,0.009686347,0.050276753,0.017066421,0.0,0.0055350554,0.014298893,0.011531365,0.0050738007,0.03228782
며,0.75324005,0.00311042,0.016588906,0.1093831,0.019180922,0.00777605,0.012960083,0.0041472265,0.030067392,0.0036288232,0.0020736132,0.0057024364,0.00622084,0.00777605,0.0036288232,0.014515293
하시니,0.7243797,0.0005393743,0.04368932,0.059331175,0.013484358,0.02373247,0.0151024815,0.0005393743,0.02373247,0.007011866,0.016720604,0.0075512407,0.014023732,0.0059331176,0.0075512407,0.036677454
라가,0.70562536,0.0,0.0032768978,0.12834516,0.020207537,0.021845985,0.021299835,0.0016384489,0.012561441,0.01474604,0.0005461496,0.03003823,0.018569088,0.013653741,0.0016384489,0.006007646
라하고,0.8039548,0.01920904,0.018079096,0.0050847456,0.025423728,0.018079096,0.010169491,0.003954802,0.023163842,0.014124294,0.0050847456,0.012429379,0.010734463,0.0062146895,0.006779661,0.017514125
