현토,총빈도_PA,총빈도_SA,종결비율,위치기능,번역패턴수,주요번역패턴,한자클러스터K,Silhouette,다의성,클러스터상세
라,51239,51223,0.892,종결,18353,"말한것이다(1190), 하는것이다(1005), 부이다(726)",2,0.249,다의적,"C0:[之,也,而,不,以] | C1:[子,下,天,王,文]"
는,41454,41441,0.003,접속/중간,17428,"이는(952), 지않은것은(258), 사는(234)",2,0.441,다의적,"C0:[之,者,而,以,不] | C1:[子,曰,王,周,于]"
하고,25409,25401,0.046,접속/중간,16150,"하지못하고(198), 지못하였고(110), 하지않았고(97)",2,0.236,다의적,"C0:[子,公,王,使,曰] | C1:[之,以,而,不,其]"
하니,22174,22170,0.112,접속/중간,10684,"지않았으니(305), 게하였으니(217), 하지않으니(192)",2,0.279,다의적,"C0:[之,而,以,不,其] | C1:[子,天,曰,王,于]"
하여,20696,20695,0.022,접속/중간,14005,"지아니하여(229), 때를당하여(137), 하지못하여(118)",2,0.412,다의적,"C0:[子,王,于,乃,命] | C1:[之,以,其,而,不]"
에,19173,19160,0.005,접속/중간,10129,"월에(446), 이에(385), 여름에(235)",2,0.265,다의적,"C0:[之,於,其,而,月] | C1:[子,下,天,王,旣]"
가,17551,17543,0.016,접속/중간,10870,"상이(246), 왕이(153), 상은(142)",2,0.285,다의적,"C0:[之,人,而,其,以] | C1:[王,子,天,下,民]"
하야,17393,17385,0.023,접속/중간,12509,"두려워하여(99), 때를당하여(54), 를정벌하여(52)",1,0.192,다의적,
니,14007,14004,0.12,접속/중간,7276,"하는것이니(313), 기때문이니(136), 있는것이니(131)",2,0.322,다의적,"C0:[曰,子,可,矣,君] | C1:[之,也,而,不,者]"
요,13495,13492,0.08,접속/중간,8222,"하는것이요(153), 것이아니요(105), 말한것이요(91)",1,0.184,다의적,
면,10510,10506,0.009,접속/중간,5522,"지않는다면(338), 하지않으면(325), 하지못하면(96)",2,0.549,다의적,"C0:[之,不,而,以,其] | C1:[曰,我,吾]"
로,9445,9398,0.004,접속/중간,3810,"그러므로(2211), 이때문에(597), 때문에(480)",2,0.291,다의적,"C0:[子,下,天,王,文] | C1:[以,故,之,其,而]"
하다,8680,8680,0.984,종결,2387,"하게하였다(279), 로삼았다(229), 으로삼았다(220)",1,0.193,다의적,
니라,5900,5897,0.992,종결,2656,"하는것이다(146), 없는것이다(142), 있는것이다(141)",2,0.27,다의적,"C0:[子,無,天,下,曰] | C1:[之,不,而,也,以]"
나,5545,5534,0.061,접속/중간,2738,"그러나(777), 다하더라도(86), 지않았으나(55)",2,0.559,다의적,"C0:[之,雖,不,然,其] | C1:[曰,吾,我]"
어늘,4822,4822,0.209,접속/중간,3188,"지않았는데(43), 게하였는데(32), 못하였는데(29)",2,0.427,다의적,"C0:[之,以,不,而,其] | C1:[子,王,曰,將,于]"
하며,4406,4400,0.117,접속/중간,3179,"하지않으며(108), 지않았으며(64), 지아니하며(24)",2,0.274,다의적,"C0:[之,不,而,其,以] | C1:[子,下,天,于,民]"
니이다,3562,3562,0.971,종결,762,"는것입니다(262), 하였습니다(180), 니다하였다(116)",2,0.553,다의적,"C0:[之,而,不,以,其] | C1:[臣,陛]"
를,3525,3522,0.007,접속/중간,3047,"지않는것을(17), 하는자들을(11), 게하는것을(10)",2,0.565,다의적,"C0:[之,而,者,其,不] | C1:[我,惟,于]"
아,3211,3210,0.909,종결,1139,"수있겠는가(365), 아니겠는가(150), 지않겠는가(128)",3,0.471,다의적,"C0:[之,不,而,其,以] | C1:[乎,豈,哉,況,何] | C2:[曰,我,吾]"
하니라,3119,3115,0.989,종결,1606,"에보인다(106), 같은것이다(99), 하지않았다(56)",2,0.271,다의적,"C0:[之,以,其,而,不] | C1:[子,文,王,于,天]"
러니,2697,2695,0.288,접속/중간,1358,"게하였는데(88), 고있었는데(60), 지않았는데(49)",2,0.36,다의적,"C0:[之,以,爲,不,其] | C1:[子,王,曰,天,臣]"
라하니,2504,2503,0.276,접속/중간,427,"다하였으니(589), 고하였으니(379), 다라고하니(183)",2,0.377,다의적,"C0:[曰,子,王,云,聞] | C1:[之,不,以,而,其]"
로다,2422,2422,0.968,종결,1658,"이를만하다(31), 지못하도다(27), 다고하였다(27)",2,0.441,다의적,"C0:[之,其,不,有,以] | C1:[子,我,于,曰,彼]"
와,2376,2374,0.011,접속/중간,2001,"년(68), 왕년(26), 희년(21)",4,0.202,다의적,"C0:[之,其,以,而,二] | C1:[王,子,天,下,文] | C2:[惟] | C3:[十,秦,楚,書,司]"
리오,2245,2245,0.945,종결,556,"수있겠는가(265), 있겠습니까(177), 이있겠는가(141)",2,0.55,다의적,"C0:[何,豈,哉,吾,我] | C1:[之,不,而,其,以]"
한대,2088,2087,0.239,접속/중간,1353,"게하였는데(51), 에게물으니(31), 하게하였다(24)",4,0.202,다의적,"C0:[之,以,爲,而,人] | C1:[公,使,將,侯,太] | C2:[問,請,告,曰,臣] | C3:[子,王,于,乃,天]"
오,1997,1996,0.538,혼합,1105,"어째서인가(113), 이겠습니까(57), 라고하였다(38)",2,0.54,다의적,"C0:[何,曰,哉,我,吾] | C1:[之,也,而,不,其]"
로되,1981,1981,0.089,접속/중간,1418,"하였는데도(28), 지않았으나(26), 있을것이나(13)",2,0.215,다의적,"C0:[之,以,而,其,者] | C1:[不,子,矣,可,今]"
하면,1561,1561,0.027,접속/중간,1077,"하지않으면(33), 로써말하면(24), 을살펴보면(22)",2,0.463,다의적,"C0:[子,曰,王,于,惟] | C1:[之,而,以,其,不]"
라도,1420,1415,0.007,접속/중간,713,"다하더라도(149), 라하더라도(65), 지않더라도(51)",2,0.416,다의적,"C0:[子,曰,焉,吾,于] | C1:[之,雖,不,而,其]"
리라,1203,1202,0.957,종결,373,"있을것이다(80), 없을것이다(75), 이없으리라(71)",2,0.339,다의적,"C0:[矣,子,無,可,必] | C1:[之,不,而,其,則]"
며,1173,1173,0.171,접속/중간,893,"할수있으며(17), 지않겠으며(12), 을수있으며(11)",3,0.401,다의적,"C0:[之,也,不,而,以] | C1:[子,曰,矣,我,吾] | C2:[何,乎,豈]"
라하고,1099,1099,0.291,접속/중간,391,"다라고하고(105), 다고하고서(84), 라고하였고(42)",2,0.297,다의적,"C0:[之,不,以,也,而] | C1:[曰,子,吾,王,天]"
하시니,1097,1096,0.155,접속/중간,690,"게하셨으니(27), 않으셨으니(25), 지않으시니(22)",2,0.382,다의적,"C0:[子,王,陛,孔,聖] | C1:[之,而,以,不,下]"
라가,1067,1067,0.056,접속/중간,710,"이되었다가(27), 로옮겼다가(25), 가되었다가(18)",3,0.202,다의적,"C0:[子,王,于,天,方] | C1:[之,以,不,而,其] | C2:[州,公,年,書,使]"
하사,994,994,0.06,접속/중간,807,"지않으시어(15), 을내리시어(10), 에게명하여(8)",3,0.345,다의적,"C0:[陛,臣,伏,聞,察] | C1:[之,下,天,以,其] | C2:[王,于,惟,子,帝]"
어든,967,966,0.048,접속/중간,730,"자가있으면(30), 하지않거든(12), 지못하거든(11)",2,0.443,다의적,"C0:[子,曰,王,我,于] | C1:[之,不,有,其,而]"
라하니라,908,908,0.991,종결,222,"라고하였다(128), 이다하였다(106), 고한것이다(74)",2,0.4,다의적,"C0:[曰,子,矣,云,吾] | C1:[之,也,以,而,不]"
러라,894,894,0.997,종결,580,"지못하였다(32), 하지않았다(15), 수가없었다(10)",1,0.194,다의적,
하나니,887,887,0.329,혼합,710,"하지않으니(25), 하는것이니(9), 는것입니다(9)",3,0.306,다의적,"C0:[之,而,不,其,則] | C1:[天,下,民,德,惟] | C2:[子,君,曰,焉,乎]"
호되,876,873,0.073,접속/중간,642,"청하였으나(14), 게이르기를(13), 자하였으나(12)",2,0.252,다의적,"C0:[子,公,奏,書,曰] | C1:[之,以,言,其,人]"
엔,843,843,0.001,접속/중간,555,"에있어서는(51), 옛날에는(18), 지금은(11)",2,0.269,다의적,"C0:[子,君,天,方,曰] | C1:[之,其,也,而,於]"
하라,762,761,0.907,종결,464,"라고하였다(85), 하라하였다(24), 기바랍니다(18)",2,0.42,다의적,"C0:[之,以,子,其,無] | C1:[曰,我,于,爾,惟]"
여,755,755,0.35,혼합,497,"거운군자여(21), 그사람이여(14), 근심함이여(13)",2,0.314,다의적,"C0:[之,也,不,其,君] | C1:[兮,子,彼,曰,乎]"
할새,739,739,0.07,접속/중간,538,"정벌할적에(10), 다스릴적에(9), 접대할때(7)",1,0.194,다의적,
도,644,643,0.002,접속/중간,597,"지않는것도(5), 요순도(3), 지않는자도(3)",2,0.452,다의적,"C0:[子,曰,王,吾,命] | C1:[之,而,者,其,不]"
하노라,644,644,0.941,종결,373,"라고하였다(29), 다고하였다(18), 을올립니다(11)",2,0.38,다의적,"C0:[子,曰,請,吾,于] | C1:[之,以,其,不,爲]"
하니이다,597,597,0.98,종결,184,"하였습니다(108), 고있습니다(35), 되었습니다(33)",2,0.25,다의적,"C0:[下,天,民,王,子] | C1:[之,以,不,而,其]"
잇가,596,596,0.878,종결,137,"있겠습니까(99), 이겠습니까(57), 니겠습니까(36)",2,0.452,다의적,"C0:[之,而,不,以,其] | C1:[乎,何,豈,哉,況]"
어니와,593,593,0.172,접속/중간,361,"수있거니와(31), 할수있지만(15), 할수있으나(9)",2,0.357,다의적,"C0:[曰,子,矣,吾,我] | C1:[之,不,可,也,而]"
하되,574,573,0.075,접속/중간,538,"게이르기를(4), 이되었지만(3), 못했는데도(3)",2,0.229,다의적,"C0:[子,臣,公,曰,王] | C1:[之,以,而,其,不]"
하리라,558,558,0.9,종결,217,"다고하였다(62), 길하리라(45), 라고하였다(30)",2,0.401,다의적,"C0:[之,不,其,有,以] | C1:[曰,子,我,吾,乃]"
호대,555,550,0.027,접속/중간,276,"이르기를(40), 소(36), 여씨(34)",2,0.212,다의적,"C0:[之,人,其,於,有] | C1:[曰,氏,子,呂,疏]"
하리니,522,522,0.195,접속/중간,252,"없을것이니(29), 않을것이니(27), 있을것이니(22)",2,0.486,다의적,"C0:[之,不,而,以,其] | C1:[子,曰,我,吾,于]"
하시고,520,520,0.088,접속/중간,415,"지않으시고(13), 을들으시고(12), 지않으셨고(9)",3,0.319,다의적,"C0:[之,以,不,而,下] | C1:[子,王,帝,舜,文] | C2:[陛,臣,伏,聞,問]"
인댄,450,450,0.031,접속/중간,278,"고자한다면(38), 고자할진댄(16), 자하신다면(12)",2,0.403,다의적,"C0:[之,欲,不,以,其] | C1:[子,曰,我,弗,思]"
컨대,447,447,0.013,접속/중간,195,"살펴보건대(43), 상고해보면(17), 를살펴보면(16)",2,0.366,다의적,"C0:[臣,聞,考,子,曰] | C1:[之,以,觀,由,今]"
하소서,435,435,0.901,종결,204,"결정하소서(24), 서라고하니(24), 하지마소서(23)",2,0.355,다의적,"C0:[之,以,其,下,不] | C1:[臣,惟,陛,願,伏]"
일새,434,434,0.173,접속/중간,298,"하였으므로(19), 수없으므로(16), 였기때문에(11)",2,0.428,다의적,"C0:[子,曰,王,命,我] | C1:[之,不,以,其,而]"
리이다,415,414,0.947,종결,75,"을것입니다(124), 할것입니다(49), 될것입니다(46)",2,0.552,다의적,"C0:[臣,陛] | C1:[之,不,而,以,矣]"
리니,396,396,0.202,접속/중간,203,"없을것이니(28), 있을것이니(23), 않을것이니(18)",2,0.375,다의적,"C0:[矣,必,將,若,子] | C1:[之,而,不,則,其]"
인저,391,391,0.957,종결,238,"일것이다(18), 있을것이다(11), 다할것이다(8)",2,0.397,다의적,"C0:[子,曰,哉,王,我] | C1:[之,其,而,乎,以]"
라하다,390,390,0.982,종결,82,"라고하였다(194), 다고하였다(49), 이라하였다(17)",3,0.302,다의적,"C0:[之,不,以,也,其] | C1:[子,王,皇,天,后] | C2:[曰,吾,將,我,死]"
로라,382,382,0.969,종결,232,"지못하였다(19), 지못하겠다(16), 라고하였다(15)",2,0.437,다의적,"C0:[之,不,也,其,而] | C1:[吾,曰,聞,敢,焉]"
라야,366,366,0.016,접속/중간,310,"어떠하여야(7), 사람이라야(6), 덕이있어야(6)",2,0.577,다의적,"C0:[之,其,而,有,必] | C1:[曰,何]"
히,333,333,0.006,접속/중간,111,"이르기까지(181), 터지금까지(7), 에관계없이(6)",3,0.427,다의적,"C0:[子,于,王,庶,帝] | C1:[至,自,之,於,以] | C2:[曰,吾]"
라하여,333,333,0.12,접속/중간,218,"고생각하여(15), 다라고하여(8), 이있다하여(8)",2,0.401,다의적,"C0:[曰,王,子,帝,乃] | C1:[以,之,爲,不,有]"
하노이다,326,326,0.945,종결,132,"니다하였다(31), 올리나이다(27), 는것입니다(21)",2,0.331,다의적,"C0:[之,以,不,而,言] | C1:[臣,願,敢,請,謹]"
시니라,315,315,0.997,종결,119,"하신것이다(98), 으신것이다(24), 주신것이다(15)",2,0.354,다의적,"C0:[子,孔,聖,孟,告] | C1:[之,以,也,而,其]"
하여는,313,313,0.0,접속/중간,147,"이르러서는(62), 에있어서는(29), 에미쳐서는(25)",2,0.381,다의적,"C0:[子,王,焉,于,將] | C1:[之,至,於,其,及]"
고,292,291,0.729,종결,208,"어째서인가(16), 수있겠는가(6), 왜냐하면(6)",2,0.469,다의적,"C0:[之,不,則,而,其] | C1:[何,曰,孰,誰,我]"
라하야,252,252,0.187,접속/중간,138,"다라고하여(19), 라고하면서(14), 이라고여겨(11)",2,0.522,다의적,"C0:[曰,吾,我] | C1:[以,之,爲,而,不]"
일새라,250,250,1.0,종결,17,"기때문이다(222), 때문입니다(6), 때문이었다(6)",3,0.365,다의적,"C0:[王,子,戒,于,曰] | C1:[也,之,不,以,而] | C2:[吉,无,咎,貞,凶]"
호라,245,245,1.0,종결,176,"지못했노라(8), 지못하노라(7), 글퍼하노라(6)",3,0.353,다의적,"C0:[之,不,心,其,以] | C1:[我,憂,于,靡,予] | C2:[兮,采,彼,薄,寐]"
라하시니,242,242,0.293,접속/중간,64,"다하셨으니(47), 고하셨으니(39), 다하였으니(35)",2,0.361,다의적,"C0:[子,曰,孔,孟,王] | C1:[之,不,也,而,以]"
의,241,240,0.004,접속/중간,229,"숙과같이(3), 이륜이(2), 나처럼(2)",2,0.504,다의적,"C0:[之,其,不,人,以] | C1:[惟,于,爾,我,予]"
하시며,237,237,0.101,접속/중간,180,"지않으시며(14), 않으셨으며(9), 에이르며(7)",2,0.363,다의적,"C0:[于,惟,王,克,乃] | C1:[之,不,以,天,而]"
하시니라,237,237,0.992,종결,131,"하신것이다(47), 으신것이다(11), 씀한것이다(7)",2,0.367,다의적,"C0:[之,以,故,不,而] | C1:[子,王,孔,于,孟]"
하나니라,236,236,0.992,종결,196,"않는것이다(8), 하는것이다(6), 하지않는다(5)",2,0.448,다의적,"C0:[以,之,子,而,不] | C1:[于,作,命,邦,惟]"
로소이다,220,220,0.964,종결,102,"되었습니다(26), 니다하였다(10), 하였습니다(10)",2,0.392,다의적,"C0:[之,不,而,以,於] | C1:[臣,伏,恩,敢,聞]"
하얀,216,216,0.005,접속/중간,101,"이르러서는(74), 로말하자면(18), 에미쳐서는(13)",2,0.291,다의적,"C0:[之,其,至,於,及] | C1:[天,子,旣,喪,王]"
리잇가,205,205,0.99,종결,43,"있겠습니까(85), 하겠습니까(16), 않겠습니까(13)",2,0.596,다의적,"C0:[何,豈,哉,誰,孰] | C1:[之,而,不,以,其]"
호니,204,204,0.137,접속/중간,134,"를만나보니(15), 에게들으니(7), 내가들으니(7)",2,0.31,다의적,"C0:[聞,子,臣,我,曰] | C1:[之,見,不,君,旣]"
하리이다,191,191,0.958,종결,48,"을것입니다(40), 할것입니다(28), 될것입니다(21)",2,0.555,다의적,"C0:[之,不,以,其,而] | C1:[惟,厥,于,陛,罔]"
하노니,191,191,0.194,접속/중간,159,"을고하노니(6), 지못하노니(5), 하고자하니(5)",2,0.414,다의적,"C0:[我,曰,吾,敢,予] | C1:[之,以,不,其,今]"
어다,186,186,0.833,종결,71,"지말지어다(69), 경할지어다(14), 게할지어다(7)",3,0.359,다의적,"C0:[于,惟,命,愼,汝] | C1:[無,之,其,子,不] | C2:[爾,我,哉,兮,予]"
온,185,185,0.189,접속/중간,156,"할수없는데(9), 하지않는데(6), 못하였는데(3)",2,0.506,다의적,"C0:[之,不,其,以,猶] | C1:[曰,敢,我,吾,于]"
라한대,180,180,0.483,혼합,85,"다라고하자(18), 라고하였다(17), 니다하였다(17)",2,0.366,다의적,"C0:[之,以,不,人,言] | C1:[曰,子,王,告,吾]"
라하니이다,176,176,0.989,종결,34,"하였습니다(101), 다고합니다(21), 한것입니다(6)",2,0.444,다의적,"C0:[曰,聞,子,矣,詩] | C1:[之,不,以,而,者]"
어시늘,147,147,0.15,접속/중간,127,"게하였는데(5), 씀하셨는데(3), 게하셨는데(3)",2,0.289,다의적,"C0:[王,子,命,惟,帝] | C1:[之,天,以,於,有]"
하야는,145,145,0.0,접속/중간,67,"이르러서는(53), 에있어서는(9), 에이르러는(9)",2,0.314,다의적,"C0:[子,天,文,方,于] | C1:[之,至,於,其,而]"
하시면,142,142,0.063,접속/중간,102,"지않으시면(11), 게하신다면(9), 님이오시면(4)",4,0.361,다의적,"C0:[王,惟,曰,子,后] | C1:[之,下,以,不,其] | C2:[哉,何] | C3:[陛,臣,願,伏,擇]"
로대,134,134,0.09,접속/중간,129,"려하였으나(2), 가있었으나(2), 지않았으나(2)",2,0.249,다의적,"C0:[之,以,於,不,而] | C1:[子,曰,公,王,宗]"
호리라,132,132,0.924,종결,81,"라고하였다(7), 겠다하였다(7), 돌아가리라(6)",2,0.307,다의적,"C0:[之,不,子,言,其] | C1:[我,兮,予,曰,于]"
하시다,131,131,1.0,종결,99,"지않으셨다(8), 르게하였다(5), 지못하였다(4)",2,0.304,다의적,"C0:[之,以,公,至,不] | C1:[于,子,王,乃,孔]"
시니,123,123,0.285,접속/중간,99,"하신것이니(8), 하신것이다(7), 려해서이니(4)",2,0.354,다의적,"C0:[之,天,也,不,以] | C1:[子,王,惟,命,帝]"
