cluster_id_pa,cluster_id_sa,weight
0,0,52.0
0,2,591.0
0,3,683.0
0,4,217.0
0,5,113.0
0,6,305.0
0,7,900.0
0,8,1000.0
0,9,443.0
0,10,197.0
0,11,164.0
0,12,111.0
0,13,136.0
0,14,377.0
0,15,301.0
1,0,12.0
1,2,528.0
1,3,1595.0
1,4,438.0
1,5,68.0
1,6,1274.0
1,7,1608.0
1,8,2155.0
1,9,1258.0
1,10,102.0
1,11,85.0
1,12,1.0
1,13,517.0
1,14,145.0
1,15,53.0
2,13,6.0
3,0,386.0
3,2,199.0
3,3,240.0
3,4,97.0
3,5,551.0
3,6,303.0
3,7,316.0
3,8,570.0
3,9,454.0
3,10,262.0
3,11,131.0
3,12,162.0
3,13,3669.0
3,14,401.0
3,15,255.0
4,0,415.0
4,2,800.0
4,3,453.0
4,4,239.0
4,5,367.0
4,6,352.0
4,7,841.0
4,8,1164.0
4,9,519.0
4,10,605.0
4,11,412.0
4,12,947.0
4,13,264.0
4,14,530.0
4,15,945.0
5,0,667.0
5,2,134.0
5,3,12.0
5,4,39.0
5,5,91.0
5,6,10.0
5,7,53.0
5,8,212.0
5,9,14.0
5,10,132.0
5,11,96.0
5,12,1202.0
5,13,76.0
5,14,36.0
5,15,205.0
6,0,60.0
6,2,178.0
6,3,179.0
6,4,98.0
6,5,927.0
6,6,72.0
6,7,285.0
6,8,367.0
6,9,261.0
6,10,77.0
6,11,183.0
6,12,132.0
6,13,405.0
6,14,499.0
6,15,98.0
7,0,382.0
7,2,414.0
7,3,110.0
7,4,72.0
7,5,171.0
7,6,97.0
7,7,250.0
7,8,1494.0
7,9,98.0
7,10,677.0
7,11,482.0
7,12,793.0
7,13,48.0
7,14,144.0
7,15,626.0
8,0,326.0
8,2,795.0
8,3,979.0
8,4,393.0
8,5,624.0
8,6,889.0
8,7,1297.0
8,8,921.0
8,9,1233.0
8,10,485.0
8,11,281.0
8,12,122.0
8,13,1724.0
8,14,484.0
8,15,458.0
9,0,241.0
9,2,308.0
9,3,207.0
9,4,354.0
9,5,62.0
9,6,625.0
9,7,263.0
9,8,1091.0
9,9,301.0
9,10,411.0
9,11,100.0
9,12,81.0
9,13,149.0
9,14,117.0
9,15,459.0
10,0,15.0
10,2,829.0
10,3,404.0
10,4,173.0
10,5,25.0
10,6,157.0
10,7,1399.0
10,8,2175.0
10,9,323.0
10,10,451.0
10,11,530.0
10,12,117.0
10,13,156.0
10,14,191.0
10,15,164.0
11,0,183.0
11,2,477.0
11,3,440.0
11,4,249.0
11,5,175.0
11,6,380.0
11,7,721.0
11,8,509.0
11,9,526.0
11,10,443.0
11,11,650.0
11,12,360.0
11,13,159.0
11,14,250.0
11,15,363.0
12,0,235.0
12,2,762.0
12,3,380.0
12,4,80.0
12,5,110.0
12,6,383.0
12,7,488.0
12,8,1458.0
12,9,336.0
12,10,239.0
12,11,93.0
12,12,56.0
12,13,291.0
12,14,88.0
12,15,1388.0
13,0,404.0
13,2,798.0
13,3,595.0
13,4,410.0
13,5,771.0
13,6,676.0
13,7,838.0
13,8,765.0
13,9,847.0
13,10,453.0
13,11,233.0
13,12,230.0
13,13,526.0
13,14,302.0
13,15,544.0
14,0,249.0
14,2,130.0
14,3,114.0
14,4,57.0
14,5,450.0
14,6,234.0
14,7,298.0
14,8,838.0
14,9,427.0
14,10,258.0
14,11,183.0
14,12,25.0
14,13,3731.0
14,14,330.0
14,15,110.0
15,0,235.0
15,2,836.0
15,3,424.0
15,4,287.0
15,5,136.0
15,6,327.0
15,7,844.0
15,8,2281.0
15,9,380.0
15,10,700.0
15,11,533.0
15,12,905.0
15,13,26.0
15,14,330.0
15,15,621.0
