hanja,hyeonto,cooccur_count,hanja_count,hyeonto_count,pmi
乎,아,1413,3952,2954,5.47
何,오,1010,3907,2241,5.401
乎,잇가,290,3952,647,5.376
何,리오,729,3907,2019,5.081
至,하여는,375,6585,738,4.821
矣,리라,370,6060,872,4.68
及,하여는,183,4008,738,4.502
何,잇가,127,3907,647,4.202
必,리라,171,3926,872,4.193
故,로,2137,6906,7466,3.924
矣,로다,235,6060,952,3.899
曰,호대,389,14316,778,3.677
月,에,2728,4062,20869,3.559
焉,리오,176,3049,2019,3.388
然,나,849,6302,5073,3.282
何,며,76,3907,752,3.244
若,면,711,3413,8230,3.213
吾,라하고,96,3686,1225,2.961
晉,할새,56,3243,908,2.8
言,호되,139,7503,995,2.769
焉,하노라,42,3049,743,2.763
於,하여는,235,17777,738,2.714
可,로다,156,9245,952,2.698
亦,리라,71,4602,872,2.696
自,로,1006,7614,7466,2.696
州,라가,95,3948,1394,2.66
何,아,199,3907,2954,2.659
年,에,2185,6075,20869,2.658
謂,로다,84,5258,952,2.62
時,엔,50,4223,708,2.615
是,로,898,7292,7466,2.595
州,할새,59,3948,908,2.592
將,할새,79,5323,908,2.582
可,아,446,9245,2954,2.58
將,리라,75,5323,872,2.565
于,하다,947,4860,12378,2.527
矣,로되,186,6060,1954,2.524
世,엔,42,3916,708,2.472
十,와,201,5743,2395,2.42
乃,잇가,32,3432,647,2.4
亦,아,195,4602,2954,2.393
焉,하라,34,3049,794,2.363
矣,니라,359,6060,4236,2.357
晉,하다,561,3243,12378,2.356
矣,라하고,101,6060,1225,2.317
可,잇가,81,9245,647,2.31
亦,잇가,40,4602,647,2.299
欲,한대,128,3821,2501,2.294
也,니라,1494,26664,4236,2.276
非,요,453,4326,8043,2.253
于,할새,57,4860,908,2.242
可,니이다,571,9245,4802,2.236
者,는,5528,21101,20443,2.231
亦,로다,56,4602,952,2.227
士,가,165,4026,3256,2.205
也,니이다,1607,26664,4802,2.2
如,오,163,5821,2241,2.194
吾,하노라,34,3686,743,2.185
則,리라,103,9567,872,2.177
若,오,94,3413,2241,2.17
乎,리오,98,3952,2019,2.169
謂,라하여,42,5258,654,2.161
無,하라,93,9706,794,2.144
十,에,1429,5743,20869,2.126
矣,니이다,344,6060,4802,2.114
能,리오,136,5699,2019,2.114
吾,리라,38,3686,872,2.114
以,라하여,267,34619,654,2.111
能,아,198,5699,2954,2.107
皆,러라,84,5714,1251,2.106
侯,하다,606,4218,12378,2.088
矣,니,542,6060,7760,2.078
時,에,1014,4223,20869,2.075
亦,니라,222,4602,4236,2.06
又,리오,96,4202,2019,2.051
乃,하다,480,3432,12378,2.049
必,하라,35,3926,794,2.04
使,한대,205,7315,2501,2.037
師,하다,483,3481,12378,2.037
可,리라,90,9245,872,2.032
上,호되,61,5497,995,2.03
者,도,140,21101,599,2.02
使,로,603,7315,7466,2.016
也,오,656,26664,2241,2.007
侯,할새,42,4218,908,2.006
及,엔,31,4008,708,2.0
後,에,1159,5088,20869,1.999
吾,로다,38,3686,952,1.988
以,로,2796,34619,7466,1.986
未,니이다,225,4332,4802,1.986
可,라하고,122,9245,1225,1.98
焉,하니라,89,3049,2711,1.979
此,잇가,56,8103,647,1.968
若,하면,41,3413,1137,1.952
此,니이다,411,8103,4802,1.952
爲,라하여,158,22901,654,1.95
死,리라,29,3155,872,1.949
王,이,1153,8165,13390,1.949
師,할새,33,3481,908,1.935
乎,며,31,3952,752,1.934
世,하여는,30,3916,738,1.927
謂,라하니라,37,5258,678,1.926
已,로다,38,3851,952,1.924
可,며,72,9245,752,1.923
皆,로되,115,5714,1954,1.915
亦,니이다,227,4602,4802,1.911
下,하시니,66,10574,611,1.903
有,어든,135,16242,817,1.898
已,니이다,188,3851,4802,1.897
非,아,130,4326,2954,1.897
非,면,360,4326,8230,1.889
太,할새,35,3822,908,1.885
矣,러라,75,6060,1251,1.857
可,니라,387,9245,4236,1.856
將,한대,131,5323,2501,1.849
非,니라,179,4326,4236,1.839
已,니라,159,3851,4236,1.836
必,라하여,25,3926,654,1.834
非,니이다,202,4326,4802,1.832
知,로다,57,6165,952,1.831
能,어든,45,5699,817,1.824
者,가,663,21101,3256,1.821
上,이,705,5497,13390,1.811
吾,리오,71,3686,2019,1.805
士,도,23,4026,599,1.804
州,러니,123,3948,3273,1.802
欲,나,184,3821,5073,1.798
矣,라하니라,39,6060,678,1.798
二,와,117,5144,2395,1.798
與,로,496,7002,7466,1.797
矣,라,1728,6060,30042,1.797
也,라,7597,26664,30042,1.796
後,엔,34,5088,708,1.789
必,라하니라,25,3926,678,1.782
也,라하니라,169,26664,678,1.775
無,리라,79,9706,872,1.773
吾,라하니라,23,3686,678,1.753
今,엔,33,5115,708,1.739
可,라하여,55,9245,654,1.736
非,어든,32,4326,817,1.729
軍,라가,40,3184,1394,1.723
可,요,668,9245,8043,1.718
夫,는,1049,5744,20443,1.71
已,잇가,22,3851,647,1.693
得,리오,123,6911,2019,1.691
死,라하고,34,3155,1225,1.688
故,하노라,45,6906,743,1.683
焉,며,20,3049,752,1.676
欲,호되,33,3821,995,1.668
四,에,572,3183,20869,1.657
若,어든,24,3413,817,1.656
日,에,665,3756,20869,1.636
者,를,536,21101,2996,1.635
此,하면,78,8103,1137,1.633
二,에,907,5144,20869,1.63
無,니이다,393,9706,4802,1.627
也,로다,214,26664,952,1.626
能,잇가,31,5699,647,1.622
已,니,251,3851,7760,1.621
民,하니이다,24,3618,791,1.619
必,라하니,67,3926,2035,1.619
言,라하여,41,7503,654,1.614
上,라하여,30,5497,654,1.612
可,라하니,157,9245,2035,1.612
非,며,27,4326,752,1.604
道,라하니라,23,4092,678,1.602
非,로되,70,4326,1954,1.601
也,며,166,26664,752,1.6
曰,라하고,145,14316,1225,1.598
非,잇가,23,4326,647,1.589
未,엔,25,4332,708,1.578
死,어든,21,3155,817,1.577
五,에,548,3226,20869,1.576
書,하노라,29,4799,743,1.575
已,오,70,3851,2241,1.571
也,니,1677,26664,7760,1.57
欲,러니,101,3821,3273,1.564
從,할새,24,3309,908,1.549
公,하다,1127,11407,12378,1.548
出,라가,47,4231,1394,1.545
無,잇가,50,9706,647,1.544
欲,어늘,154,3821,5066,1.543
此,니라,272,8103,4236,1.537
三,와,102,5380,2395,1.536
所,니이다,481,12656,4802,1.535
焉,리라,21,3049,872,1.532
五,와,61,3226,2395,1.532
必,니,240,3926,7760,1.529
吾,라하여,19,3686,654,1.529
有,라도,181,16242,1421,1.522
謂,호되,41,5258,995,1.521
如,러라,57,5821,1251,1.519
天,하시니,43,9000,611,1.518
死,라도,35,3155,1421,1.516
用,리오,69,4385,2019,1.513
未,니라,143,4332,4236,1.513
皆,하니이다,35,5714,791,1.504
吾,아,84,3686,2954,1.498
十,러라,55,5743,1251,1.487
四,와,58,3183,2395,1.478
則,요,582,9567,8043,1.47
子,하라,102,17119,794,1.458
矣,며,34,6060,752,1.45
軍,하다,293,3184,12378,1.445
亦,하니이다,27,4602,791,1.442
使,라도,77,7315,1421,1.44
十,며,32,5743,752,1.44
將,리오,79,5323,2019,1.429
則,도,42,9567,599,1.424
欲,하시니,17,3821,611,1.415
必,라하고,35,3926,1225,1.414
得,아,148,6911,2954,1.409
所,니라,388,12656,4236,1.406
亦,라,999,4602,30042,1.404
非,라,938,4326,30042,1.402
諸,할새,24,3669,908,1.4
也,라하고,235,26664,1225,1.398
可,라하니라,45,9245,678,1.395
可,어든,54,9245,817,1.389
及,리라,25,4008,872,1.389
如,어든,34,5821,817,1.389
得,리라,43,6911,872,1.386
亦,러라,41,4602,1251,1.383
可,니,511,9245,7760,1.383
所,를,270,12656,2996,1.383
則,를,204,9567,2996,1.382
侯,한대,75,4218,2501,1.381
于,라가,48,4860,1394,1.376
焉,러라,27,3049,1251,1.374
事,를,161,7598,2996,1.373
如,면,338,5821,8230,1.37
今,하시니,22,5115,611,1.366
明,하시니,14,3261,611,1.364
必,요,222,3926,8043,1.364
已,요,217,3851,8043,1.359
能,라하여,26,5699,654,1.353
其,하여는,158,30717,738,1.352
君,하노라,36,6963,743,1.35
民,이,337,3618,13390,1.349
吾,라하니,52,3686,2035,1.344
後,하여는,26,5088,738,1.342
書,호되,33,4799,995,1.34
未,러니,98,4332,3273,1.34
皆,하니라,107,5714,2711,1.339
