,하여,라,하고,하니,에,는,이,하다,면,요,니,로,나,어늘,니이다,니라,하며,러니,가,를,아,하니라,한대,와,오,라하니,리오,로되,라도,라가,러라,라하고,하면,호되,로다,할새,리라,어든,하라,하니이다,호대,며,하노라,하여는,엔,라하니라,라하여,잇가,하시니,도
之,6392,6280,5297,3772,3456,5138,2452,1712,1968,1868,1964,1227,786,766,1322,1220,592,500,866,1099,579,495,533,1056,435,347,493,405,369,157,191,185,313,121,206,84,147,111,225,150,48,177,216,159,231,166,95,152,182,221
不,2700,4632,3934,2398,234,1409,269,625,1814,1409,1190,250,730,637,1195,1021,657,351,197,171,706,381,98,92,199,362,283,273,161,115,197,232,125,29,142,6,204,204,24,167,6,159,57,30,15,111,108,153,84,29
而,3252,4054,3177,3443,802,2372,719,816,1683,824,1058,305,225,435,1037,954,571,305,354,320,548,386,143,123,220,226,260,111,148,106,134,104,220,56,96,22,102,79,49,145,24,108,72,48,65,90,56,137,132,146
以,3029,3334,3532,2753,389,1221,290,1271,980,998,880,2796,410,586,804,718,415,395,184,207,319,400,322,141,188,261,283,208,104,151,145,163,145,85,76,46,88,51,85,116,30,92,153,35,32,93,267,77,103,44
其,3601,3207,3081,1735,1143,1531,814,503,972,776,712,376,416,319,637,548,404,217,309,333,618,284,137,185,215,154,307,154,108,73,120,65,181,54,152,35,127,60,101,68,18,100,65,158,148,65,39,95,36,88
也,258,7597,256,231,776,459,26,60,128,1364,1677,69,186,349,1607,1494,51,77,58,34,159,89,5,21,656,232,146,181,11,7,117,235,9,2,214,0,139,29,42,24,0,166,46,69,127,169,49,34,9,18
爲,2733,2336,2349,1518,467,855,284,1086,503,744,624,131,315,337,449,379,209,381,168,123,289,254,173,74,175,174,187,169,59,98,142,110,55,51,54,26,57,44,61,66,29,95,105,40,22,74,158,53,48,22
者,1024,1914,868,762,653,5528,106,102,503,569,548,210,148,242,379,324,105,134,663,536,307,94,43,59,166,107,72,149,107,43,100,43,51,22,44,13,42,78,14,29,13,54,37,36,54,27,27,85,15,140
人,1819,1800,1246,1127,523,1393,1470,750,523,557,654,326,229,313,205,199,145,154,171,205,202,134,110,103,67,118,102,157,135,51,99,61,49,68,38,26,25,45,24,17,22,45,23,30,30,42,37,26,19,59
於,2015,1702,1777,1453,1760,553,127,362,502,413,401,66,320,263,337,310,211,190,116,113,264,173,127,109,60,67,133,125,89,68,36,44,51,30,55,72,44,51,13,76,22,42,32,235,86,28,30,55,38,17
子,1613,1053,1220,1103,694,1194,422,949,282,268,349,289,149,205,86,160,70,208,276,120,141,106,243,82,94,129,62,87,49,49,30,66,21,41,64,62,45,34,102,4,48,25,33,26,29,41,44,16,47,42
有,1401,1795,1371,1552,538,440,180,175,860,432,430,86,425,343,360,270,235,164,157,105,240,142,48,125,39,111,153,176,181,28,68,52,46,46,65,6,60,135,14,55,18,55,13,18,10,35,53,45,29,12
曰,56,433,90,60,100,240,88,23,32,229,196,12,39,18,18,39,15,5,300,10,23,13,2,19,91,146,14,5,9,3,3,145,3,11,7,0,2,8,9,4,389,7,5,0,2,55,24,2,1,3
所,951,1748,709,530,336,1281,270,65,370,607,592,126,175,189,481,388,74,63,188,270,110,54,24,125,49,60,74,104,40,18,45,31,60,18,41,5,20,29,13,30,3,55,12,31,16,29,25,31,11,49
公,1186,590,822,736,573,527,644,1127,102,195,111,174,90,105,37,62,41,143,67,64,47,73,171,72,23,55,22,59,20,50,52,29,15,43,35,55,18,6,14,10,6,6,16,13,13,14,25,7,8,31
下,1344,762,835,653,452,781,292,140,242,232,246,233,159,151,245,168,91,100,164,149,76,64,47,68,23,48,48,75,53,30,39,26,41,28,9,14,30,13,22,36,7,21,30,29,19,21,23,45,66,32
無,718,1290,948,762,77,240,55,101,401,394,311,64,206,151,393,221,166,70,48,31,166,92,10,31,55,99,55,87,43,22,53,55,21,8,39,1,79,28,93,41,6,23,10,7,9,39,35,50,19,8
則,738,1249,1271,368,191,377,369,19,44,582,496,56,138,86,274,276,124,18,131,204,79,28,2,56,91,105,82,19,67,9,22,34,6,8,15,0,103,10,10,20,11,48,4,1,4,31,14,22,8,42
大,1213,774,871,639,259,557,393,535,182,230,226,174,108,158,110,94,71,71,126,76,54,74,73,88,32,49,26,74,31,37,45,29,19,24,25,37,21,19,21,30,9,21,11,30,27,17,20,8,14,12
可,336,1601,339,283,55,221,29,71,199,668,511,45,204,140,571,387,40,39,42,51,446,27,14,23,74,157,111,97,17,11,20,122,9,7,156,4,90,54,10,30,2,72,4,6,2,45,55,81,5,3
天,1074,709,729,476,502,640,302,102,200,275,268,185,140,142,215,164,53,66,147,146,78,39,22,64,16,64,47,74,51,12,16,30,21,20,17,16,21,21,8,27,6,26,9,20,27,22,30,28,43,29
王,774,373,561,384,446,467,1153,489,87,115,88,141,61,151,43,49,24,78,53,44,21,35,95,125,20,39,24,35,15,21,9,27,15,11,10,25,3,6,9,5,17,10,5,12,9,5,16,8,19,7
此,428,1197,221,396,191,925,132,9,314,255,259,112,96,110,411,272,19,16,60,64,101,61,8,7,64,48,88,41,24,7,51,64,78,4,32,2,30,13,9,25,2,15,8,7,13,25,10,56,8,3
一,713,729,484,440,610,268,134,80,384,268,245,116,111,107,113,109,41,57,45,67,47,60,19,66,27,35,40,59,55,16,24,17,43,14,8,1,15,9,5,15,6,21,22,15,7,8,8,8,18,26
自,982,648,559,432,132,193,103,309,170,168,169,1006,105,133,124,111,45,78,49,45,64,77,35,20,36,52,28,32,20,28,37,27,30,21,10,22,17,19,19,18,5,25,12,9,11,10,26,5,7,9
事,912,665,664,513,404,472,78,147,244,167,211,100,120,97,130,65,74,107,88,161,57,79,62,47,48,29,38,46,25,34,32,30,34,16,4,24,12,21,14,21,9,14,15,35,17,9,21,18,16,22
言,573,641,464,430,178,434,237,65,208,157,144,71,141,92,86,76,64,55,63,74,62,56,68,27,46,35,30,38,29,12,41,26,58,139,18,4,12,14,14,21,19,13,18,10,4,10,41,12,13,15
使,1041,309,897,501,144,130,120,571,330,96,91,603,41,101,104,42,59,110,48,41,46,53,205,30,19,23,15,17,77,48,21,17,35,35,10,13,6,19,15,12,10,8,28,5,4,5,11,5,22,12
是,448,926,279,208,1047,334,80,78,147,258,286,898,61,80,115,176,18,25,54,35,118,71,2,20,53,53,47,38,15,12,14,39,15,2,37,5,18,9,5,9,1,13,23,6,8,33,15,14,3,6
與,786,582,524,460,172,323,146,236,185,114,146,496,76,78,87,96,53,120,92,70,95,67,58,60,34,37,64,43,21,36,27,27,22,27,16,35,10,6,28,14,8,15,15,9,8,11,9,23,14,18
君,618,565,493,401,316,622,448,129,235,191,204,138,72,88,78,76,41,29,99,72,72,36,32,46,75,44,41,42,28,17,23,32,10,17,33,7,21,28,24,1,18,17,36,10,18,18,15,13,16,11
得,840,802,675,527,106,179,73,119,336,204,194,61,125,89,180,136,48,90,27,59,148,78,12,29,22,54,123,34,55,18,32,41,47,10,18,4,43,21,8,22,1,32,16,15,9,15,21,18,10,7
故,430,713,341,241,195,170,123,158,70,88,109,2137,55,37,84,115,36,44,42,48,22,104,43,24,67,33,16,14,21,21,15,21,12,5,7,5,0,7,2,10,4,7,45,4,3,30,7,11,8,7
至,1057,498,470,488,508,153,62,235,148,97,80,53,66,103,125,99,48,62,29,23,38,50,30,50,19,25,33,73,30,22,29,13,21,13,8,1,27,20,4,28,1,3,1,375,26,12,7,11,8,9
臣,746,390,374,308,264,645,578,44,124,132,141,219,92,78,186,39,31,38,77,52,23,11,28,67,23,38,16,30,18,12,11,24,21,20,6,14,3,8,8,15,7,3,9,9,11,9,16,18,19,16
然,689,640,378,316,484,390,115,97,262,88,96,52,849,36,113,120,39,32,62,49,121,48,6,16,34,20,26,24,19,14,30,12,14,9,18,0,21,7,4,19,2,8,3,6,8,8,10,11,10,12
