hanja,marker,cooccurrence,pmi,hanja_freq,marker_freq
乎,잇가,298,4.239514818717657,5605,830
矣,리라,665,3.299545113727169,9744,2044
如,잇고,80,2.889173092871266,9798,325
故,로,5213,2.7330893215060046,11227,20594
必,리라,290,2.6849869842187526,6506,2044
故,시니라,129,2.388732983653173,11227,647
若,면,1737,2.1916671807347194,5380,20841
則,면,6149,2.0609135463527886,20852,20841
年,에,2276,2.054711533093504,5968,27069
夫,시니라,68,2.0481331591112895,7494,647
將,리라,184,2.001401802302013,6630,2044
曰,잇고,81,1.9574371316397126,18924,325
子,시니라,210,1.956667930208118,24658,647
此,시니라,106,1.9285929029515008,12691,647
于,하다,758,1.8802647131664798,7623,7965
侯,하다,511,1.8777369784868188,5148,7965
我,리라,136,1.8710023205908153,5364,2044
可,잇가,132,1.7928318082044117,13535,830
能,리오,321,1.7505643631122378,10672,2636
後,에,2341,1.7209956506773318,7736,27069
可,을,401,1.6797646566199025,13535,2727
者,는,12576,1.619238960239506,34492,34998
乎,리오,153,1.610567012174382,5605,2636
則,리라,435,1.589606447385028,20852,2044
乃,하다,452,1.5746918890586885,5618,7965
可,를,456,1.5696423935584576,13535,3347
我,리오,140,1.545867322215012,5364,2636
與,잇가,86,1.5415577060322985,10496,830
曰,대,991,1.5070909521860691,18924,5433
公,하다,988,1.4978337970520108,12952,7965
亦,잇가,55,1.4775660223993599,7017,830
者,를,1077,1.4599880163734984,34492,3347
故,이라,2051,1.4467980658542332,11227,19762
謂,잇고,27,1.4398938040620022,9030,325
諸,잇가,39,1.435192414468886,5124,830
言,시니라,89,1.4292025007674412,15063,647
此,잇가,94,1.3959156758241595,12691,830
十,에,1654,1.384403271777919,6902,27069
及,러니,195,1.3468201633182366,5317,4252
非,요,1494,1.3280845226889004,7299,24041
太,하다,310,1.3240869122872316,4584,7965
今,러니,227,1.3212989746677404,6300,4252
已,시니라,31,1.3198005528576946,5660,647
文,시니라,37,1.2932414174208287,6881,647
矣,면,1687,1.2926214398495468,9744,20841
使,하다,622,1.2755916061548458,9512,7965
又,시니라,35,1.2569214756727516,6675,647
雖,이라,840,1.210871036504959,5415,19762
命,시니라,23,1.210775712196965,4529,647
時,에,1470,1.2030167334592996,6956,27069
故,하니라,330,1.2003358837931455,11227,3772
必,면,1056,1.199514611785635,6506,20841
非,리오,149,1.1913632419770954,7299,2636
謂,를,234,1.1910140937112257,9030,3347
亦,리라,111,1.190410220521472,7017,2044
欲,대,244,1.1879492948422474,5813,5433
太,러니,150,1.1823139623904426,4584,4252
非,이요,534,1.1712153675869972,7299,9580
皆,되,402,1.1663678817432703,8650,6106
能,면,1676,1.1519390819830801,10672,20841
亦,니라,546,1.1483090740363322,7017,10352
可,잇고,33,1.1455034265228818,13535,325
非,면,1140,1.1440106028608321,7299,20841
日,에,1117,1.140680811333779,5519,27069
將,러니,210,1.1353389633176392,6630,4252
自,로,1740,1.129520841863962,11388,20594
如,시니라,47,1.12850785558485,9798,647
使,대,383,1.1279467326905486,9512,5433
此,니라,968,1.1195356856628962,12691,10352
矣,니라,740,1.1132736228000433,9744,10352
十,하다,403,1.1121911058623508,6902,7965
先,잇고,11,1.0883460663808813,4694,325
兵,하야,945,1.0835324156371724,4630,28401
若,리라,79,1.0830232919780662,5380,2044
從,리라,72,1.071678707358478,4942,2044
未,러니,199,1.064042338462415,6601,4252
亦,시니라,32,1.0555519331164798,7017,647
子,잇고,56,1.04310332867629,24658,325
得,리오,207,1.0420404531330407,11246,2636
將,대,251,1.0390295494620694,6630,5433
年,하다,330,1.033644229760477,5968,7965
將,잇가,38,1.0259793143919198,6630,830
是,로,1565,1.0224162291761374,11032,20594
無,잇가,85,1.0197922498736918,14894,830
乃,잇가,32,1.0170040468218855,5618,830
兵,하다,253,1.0165509323166102,4630,7965
事,를,263,1.009603770963008,11509,3347
故,니라,791,1.0050396127027108,11227,10352
士,잇고,11,0.9946412966461499,5009,325
可,리오,241,0.9941598963021552,13535,2636
使,하야,1824,0.9935153890954223,9512,28401
謂,을,166,0.9912426562460122,9030,2727
也,은,8527,0.9909784713658407,52721,23997
又,리오,118,0.9837687550740821,6675,2636
也,라,27189,0.9710048944732792,52721,77583
矣,라,5018,0.9689578766739365,9744,77583
可,리라,183,0.9639255724266665,13535,2044
用,리오,124,0.9563484006499675,7149,2636
必,이니,467,0.9458949197752452,6506,10988
未,되,263,0.9442507145353929,6601,6106
今,잇가,34,0.9391716839239824,6300,830
見,하니라,173,0.9356282051728757,7071,3772
夫,리오,128,0.9341575648454059,7494,2636
也,시니라,221,0.9340030247134248,52721,647
心,을,102,0.9295420577490495,5791,2727
當,이니,390,0.9280234132109982,5501,10988
公,대,453,0.9247591202549165,12952,5433
能,잇가,57,0.9241920189284408,10672,830
以,시니라,228,0.9232713034370078,54797,647
諸,하다,261,0.915205071998137,5124,7965
居,하여,1027,0.9105186619038158,4632,34783
矣,잇고,20,0.8971462512477841,9744,325
已,니라,370,0.8969857029871314,5660,10352
如,을,167,0.8821462134585094,9798,2727
與,로,1350,0.8810677161902466,10496,20594
也,잇고,107,0.8808934457998305,52721,325
禮,를,103,0.8764889825394871,4943,3347
也,는,11463,0.8734345508582471,52721,34998
則,잇고,42,0.8699358524495022,20852,325
以,로,6993,0.869762527802362,54797,20594
矣,시니라,39,0.8672943811459796,9744,647
知,잇가,47,0.8650424788690168,9168,830
已,잇가,29,0.8642396133566118,5660,830
後,러니,203,0.8638504383598016,7736,4252
欲,러니,152,0.8587469208631658,5813,4252
矣,되,365,0.8552548438368381,9744,6106
知,리오,148,0.8527398640465643,9168,2636
及,하야,923,0.8499484612392696,5317,28401
得,면,1432,0.849367045191766,11246,20841
德,시니라,22,0.8471249117235521,5574,647
兵,러니,120,0.8459807181123864,4630,4252
如,면,1244,0.8451747933160653,9798,20841
故,라,5306,0.8450836474396476,11227,77583
非,니라,459,0.8410578179442862,7299,10352
書,하니라,123,0.8375544353919406,5381,3772
雖,리오,86,0.8291969593809279,5415,2636
下,잇가,84,0.8285594565316803,16805,830
將,하다,318,0.8284436360543043,6630,7965
謂,이니,597,0.8272481360032997,9030,10988
知,를,184,0.82233027379615,9168,3347
民,잇고,14,0.8212961079485591,7189,325
及,에,856,0.810528746360466,5317,27069
王,하다,615,0.8104602690240374,12983,7965
公,러니,327,0.8081461558469836,12952,4252
若,리오,84,0.8046047925092933,5380,2636
年,러니,150,0.8016734708921096,5968,4252
士,하야,840,0.8000969960845571,5009,28401
明,시니라,23,0.7956585786045807,6039,647
子,대,787,0.7927308083706653,24658,5433
是,니라,669,0.7886462393175442,11032,10352
將,리오,102,0.7833100141460648,6630,2636
可,니라,817,0.7819755812334214,13535,10352
所,를,423,0.7803325625711531,21699,3347
及,하다,246,0.7764715900262981,5317,7965
曰,잇가,91,0.7727101506353141,18924,830
三,에,1274,0.7713909939840985,8131,27069
得,리라,133,0.7707911052053353,11246,2044
文,하니라,150,0.7691146836051705,6881,3772
非,잇가,35,0.7686448672336653,7299,830
如,리오,149,0.7665747713538298,9798,2636
可,이니,857,0.764915414116889,13535,10988
使,로,1128,0.7638943815232749,9512,20594
見,를,135,0.7502766995755491,7071,3347
皆,를,165,0.748997443330408,8650,3347
不,잇가,271,0.7462308808517432,57400,830
侯,대,159,0.745365767574901,5148,5433
能,리라,124,0.74528636044724,10672,2044
亦,리오,105,0.7432846977670583,7017,2636
如,를,186,0.742046881321222,9798,3347
心,면,684,0.7409313328644574,5791,20841
將,하야,1058,0.7284891317904117,6630,28401
至,러니,243,0.7241347188603048,10202,4252
雖,리라,62,0.7240836891361357,5415,2044
見,을,108,0.7239024554594531,7071,2727
亦,라,3049,0.723841327107261,7017,77583
知,을,140,0.7236051854553699,9168,2727
欲,시니라,21,0.7194408097369379,5813,647
此,하니라,267,0.7178763213932665,12691,3772
無,면,1731,0.7176219666226582,14894,20841
五,에,809,0.7166298654485379,5363,27069
諸,대,155,0.7153487954438382,5124,5433
兵,대,140,0.714765689308615,4630,5433
自,시니라,41,0.7145158070658816,11388,647
出,하야,944,0.7114248605400764,5986,28401
天,잇가,71,0.7089546474038627,15432,830
此,리오,185,0.7055411558890696,12691,2636
乎,시니라,20,0.701620017384637,5605,647
此,는,2447,0.7001078769252777,12691,34998
君,리오,165,0.7000708537786446,11362,2636
也,요,6941,0.6914408943110245,52721,24041
與,리오,151,0.6865305618815146,10496,2636
二,에,1135,0.6846045002136023,7693,27069
有,면,3202,0.6840768101167685,28199,20841
可,면,1536,0.6832308330871437,13535,20841
亦,이니,419,0.6803390737324831,7017,10988
臣,잇고,14,0.6799482859616324,7929,325
四,에,819,0.6773873166350928,5579,27069
如,잇가,44,0.6740049983027305,9798,830
欲,되,192,0.6736959154650615,5813,6106
也,니라,2947,0.6711318104459935,52721,10352
知,시니라,32,0.6697992514331589,9168,647
所,이니,1283,0.6661358051515592,21699,10988
子,하다,1055,0.6636129517163781,24658,7965
知,잇고,16,0.6631252455098495,9168,325
不,면,6418,0.6618205572997086,57400,20841
則,이니,1228,0.6603679878808825,20852,10988
民,하여,1339,0.6590825905233685,7189,34783
無,리라,163,0.6589175132637334,14894,2044
士,러니,114,0.6584697185583068,5009,4252
則,이요,1069,0.6581505346835066,20852,9580
然,에,1346,0.6552007996547098,9311,27069
夫,잇고,13,0.6544360300787329,7494,325
矣,를,174,0.6538047244384374,9744,3347
非,이니,427,0.6507804410676205,7299,10988
臣,잇가,35,0.6492047625305246,7929,830
至,하야,1540,0.648308624861657,10202,28401
心,리오,81,0.6459310485693902,5791,2636
然,잇가,41,0.6456765545686005,9311,830
心,하여,1068,0.6448168837726571,5791,34783
與,러니,236,0.6409776453952244,10496,4252
又,하니,1634,0.6403230363271716,6675,46313
于,하야,1143,0.6386249021163035,7623,28401
與,잇고,18,0.6378895710909829,10496,325
上,하여,1921,0.6339449910608677,10495,34783
王,대,371,0.6332183601595868,12983,5433
謂,이요,454,0.6300407564817232,9030,9580
可,이요,679,0.6268630387014346,13535,9580
使,러니,211,0.621452789612996,9512,4252
有,잇가,122,0.6202259116433684,28199,830
從,하다,205,0.6189546399465607,4942,7965
則,을,296,0.6182687183002454,20852,2727
使,하여,1720,0.6163775834186619,9512,34783
於,에,4001,0.6161217709292705,28437,27069
明,잇가,26,0.6131907164468803,6039,830
我,시니라,18,0.6130220597279021,5364,647
又,고,1610,0.6117357612140331,6675,46546
可,요,1682,0.6081579187120669,13535,24041
又,하고,1544,0.6068605628089714,6675,44789
是,면,1187,0.6063730775962397,11032,20841
而,잇가,258,0.6050155190069908,60266,830
得,을,158,0.603369913903607,11246,2727
若,잇가,23,0.6030164545613105,5380,830
從,하야,722,0.6011341062347227,4942,28401
公,에,1795,0.594339369450008,12952,27069
從,잇가,21,0.5942830833982601,4942,830
德,이요,273,0.5922623953750719,5574,9580
有,리오,380,0.5921770536376655,28199,2636
兵,하고,1058,0.5892830809695964,4630,44789
民,을,100,0.5889942986662334,7189,2727
太,대,127,0.5885725085265082,4584,5433
從,러니,107,0.5864742917238293,4942,4252
此,잇고,21,0.5863158652437526,12691,325
命,하여,799,0.5807926024527222,4529,34783
言,되,466,0.5792652422410514,15063,6106
二,이요,372,0.573830759660225,7693,9580
侯,에,703,0.5730430518939937,5148,27069
夫,는,1320,0.5696295745643526,7494,34998
居,하니,1079,0.568742501142547,4632,46313
雖,라,2112,0.5680080360338602,5415,77583
則,잇가,87,0.567890307201,20852,830
亦,이라,696,0.5656759901096708,7017,19762
至,하여,1777,0.5623813142065927,10202,34783
非,되,223,0.5612174022365106,7299,6106
不,리오,757,0.5610642007098385,57400,2636
禮,시니라,16,0.5610193890502909,4943,647
皆,을,118,0.5608721292177,8650,2727
見,대,192,0.5595431072610803,7071,5433
而,되,1835,0.5563082633418187,60266,6106
如,하니라,184,0.5539889012816366,9798,3772
王,잇고,21,0.5534978300730506,12983,325
居,러니,98,0.5531769067774381,4632,4252
見,니라,364,0.5522866764174365,7071,10352
行,면,850,0.5476685519684439,8228,20841
矣,로,994,0.5466796525260906,9744,20594
則,요,2483,0.546573597140077,20852,24041
正,이니,302,0.5455243458400638,5553,10988
後,니라,396,0.5441751207928321,7736,10352
人,을,401,0.5432789413834057,29756,2727
矣,을,131,0.5398380808984257,9744,2727
兵,고,1062,0.5392144823308872,4630,46546
書,대,144,0.5385455604987855,5381,5433
禮,니라,252,0.5382993125502072,4943,10352
未,시니라,21,0.5360391202361233,6601,647
所,시니라,69,0.5353740999233942,21699,647
使,하고,2093,0.5347792435132228,9512,44789
