hanja,hanja_freq,니,라,고,하니,하고,는,하여,하야,에,요,은,면,로,이라,이니,니라,이요,며,하다,되,대,러니,하니라,를,을,리오,리라,잇가,시니라,잇고
之,118353,33567,28019,14311,16083,13694,13037,11920,8632,8447,8188,7344,8304,7411,5637,4084,4074,2937,2578,1803,2121,1677,1050,1211,1782,1364,1079,603,346,351,119
而,60266,20866,17150,10159,10782,9856,6330,6980,5447,3487,4676,2979,6069,3812,3820,2246,2760,1808,1881,813,1835,681,717,718,758,527,652,419,258,188,55
不,57400,18680,16517,8945,8974,8614,5146,5928,4493,2631,4547,2514,6418,3581,4335,2543,2794,1953,2159,747,1563,688,610,673,781,526,757,550,271,142,73
以,54797,17847,15225,9015,9444,8679,5008,7900,6405,2803,3622,2528,4486,6993,4029,2013,2397,1454,1447,1361,1175,954,782,768,567,379,510,287,187,228,56
也,52721,19439,27189,2290,5725,2101,11463,2416,1079,1927,6941,8527,2277,2215,1224,1233,2947,568,819,269,717,202,213,473,310,237,410,243,70,221,107
其,50385,15235,13262,7744,7782,7521,4873,6597,5024,3524,3392,2182,4538,3245,3171,1738,2001,1335,1409,639,1019,501,592,602,593,478,557,389,174,146,25
者,34492,10438,9313,3765,4325,3668,12576,2514,2061,2212,3732,1100,2096,1959,1422,1148,1297,1116,718,185,792,377,320,301,1077,149,260,173,124,46,25
爲,34405,11179,9296,5548,5887,5359,3031,4296,3939,2206,2815,1572,2364,2083,2633,1404,1313,1255,870,1082,795,513,703,485,353,222,380,190,117,61,44
人,29756,9132,7405,4099,4559,3950,2854,2885,2821,2277,2216,2535,2486,1910,2156,1360,1078,1080,792,757,744,485,362,349,299,401,326,175,79,52,30
於,28437,9021,7022,4506,4872,4358,2675,3748,3139,4001,1866,1169,2284,1583,1728,998,1033,768,737,408,569,416,399,284,354,233,300,169,115,58,29
有,28199,10064,7725,3804,5678,3698,2319,2828,2118,2595,1938,1103,3202,1734,2067,1042,1103,753,1025,355,758,346,375,353,287,181,380,266,122,65,20
子,24658,7384,5695,3595,3652,3315,2975,2111,2250,2338,1231,1084,1280,1928,1150,695,1059,447,514,1055,463,787,449,297,214,175,228,199,68,210,56
所,21699,7701,6749,2133,3052,2072,3611,2147,1577,1272,2329,1645,1764,1236,1262,1283,979,857,445,121,474,200,147,164,423,277,217,116,71,69,11
則,20852,7429,6464,3155,2767,3030,1478,2017,913,759,2483,830,6149,606,1313,1228,908,1069,542,49,217,121,50,133,340,296,270,435,87,42,42
曰,18924,3988,4343,1993,2207,1739,1343,641,896,1113,951,799,679,783,1353,497,475,447,223,271,160,991,149,264,108,101,138,147,91,29,81
下,16805,5522,3882,2760,2862,2611,1993,2571,1676,1405,1173,855,1369,1262,875,553,584,431,501,190,412,214,192,189,249,160,144,98,84,36,24
天,15432,4854,3627,2219,2170,2080,1749,2289,1437,1349,1230,953,1177,1164,858,595,593,475,476,136,355,194,157,154,217,167,178,108,71,49,14
言,15063,4532,4416,1799,2229,1719,1939,1808,915,1087,1208,1318,1164,926,1153,605,574,563,362,121,466,283,150,188,168,178,113,99,29,89,12
大,14938,4575,3869,2502,2535,2431,1684,1943,1555,1246,1101,1140,953,942,969,498,516,380,416,526,341,279,177,225,139,102,83,70,22,22,5
無,14894,4982,4414,2232,2585,2175,1269,1856,1270,885,1279,545,1731,909,1078,628,725,573,609,163,350,134,138,210,170,125,172,163,85,36,7
可,13535,5516,5051,1084,2078,1016,1211,958,801,686,1682,578,1536,825,1069,857,817,679,296,169,304,139,78,115,456,401,241,183,132,41,33
王,12983,3139,2513,1813,1686,1691,984,1825,1070,1367,565,911,527,851,687,265,304,229,227,615,223,371,219,128,74,85,86,56,24,32,21
公,12952,3389,2490,1917,2169,1845,667,932,1722,1795,524,743,371,787,713,232,317,209,181,988,298,453,327,168,90,89,63,59,30,23,7
此,12691,5278,4615,877,2752,819,2447,1066,612,799,779,760,1218,909,777,532,968,284,109,60,210,171,64,267,145,128,185,78,94,106,21
