ngram,count
하니→이라,1216
하니→이면,346
하니→니라,340
하니→이요,335
이요→이라,304
이라→하니,286
이면→이라,253
이요→이니,246
이면→이니,230
으로→하니,230
이니→이라,227
하니→하니라,206
이라→이라,199
하니→이니,198
이면→니라,185
이니→이면,176
이면→리라,172
이면→이요,171
하니→이로,168
이요→이면,159
이면→하니,156
이요→이요,149
로되→하니,148
이요→하니,146
이니→니라,127
한대→하니,117
이니→이요,106
이라→이니,105
하니→러라,104
이요→니라,96
이라→니라,94
이라→하니라,94
하니→로되,91
하니→하면,88
이라→이요,83
이로되→하니,83
하면→하니,81
으로→이라,81
이니→하니라,80
하니→이니라,75
이면→하리니,74
호되→하니,74
하니→으로,73
하니→하니,70
하니→라하니,67
하면→이라,63
로되→이라,62
하면→이니,62
하되→하니,58
하니→리라,58
하니→하노라,57
이면→라하니,56
이면→하리라,56
하니→이러라,54
하니→하라,54
하니→라하고,54
러니→하니,51
하면→하리라,51
하니→한대,49
이면→하나니,49
이면→리니,48
이니→이니,47
이요→이니라,41
이면→이니라,41
이러니→하니,41
라하니→이라,41
하면→하리니,41
어니→이면,40
이면→이라하니,40
이라→이면,40
으로→한대,39
하면→리라,39
하니→이라하니,38
한대→이라,38
으로→이면,36
하니→라하니라,36
하니→로라,36
이러니→이라,35
러니→이라,35
라하니→니라,34
라하고→하니,33
이로되→이라,33
하니→이라하고,33
이라하니→니라,33
이라하니→이라,32
이니→하니,32
하니→라하다,32
하면→이요,31
이라→이니라,30
으로→러니,30
호되→이라,30
하되→이라,29
이면→어니,29
하니→하리라,29
하니→어니,27
하시니→이라,26
하니→러니,26
하시니→니라,26
이요→하면,26
이니→하면,26
이요→라하니,25
으로→하시니,24
하니→라하야,24
하니→이로되,24
이요→이라하니,24
하여는→하니,24
호대→하니,24
이어니→이면,23
이라→이라하니,23
로되→이면,23
이니→이니라,23
이라하야→하니,23
이라→리라,23
하면→하나니,22
하면→니라,22
이라→이로,22
라하여→하니,21
하시니→이로,21
컨대→하니,21
으로→이러니,21
이라→하나니,21
이라하여→하니,21
하나니→이라,20
으로→하니라,20
하니→호되,20
하니→컨대,20
이니→으로,20
으로→이니,20
이라→하리라,20
이니→리라,20
라하니→하니라,19
이니→라하니,19
하야는→하니,19
러니→한대,18
이러니→한대,18
하나니→이면,18
하니→이리라,18
하노니→하라,18
으로→하면,18
하니→라한대,17
라하야→하니,17
이라→이러니,17
이라→라하니,17
으로→호되,17
호대→이라,17
하시니→시니라,16
이라→하나니라,16
하니→이러니,16
이라→하리니,16
하리니→하라,16
호니→이로,16
이니→하라,16
이라→러니,15
이면→라하니라,15
하니→하되,15
이라→으로,15
이라→라하니라,15
컨대→이라,15
하나니→니라,14
이라→하시니,14
이면→이리니,14
이니→라하고,14
하니→아하고,14
하니→리오마는,14
하시니→이면,13
한대→이러니,13
이면→로되,13
이라→하면,13
이라하니→이면,13
하야는→이라,13
하니→이라하다,13
이면→라하고,13
하니→리오하고,13
호되→하라,13
이면→이리라,13
이면→리잇가,13
이러니→하니라,13
하니→이라하여,13
하되→이니,12
이라하니→하니,12
하시니→이요,12
하시니→이니,12
리니→이면,12
이요→으로,12
하니→이라하야,12
이라→하노라,12
하니→리잇가,12
호되→이면,12
러니→하니라,12
하니→시니라,11
이면→하니라,11
이라→어니,11
하리니→리라,11
으로→이로되,11
하면→이라하니,11
으로→이요,11
하리니→하면,11
어니→하니,11
호되→이러니,11
로되→하니라,11
호되→하니라,11
이로되→하니라,11
으로→니라,11
하니→라하여,11
이라→호라,11
한대→이로,11
하되→이면,10
이면→이어니,10
어니→니라,10
라하시니→니라,10
이면→라하야,10
이니→이라하니,10
컨대→이면,10
라하니→이면,10
이요→하나니,10
이요→하니라,10
하리니→니라,10
한대→호되,10
호대→이면,10
라하니→이니라,9
으로→하되,9
어니→로라,9
로되→하시니,9
하되→이니라,9
하여는→이라,9
어니→이라,9
으로→이라하니,9
이로되→이요,9
이요→라하고,9
라하고→한대,9
한대→으로,9
로대→하니,9
하니→로대,9
라하고→라하고,9
이라하고→하니,9
으로→로되,9
하니→이라하니라,9
이라→이라하니라,9
호되→러니,9
호되→으로,9
로되→하면,9
하면→로되,9
하면→리니,9
이라하니→이요,9
하면→이니라,9
이라하고→하니라,9
라하니→컨대,9
이로소니→이로,9
하니→호대,9
이라→시니라,8
이라→로라,8
이니→어니,8
이면→하나니라,8
하여는→니라,8
이요→하여는,8
이면→이로되,8
이라하고→으로,8
이라→이로되,8
이라→한대,8
이어니→하니,8
하니→일새라,8
이러니→으로,8
이요→이로되,8
이요→이로,8
하니→아하니,8
로되→니라,8
이니→라하니라,8
이면→하라,8
이요→리라,8
하나니→하면,8
하여는→이니,8
하여는→이요,8
라하여→하니라,8
하니→하더라,8
이라하니→이니,7
이면→라하시니,7
하나니→이니,7
한대→하시니,7
하니→이어니,7
로되→하여는,7
하여는→하나니,7
이니→이라하고,7
리오마는→하니,7
이면→리오하니,7
이라→이라하고,7
이니→라하다,7
컨대→이요,7
하니→이라한대,7
아하고→하니,7
한대→러라,7
이라→러라,7
이면→이라하고,7
한대→하니라,7
호되→하면,7
라하고→하니라,7
로되→하나니,7
이라하야→한대,7
하면→라하니,7
