syllable_count,has_jongsung,final_jongsung,final_vowel,vowel_harmony,bright_ratio,marker,frequency
1,False,,ㅣ,neutral,0.0,니,147470
1,False,,ㅏ,bright,1.0,라,142646
2,False,,ㅣ,bright,0.5,하니,81790
1,False,,ㅗ,bright,1.0,고,76708
2,False,,ㅗ,bright,1.0,하고,73804
1,True,ㄴ,ㅡ,neutral,0.0,는,61616
2,False,,ㅕ,neutral,0.5,하여,53767
1,False,,ㅔ,dark,0.0,에,48564
2,False,,ㅑ,bright,1.0,하야,44999
1,True,ㄴ,ㅡ,neutral,0.0,은,43868
2,False,,ㅏ,bright,0.5,이라,42333
1,False,,ㅛ,bright,1.0,요,40175
1,False,,ㅗ,bright,1.0,로,37788
1,True,ㄴ,ㅕ,dark,0.0,면,35964
2,False,,ㅏ,bright,0.5,니라,22296
2,False,,ㅣ,neutral,0.0,이니,20727
2,False,,ㅛ,bright,0.5,이요,16672
2,False,,ㅏ,bright,1.0,하다,16313
1,False,,ㅕ,dark,0.0,며,15231
1,False,,ㅚ,bright,1.0,되,11227
1,False,,ㅐ,bright,1.0,대,10633
3,False,,ㅏ,bright,0.6666666666666666,하니라,8897
2,False,,ㅣ,dark,0.0,러니,8290
2,False,,ㅗ,bright,0.5,리오,6594
1,True,ㄹ,ㅡ,neutral,0.0,를,5950
1,True,ㄹ,ㅡ,neutral,0.0,을,4905
2,False,,ㅏ,bright,0.5,리라,4488
2,False,,ㅏ,bright,0.5,잇가,2137
3,False,,ㅏ,bright,0.3333333333333333,시니라,1398
2,False,,ㅗ,bright,0.5,잇고,754
4,False,,ㅏ,bright,0.75,하나니라,480
