marker,count,doc_freq,num_groups,top_groups,x,y,dominant,method,group_level,reweight_by_corpus
라,59270,41682,16,p10:9310;p13:8336;p4:6072;p8:4997;p9:3960,-0.2700327,-0.31755692,p10,pca,parent,none
하고,40828,27592,16,p3:8636;p9:6502;p2:6057;p14:5651;p11:2947,-0.008583412,0.048183575,p3,pca,parent,none
는,36032,25847,16,p4:6494;p13:5992;p9:5178;p10:4683;p3:2602,-0.359885,-0.2419275,p4,pca,parent,none
하니,34332,28455,16,p3:5241;p14:3966;p13:3684;p2:3464;p11:3244,-0.029203363,-0.09086126,p3,pca,parent,none
하여,30844,18543,16,p2:13930;p3:3271;p13:2550;p9:1915;p5:1651,-0.13119736,-0.14302272,p2,pca,parent,none
하야,28587,16213,16,p14:8599;p3:5786;p9:3851;p11:2904;p5:1957,0.18823332,0.15356673,p14,pca,parent,none
에,27299,21258,16,p14:5579;p3:4033;p5:2950;p2:2472;p9:2255,0.056897834,-0.07046616,p14,pca,parent,none
은,26773,19857,16,p10:5564;p13:4585;p15:2467;p4:2114;p3:2057,-0.29135656,-0.31318632,p10,pca,parent,none
이,21711,16291,16,p3:3713;p2:3390;p0:2485;p11:2035;p13:1900,-0.044607744,-0.06672337,p3,pca,parent,none
이라,20040,17665,16,p13:2085;p14:2076;p5:2060;p8:1874;p3:1785,-0.14125103,-0.23846816,p13,pca,parent,none
니,14154,12569,16,p13:3332;p9:1731;p4:1528;p3:1103;p0:866,-0.32245916,-0.2475796,p13,pca,parent,none
요,12606,10445,16,p13:2794;p9:1768;p3:1510;p4:1427;p10:963,-0.35970628,-0.19739588,p13,pca,parent,none
로,11241,10110,16,p8:2022;p3:1438;p2:1375;p9:1287;p13:1280,-0.23225552,-0.15312925,p8,pca,parent,none
하다,9623,7693,16,p14:2606;p5:2040;p11:1532;p7:1157;p2:748,0.4462539,-0.17860799,p14,pca,parent,none
이면,8442,7300,16,p9:1663;p3:977;p13:965;p1:931;p0:882,-0.24854407,-0.034584943,p9,pca,parent,none
이요,8277,7090,16,p13:1683;p9:1124;p3:1109;p4:684;p10:543,-0.324217,-0.16500221,p13,pca,parent,none
면,8163,7155,16,p9:1698;p3:967;p13:814;p1:795;p0:793,-0.23767811,-0.03787497,p9,pca,parent,none
이니,7495,6896,16,p13:1775;p9:945;p3:772;p4:628;p0:518,-0.32163218,-0.21460617,p13,pca,parent,none
하며,5913,4421,16,p3:1647;p9:1188;p2:816;p14:469;p1:405,-0.12152178,0.06854524,p3,pca,parent,none
니라,5431,4978,16,p9:678;p13:616;p3:548;p8:476;p6:459,-0.23117098,-0.2238197,p9,pca,parent,none
이나,5309,4895,16,p9:890;p3:697;p0:650;p13:492;p2:458,-0.2268013,-0.026369879,p9,pca,parent,none
아,5187,4751,16,p9:688;p12:658;p0:576;p1:534;p3:531,-0.06692397,-0.04256108,p9,pca,parent,none
가,4300,3792,16,p3:696;p9:693;p0:529;p14:413;p11:337,-0.10027612,0.013263673,p3,pca,parent,none
니이다,4110,3567,15,p9:1212;p0:1083;p3:558;p2:348;p11:267,-0.07994599,0.33431444,p9,pca,parent,none
어늘,4094,3930,16,p3:590;p11:565;p14:563;p9:465;p5:384,0.07816962,-0.019805267,p3,pca,parent,none
하니라,4047,3600,16,p14:922;p5:649;p3:467;p2:423;p8:307,0.0911337,-0.22940944,p14,pca,parent,none
나,3423,3223,16,p9:627;p3:451;p0:392;p13:295;p2:273,-0.18721178,-0.007148294,p9,pca,parent,none
한대,3273,3119,15,p11:883;p14:584;p5:384;p7:347;p2:344,0.39140555,-0.089718156,p11,pca,parent,none
이어늘,3250,3134,16,p14:521;p11:476;p3:459;p2:364;p5:340,0.13326949,-0.030592056,p14,pca,parent,none
으로,3175,2957,16,p3:596;p14:521;p2:509;p9:388;p13:241,-0.04822611,-0.01351703,p3,pca,parent,none
를,2912,2603,16,p9:636;p3:449;p2:323;p0:256;p14:181,-0.16642776,0.025129482,p9,pca,parent,none
오,2776,2575,16,p11:515;p9:354;p3:326;p0:264;p5:251,0.052864436,-0.047466896,p11,pca,parent,none
리오,2667,2592,16,p9:420;p0:349;p3:275;p5:265;p1:233,-0.10198762,-0.026477305,p9,pca,parent,none
을,2353,2177,16,p9:432;p3:358;p2:258;p0:217;p13:168,-0.18049815,-0.025418688,p9,pca,parent,none
하면,2327,2032,16,p3:432;p9:416;p2:280;p13:264;p0:229,-0.18844002,0.014868867,p3,pca,parent,none
라하니,2265,2220,16,p11:456;p3:333;p13:292;p9:225;p2:152,-0.028805636,-0.14712477,p11,pca,parent,none
러니,2187,2148,15,p14:563;p3:316;p2:275;p11:262;p5:255,0.23862854,-0.013057163,p14,pca,parent,none
로되,2070,1958,16,p3:452;p9:343;p13:200;p14:192;p0:187,-0.1581592,0.02060708,p3,pca,parent,none
이러니,1999,1943,15,p14:527;p2:317;p3:299;p11:227;p5:217,0.2679072,-0.008306529,p14,pca,parent,none
이니이다,1913,1729,15,p0:532;p9:484;p3:241;p2:211;p11:120,-0.05705504,0.33117026,p0,pca,parent,none
과,1833,1419,16,p3:666;p9:260;p14:188;p2:159;p13:135,-0.13603723,0.07611236,p3,pca,parent,none
이라하니,1821,1764,16,p11:316;p3:295;p13:245;p9:176;p5:143,-0.01806166,-0.13458812,p11,pca,parent,none
하시니,1535,1473,16,p3:286;p9:202;p2:199;p0:148;p13:137,-0.12794921,-0.020425417,p3,pca,parent,none
와,1481,1152,16,p3:493;p9:220;p14:187;p13:134;p2:116,-0.14620623,0.046743937,p3,pca,parent,none
이니라,1455,1364,16,p13:148;p1:136;p9:136;p6:135;p5:130,-0.17327863,-0.26723534,p13,pca,parent,none
리라,1357,1313,16,p9:161;p11:154;p8:152;p13:142;p1:127,-0.15567294,-0.19272955,p9,pca,parent,none
호되,1340,1255,16,p2:277;p3:246;p14:190;p11:168;p5:101,0.11012382,0.006390441,p2,pca,parent,none
