marker,count,doc_freq,num_groups,top_groups,x,y,dominant,method,group_level,reweight_by_corpus
라,59270,41682,226,p13_c2:1561;p13_c0:1383;p10_c6:1277;p13_c9:1242;p10_c9:1204,-0.25244805,-0.308927,p13_c2,pca,parent_child,none
하고,40828,27592,213,p3_c6:2091;p2_c1:1792;p14_c12:1779;p3_c4:1568;p9_c5:1406,-0.040994372,-0.052289244,p3_c6,pca,parent_child,none
는,36032,25847,217,p10_c6:1489;p13_c9:1388;p13_c0:1172;p13_c12:885;p13_c2:774,-0.3428297,-0.22885017,p10_c6,pca,parent_child,none
하니,34332,28455,217,p3_c12:913;p3_c1:864;p13_c2:854;p2_c12:841;p14_c8:840,-0.07157204,-0.17337546,p3_c12,pca,parent_child,none
하여,30844,18543,218,p2_c12:3823;p2_c13:2452;p2_c1:2229;p2_c3:1990;p2_c2:1666,-0.1790054,-0.18951179,p2_c12,pca,parent_child,none
하야,28587,16213,184,p14_c8:3461;p3_c7:2194;p14_c15:1470;p3_c12:1326;p14_c12:1269,0.16029862,0.09072059,p14_c8,pca,parent_child,none
에,27299,21258,220,p14_c8:1012;p14_c3:831;p14_c7:759;p5_c5:759;p14_c12:730,-0.0047765607,-0.16148236,p14_c8,pca,parent_child,none
은,26773,19857,218,p10_c14:1171;p13_c7:1009;p13_c12:900;p15_c2:869;p15_c4:818,-0.27511388,-0.24506286,p10_c14,pca,parent_child,none
이,21711,16291,218,p2_c13:961;p3_c1:931;p2_c12:711;p3_c8:611;p13_c2:572,-0.084293105,-0.16487949,p2_c13,pca,parent_child,none
이라,20040,17665,212,p14_c8:436;p12_c10:411;p13_c9:364;p14_c12:352;p8_c15:352,-0.14938614,-0.26211244,p14_c8,pca,parent_child,none
니,14154,12569,206,p13_c2:647;p13_c9:567;p13_c12:475;p13_c0:470;p4_c2:386,-0.33637315,-0.26023003,p13_c2,pca,parent_child,none
요,12606,10445,198,p13_c12:676;p13_c9:517;p4_c9:397;p13_c0:381;p13_c2:348,-0.35768136,-0.22669826,p13_c12,pca,parent_child,none
로,11241,10110,201,p8_c12:373;p2_c12:359;p3_c8:357;p8_c15:338;p13_c0:298,-0.25622016,-0.1736247,p8_c12,pca,parent_child,none
하다,9623,7693,171,p5_c5:779;p14_c15:686;p11_c15:445;p14_c3:434;p2_c13:398,0.46486047,-0.15724134,p5_c5,pca,parent_child,none
이면,8442,7300,183,p9_c8:398;p13_c2:352;p2_c12:295;p9_c7:284;p1_c4:279,-0.28426695,-0.094266474,p9_c8,pca,parent_child,none
이요,8277,7090,197,p13_c9:351;p3_c8:263;p13_c12:228;p15_c4:226;p13_c2:225,-0.3447345,-0.1899483,p13_c9,pca,parent_child,none
면,8163,7155,186,p9_c8:349;p9_c7:289;p13_c2:284;p3_c12:254;p2_c12:251,-0.27549088,-0.097465366,p9_c8,pca,parent_child,none
이니,7495,6896,194,p13_c9:390;p13_c2:326;p13_c0:212;p13_c7:197;p15_c9:197,-0.34018415,-0.22598623,p13_c9,pca,parent_child,none
하며,5913,4421,171,p3_c6:473;p2_c1:287;p3_c4:278;p9_c1:236;p9_c8:208,-0.16407649,-0.0470204,p3_c6,pca,parent_child,none
니라,5431,4978,186,p3_c8:189;p13_c2:153;p9_c0:139;p13_c0:130;p13_c1:110,-0.27061462,-0.32671973,p3_c8,pca,parent_child,none
이나,5309,4895,175,p3_c8:207;p8_c9:184;p2_c12:157;p13_c2:142;p9_c5:117,-0.27867696,-0.07658499,p3_c8,pca,parent_child,none
아,5187,4751,171,p12_c4:383;p5_c14:226;p12_c11:221;p1_c3:205;p0_c0:201,-0.11811956,-0.17962433,p12_c4,pca,parent_child,none
가,4300,3792,183,p3_c8:144;p14_c8:116;p3_c12:115;p9_c7:103;p0_c13:93,-0.15675275,-0.101140335,p3_c8,pca,parent_child,none
