x,y,boundary_type,cluster_id,z
12.706917,17.01931,Sentence,2,11.181428
14.537835,14.789071,Sentence,3,9.518176
11.919478,14.23427,Sentence,0,9.167688
13.979992,14.132907,Sentence,1,9.894173
12.204275,16.78415,Sentence,2,10.111081
11.937873,14.732175,Sentence,0,8.80401
12.314497,15.946445,Sentence,0,8.900662
12.087574,16.025171,Sentence,0,9.2032795
14.339252,14.037327,Sentence,1,8.859668
12.9218855,15.744042,Sentence,1,9.371285
11.819674,16.310394,Sentence,2,10.204909
13.491592,16.024435,Sentence,2,10.433484
13.5926285,16.053776,Sentence,2,9.59869
14.998624,13.934807,Sentence,3,11.168304
15.219009,14.022046,Sentence,1,9.584097
13.84417,15.038577,Sentence,1,8.949589
13.708623,16.31379,Sentence,2,9.364023
13.3645525,9.616532,Sentence,1,6.5779734
12.347356,16.131525,Sentence,0,9.541773
12.582745,16.229183,Sentence,2,10.6301985
11.858265,15.907804,Sentence,0,9.240148
12.973463,14.905409,Sentence,0,8.508849
14.926441,14.433875,Sentence,1,9.498997
13.850138,14.530622,Sentence,1,10.481365
13.339319,16.078259,Sentence,2,9.087558
12.468176,15.3715315,Sentence,0,8.545816
12.191157,15.402539,Sentence,0,9.528716
12.083424,14.841889,Sentence,0,9.781838
12.649281,13.872569,Sentence,1,9.56481
12.48591,15.967874,Sentence,2,9.565667
13.063724,15.388987,Sentence,2,9.624248
13.300302,15.123362,Sentence,0,9.142619
12.893155,15.629515,Sentence,0,8.457589
14.922412,14.100763,Sentence,3,10.952352
13.392922,16.442062,Sentence,2,9.600393
12.946389,14.707402,Sentence,1,10.65012
12.0139065,16.79016,Sentence,2,10.17122
12.390163,15.92434,Sentence,0,8.653671
12.080429,14.007529,Sentence,0,9.661543
12.549794,15.529406,Sentence,3,12.187192
12.405868,16.710587,Sentence,2,9.537672
13.862223,12.622001,Sentence,1,7.9888206
14.218786,14.700336,Sentence,1,9.0232525
12.501431,16.42239,Sentence,2,9.987167
15.346375,11.371739,Sentence,1,7.8918147
12.940699,14.915,Sentence,0,8.386689
12.934347,15.779329,Sentence,0,8.407034
14.93999,13.953301,Sentence,3,10.492438
11.728406,16.368095,Sentence,0,9.728905
12.14973,16.776073,Sentence,2,11.091074
14.1666975,14.603623,Sentence,1,9.647045
13.900118,16.358984,Sentence,2,10.022199
15.112411,13.668693,Sentence,3,11.42331
13.097132,16.378391,Sentence,2,8.8546
12.486619,16.477465,Sentence,2,10.522039
12.913517,13.9759865,Sentence,0,9.242792
13.4473295,15.854724,Sentence,2,10.380022
13.074909,17.0618,Sentence,2,10.463636
13.530172,14.146363,Sentence,1,10.053404
11.858608,14.493262,Sentence,0,8.388842
13.9288,15.85206,Sentence,0,8.930054
13.372607,16.027502,Sentence,2,11.029957
11.463666,16.583952,Sentence,1,11.152866
13.870285,15.198858,Sentence,0,9.143329
15.377913,13.676417,Sentence,3,9.856939
12.376282,15.531427,Sentence,0,9.326701
13.960558,15.970171,Sentence,2,9.378676
15.155865,13.886437,Sentence,3,9.924151
14.565097,14.587585,Sentence,3,11.468726
13.345834,16.099272,Sentence,2,9.686196
12.598012,15.222488,Sentence,0,8.712563
15.135134,13.822016,Sentence,3,10.1303835
12.368566,16.600105,Sentence,2,9.746191
12.500802,15.83774,Sentence,3,11.759912
13.747603,14.253803,Sentence,1,9.468374
13.508636,14.919444,Sentence,2,9.762701
12.186835,17.092152,Sentence,1,11.333288
14.515891,16.034664,Sentence,0,8.674689
12.996874,16.69428,Sentence,2,10.0296955
12.606746,16.072111,Sentence,2,9.3691025
12.143981,13.478389,Sentence,0,9.382485
13.726893,16.402351,Sentence,0,9.182777
12.18623,15.281656,Sentence,0,8.426909
12.945028,16.789095,Sentence,2,11.181453
14.061374,15.430441,Sentence,1,9.958025
13.945133,13.776267,Sentence,3,11.4843
12.125316,15.905482,Sentence,0,8.715805
12.909321,15.085625,Sentence,3,12.762421
14.429935,14.714442,Sentence,1,10.24662
12.133142,16.704947,Sentence,3,11.40638
12.360478,14.701208,Sentence,1,9.158946
11.973107,14.792872,Sentence,1,10.714109
11.901594,16.608992,Sentence,2,9.726847
13.049337,16.456024,Sentence,2,10.09524
12.683625,16.393702,Sentence,0,8.666881
11.743226,14.03409,Sentence,0,8.827368
13.514882,16.796907,Sentence,2,10.630888
12.998916,16.354298,Sentence,1,9.611067
14.098571,12.036122,Sentence,1,7.73692
12.562075,16.35439,Sentence,2,9.853777
12.740966,13.750087,Sentence,1,9.237848
11.931266,14.716465,Sentence,3,10.632957
14.722762,11.434356,Sentence,1,6.9931374
12.382972,16.689018,Sentence,2,9.560052
13.685859,15.942987,Sentence,2,9.704802
12.872107,16.742922,Sentence,0,9.157496
14.607976,15.960132,Sentence,1,8.624058
12.479802,16.156086,Sentence,2,9.534839
12.365383,16.49742,Sentence,2,9.317987
12.598008,13.842737,Sentence,0,9.476239
13.1876745,15.970095,Sentence,2,9.544815
15.196363,14.053012,Sentence,1,9.803917
12.876646,16.228254,Sentence,2,8.900183
10.88912,14.7098675,Sentence,1,9.912879
13.937204,12.350796,Sentence,1,8.139635
12.791701,16.857855,Sentence,2,9.725734
12.657793,12.816121,Sentence,1,9.085775
13.809948,14.076375,Sentence,1,9.388628
12.522198,15.486516,Sentence,0,8.412922
12.730905,16.627687,Sentence,2,9.706226
12.888436,16.217176,Sentence,2,8.800148
13.451799,12.93299,Sentence,1,8.797928
13.455365,14.006014,Sentence,1,9.393152
11.495854,12.971085,Sentence,0,9.160084
12.758921,16.603552,Sentence,2,9.317306
12.90672,16.69849,Sentence,2,9.792451
12.894041,15.010191,Sentence,0,8.507593
12.634094,15.931475,Sentence,2,11.491935
12.378843,15.159601,Sentence,2,10.090815
13.316396,16.644922,Sentence,2,9.865701
13.154655,15.596459,Sentence,0,8.73003
12.825188,13.099546,Sentence,1,8.692275
13.019468,16.776087,Sentence,2,9.589171
14.897631,10.843708,Sentence,1,9.80131
13.626696,14.377872,Sentence,1,10.124362
14.722491,11.445366,Sentence,1,7.0043325
13.51589,16.856474,Sentence,2,10.060649
12.124095,16.495905,Sentence,2,10.450826
11.728221,13.994116,Sentence,0,8.556425
12.614349,15.1067,Sentence,0,8.718214
13.224186,16.818266,Sentence,2,9.76242
12.81611,14.865059,Sentence,1,11.365638
12.831535,14.316423,Sentence,1,8.484563
15.283907,14.218521,Sentence,2,9.774928
14.024061,15.199429,Sentence,2,10.213128
12.993725,16.631067,Sentence,2,9.528095
14.814379,14.016973,Sentence,3,10.527204
13.271532,16.13828,Sentence,2,9.147104
12.660056,15.1157,Sentence,0,9.955639
14.954518,13.8964205,Sentence,3,11.24593
13.202376,15.027705,Sentence,0,8.681947
13.912956,16.297432,Sentence,2,9.254654
12.964698,14.70699,Sentence,0,8.384422
12.649406,16.803595,Sentence,2,10.237932
13.769685,14.624704,Sentence,1,9.827056
12.815901,15.400031,Sentence,0,8.536671
12.175563,16.991726,Sentence,2,11.17629
13.098761,16.719313,Sentence,2,10.65348
13.188251,16.777636,Sentence,2,9.49978
12.055214,15.7051735,Sentence,0,8.663735
15.279514,13.664215,Sentence,3,10.064333
12.164983,16.973019,Sentence,2,11.059557
12.552576,16.808413,Sentence,2,9.96131
12.280672,16.519106,Sentence,2,10.425356
12.1323595,16.241035,Sentence,0,8.931566
11.566752,12.992612,Sentence,1,9.125314
15.01826,13.830738,Sentence,3,11.269121
13.412754,15.599086,Sentence,0,9.30793
14.708152,14.858008,Sentence,1,10.00634
11.574032,16.344791,Sentence,2,10.60375
13.58304,12.618073,Sentence,3,9.266415
12.495034,16.320852,Sentence,2,10.046011
12.725733,15.556806,Sentence,0,8.737079
12.8530655,15.025053,Sentence,1,8.944559
12.445821,15.877772,Sentence,2,10.51119
13.600435,16.269035,Sentence,2,9.24569
13.094101,15.561285,Sentence,0,8.681474
13.315334,16.478403,Sentence,2,9.299073
12.8841,15.383068,Sentence,0,8.608311
13.164501,13.2179785,Sentence,1,9.068586
13.852819,14.358615,Sentence,2,11.296275
13.554632,15.94417,Sentence,2,9.6337595
13.66117,14.689606,Sentence,1,9.292451
12.6774435,16.033985,Sentence,0,8.737317
12.322218,15.817349,Sentence,0,8.727946
12.286165,16.593616,Sentence,2,10.531811
12.015707,15.418156,Sentence,0,9.419567
12.019415,13.569709,Sentence,2,9.657499
14.215559,16.365353,Sentence,2,9.207588
13.869161,16.57532,Sentence,2,9.266895
13.102258,16.627777,Sentence,2,9.071144
15.583581,13.489755,Sentence,3,10.054727
12.464332,16.496267,Sentence,2,9.093004
14.044052,16.824398,Sentence,2,9.624024
14.065887,14.129117,Sentence,1,9.996932
13.301033,13.505751,Sentence,1,10.265702
12.672226,15.347389,Sentence,0,9.067601
14.151209,16.591269,Sentence,0,9.4118595
13.396911,16.305061,Sentence,2,9.162587
13.184603,16.346533,Sentence,2,10.438344
12.107539,16.950987,Sentence,2,10.911834
12.611144,14.6197195,Sentence,0,10.309878
12.572719,17.017748,Sentence,2,10.598137
13.767774,16.022552,Sentence,0,8.965507
11.716797,13.67275,Sentence,0,8.522377
15.7139435,13.468514,Sentence,3,10.105173
13.177778,15.407348,Sentence,0,8.81882
13.123097,16.686255,Sentence,2,9.411455
11.84239,14.243877,Sentence,3,10.5715885
11.975601,13.363244,Sentence,1,8.877776
12.563232,16.597754,Sentence,1,9.306757
