marker,count,normalized,needs_review
라,63398,라,True
하고,62691,하고,True
하니,49893,하니,True
에,46355,에,True
는,40512,는,True
하여,38368,하여,True
이,32081,이,True
하다,24795,하다,True
니,15410,니,True
로,14305,로,True
요,14087,요,True
면,10408,면,True
하며,8979,하며,True
니라,8904,니라,True
아,7061,아,True
가,7027,가,True
니이다,6854,니이다,True
하니라,6685,하니라,True
어늘,6227,어늘,True
한대,5326,한대,True
나,5073,나,True
오,4154,오,True
를,4150,를,True
러니,3610,러니,True
리오,3551,리오,True
하면,3029,하면,True
라하니,2880,라하니,True
로되,2859,로되,True
와,2408,와,True
호되,2163,호되,True
리라,2027,리라,True
할새,1933,할새,True
하시니,1906,하시니,True
하라,1803,하라,True
엔,1760,엔,True
하사,1738,하사,True
라하고,1729,라하고,True
라도,1719,라도,True
하니이다,1613,하니이다,True
하노라,1600,하노라,True
호대,1556,호대,True
러라,1553,러라,True
라가,1497,라가,True
하나니,1477,하나니,True
잇가,1428,잇가,True
도,1407,도,True
며,1347,며,True
하되,1306,하되,True
라하니라,1231,라하니라,True
어든,1222,어든,True
하리니,1218,하리니,True
하리라,1078,하리라,True
하시고,1034,하시고,True
하소서,1027,하소서,True
컨대,1014,컨대,True
여,963,여,True
어니와,926,어니와,True
리이다,911,리이다,True
하노이다,889,하노이다,True
히,832,히,True
라하다,754,라하다,True
로라,728,로라,True
리니,726,리니,True
고,622,고,True
하여는,605,하여는,True
의,552,의,True
하나니라,442,하나니라,True
하리이다,407,하리이다,True
호니,401,호니,True
로소이다,394,로소이다,True
하노니,390,하노니,True
리잇가,381,리잇가,True
라야,363,라야,True
라하여,342,라하여,True
라한대,322,라한대,True
호라,320,호라,True
라하니이다,320,라하니이다,True
하시면,313,하시면,True
하시며,301,하시며,True
하시니라,296,하시니라,True
라하시니,281,라하시니,True
호리라,273,호리라,True
로대,246,로대,True
에도,245,에도,True
아하고,214,아하고,True
온,212,온,True
ㆍ,212,ㆍ,True
하시니이다,203,하시니이다,True
커늘,202,커늘,True
아하니,199,아하니,True
잇고,192,잇고,True
릿가,177,릿가,True
하오니,174,하오니,True
하시다,174,하시다,True
어다,172,어다,True
오하니,170,오하니,True
하나,156,하나,True
에는,144,에는,True
리오마는,130,리오마는,True
라하노라,128,라하노라,True
리잇고,128,리잇고,True
하신대,123,하신대,True
라하나이다,121,라하나이다,True
라하노이다,120,라하노이다,True
라하시니라,117,라하시니라,True
타가,116,타가,True
라하더니,115,라하더니,True
하라하니,114,하라하니,True
하더라,112,하더라,True
호리이다,108,호리이다,True
론,102,론,True
항,102,항,True
로이다,102,로이다,True
