cluster,entropy,top_marker,top_marker_ratio
0,2.4860833949682286,라,0.6126350789692435
1,2.8269595756183405,라,0.5441061670569868
2,3.447211953167606,라,0.350109409190372
3,2.8316363451079987,라,0.5009696186166774
4,2.3447189954003123,라,0.6208004674262343
5,1.6512972630897826,라,0.7691154422788605
6,2.6826298584865373,라,0.5362618432385874
7,2.761696144650584,라,0.3885017421602787
8,3.2645540799502557,라,0.33759469696969696
9,2.8884217373302747,라,0.47544303797468357
10,0.6281787965816154,라,0.9279899812147777
11,2.6092775711170733,하다,0.36026143790849674
12,1.490200188621891,라,0.7949815211048434
13,2.1897508677281454,라,0.6735773217685636
