kind,name,x,y,count
parent,p0,-0.82247204,4.924047,49349.0
parent,p1,-2.3354483,4.0211062,91131.0
parent,p2,-3.1118698,3.5417817,32.0
parent,p3,-1.9063485,2.7077904,56312.0
parent,p4,-0.77363235,2.786313,58111.0
parent,p5,0.2584793,0.6263754,18694.0
parent,p6,-3.9910755,3.4570987,49051.0
parent,p7,0.66904134,0.83802843,51921.0
parent,p8,-3.0465975,2.742011,95489.0
parent,p9,0.96823525,3.3730397,47714.0
parent,p10,0.47506264,4.309331,60240.0
parent,p11,-3.1469262,5.113114,81848.0
parent,p12,-2.541238,1.6859379,55894.0
parent,p13,-3.4134023,2.923007,110055.0
parent,p14,-2.965817,3.4773028,50931.0
parent,p15,1.0551143,1.4188435,83702.0
marker,라,-3.0210085,3.451307,163963.0
marker,는,-3.0648782,3.561148,143487.0
marker,하여,-3.2227137,5.0161166,58975.0
marker,하고,-0.033530187,1.9494869,55696.0
marker,하니,-3.634334,3.7323093,52327.0
marker,니,-3.3147192,3.8217943,45777.0
marker,요,-3.236144,3.794153,43920.0
marker,가,-2.5889263,4.6484094,43194.0
marker,에,-0.0023846,1.3561188,41654.0
marker,면,-2.687722,4.2404795,30658.0
marker,하야,0.96690744,1.2376179,28587.0
marker,로,-3.0095465,3.9457965,27792.0
marker,니라,-2.6037266,2.5219543,15771.0
marker,나,-2.727698,4.1047406,15567.0
marker,하며,-2.5302129,3.4532323,10484.0
marker,어늘,-0.035867862,1.268186,10462.0
marker,하다,0.5596961,0.3849968,9850.0
marker,를,-2.6884577,3.393955,9620.0
marker,아,-1.9945529,3.7591815,8896.0
marker,라하니,-4.1125345,3.5557954,7309.0
marker,니이다,0.053173844,4.9120593,6461.0
marker,리오,-1.9147441,4.0355616,6316.0
marker,하니라,0.040935002,1.0892805,6150.0
marker,러니,0.17402199,0.8321659,5475.0
marker,로되,-3.0722094,3.870718,5164.0
marker,와,-3.476564,3.9899068,5019.0
marker,한대,0.37604898,0.6502886,4268.0
marker,오,-1.261443,3.5565798,4140.0
marker,하면,-2.871192,4.7920837,3971.0
marker,하시니,-2.5470545,1.9710573,3882.0
marker,라도,-1.8486384,4.690692,3541.0
marker,하나니,-2.3728786,4.4190736,2845.0
marker,리라,-2.734007,4.3002024,2670.0
marker,며,-3.1988056,4.2054152,2639.0
marker,라하고,-0.03083359,1.4169083,2603.0
marker,어든,-1.4650567,4.6146293,2529.0
marker,라하니라,-4.0562353,3.702318,2400.0
marker,로다,-1.7162491,2.6140957,2281.0
marker,엔,-3.2978673,4.3827996,2172.0
marker,하사,-0.50603414,1.8993015,2119.0
marker,라가,0.43583825,0.59382904,2097.0
marker,어니와,-2.5634341,2.9041638,1763.0
marker,하라,-0.16974132,3.25426,1708.0
marker,잇가,-0.8731335,3.3622572,1686.0
marker,호되,0.29699033,1.8419937,1637.0
marker,하시고,-1.0134928,1.3249602,1636.0
marker,도,-2.0980825,3.021673,1624.0
marker,시니라,-2.7797863,1.9257799,1448.0
marker,러라,0.54580635,1.933922,1369.0
marker,하되,-0.486939,3.787924,1361.0
marker,할새,0.51560795,0.80346763,1346.0
marker,인댄,-1.4003567,4.595098,1228.0
marker,하리니,-1.6886232,5.2645364,1215.0
marker,인저,-2.0370438,2.4822226,1209.0
marker,라야,-3.13878,4.2093816,1128.0
marker,하여는,-2.479623,5.016258,1112.0
marker,여,-1.8484352,3.1454191,1092.0
marker,컨대,-3.7201536,4.0751114,1082.0
marker,하니이다,0.92791265,2.5056536,1080.0
marker,하노라,-0.48998275,2.8587484,1073.0
marker,라하시니,-2.9021518,1.8505046,992.0
marker,일새,0.167671,2.1541042,974.0
marker,하리라,-0.14271447,3.2675838,955.0
marker,리니,-1.5708725,5.056052,949.0
marker,로라,-1.3806034,2.8491843,916.0
marker,하시니라,-1.3380115,1.2980784,884.0
marker,하소서,0.175145,4.0395274,868.0
marker,라하여,-3.229136,5.079393,832.0
marker,호대,-2.4255333,2.6159317,766.0
marker,리이다,0.4113767,4.574725,744.0
marker,히,-0.3407886,1.6428114,699.0
marker,고,-0.805731,3.5968502,625.0
marker,라하다,0.5842469,1.1592062,621.0
marker,잇고,-1.4569132,2.5826097,592.0
marker,하노이다,-0.6549742,3.739213,588.0
marker,일새라,-3.6868954,3.7904587,558.0
marker,어시늘,-1.8924478,1.71048,532.0
marker,하노니,-1.6412288,4.8878756,510.0
marker,의,0.06257244,2.3777292,501.0
marker,하시며,0.90460277,3.123318,484.0
marker,로소이다,0.52664423,4.4281306,480.0
marker,라하시니라,-2.8788316,1.998208,470.0
marker,시니,-2.5861068,2.3304086,456.0
marker,라하야,1.0249535,1.3436729,439.0
marker,온,-1.4715812,5.2191997,404.0
marker,러시니,-1.3419385,1.3246365,395.0
marker,하리이다,-0.0032056367,4.299729,395.0
marker,리잇가,0.5631143,4.687585,357.0
marker,하얀,0.7719637,3.6805933,354.0
marker,하나니라,-3.7845454,3.2833595,352.0
marker,언마는,-2.375217,3.48882,340.0
marker,라한대,0.6622413,1.4654903,338.0
marker,라하니이다,0.6529566,3.627047,333.0
marker,에도,-2.455874,5.1709094,330.0
marker,하시면,0.91829264,4.13438,316.0
marker,어다,-1.8537194,3.4220603,302.0
marker,하신대,-1.6313142,1.6263674,297.0
marker,니잇고,-1.5841734,2.453143,282.0
marker,언정,-1.3233176,3.4605422,278.0
marker,호니,-1.1456211,3.7982285,240.0
marker,하야는,-2.1414483,4.121306,239.0
marker,라하시고,-2.7806916,1.6992899,234.0
marker,릿가,0.21280028,4.12554,232.0
marker,로대,-0.79324734,4.497386,230.0
marker,라하야늘,0.660196,1.4213123,226.0
marker,에는,-2.9487388,2.9855802,224.0
marker,어니,-0.97957647,3.1439886,223.0
marker,리잇고,0.14158769,4.414109,196.0
marker,하나,-3.7122576,3.927465,196.0
marker,아하니,0.102690585,3.710645,192.0
marker,리오마는,-1.7248956,4.50942,191.0
marker,하시니이다,0.9794857,3.5801709,191.0
marker,하시되,-3.268442,2.3351512,190.0
marker,론,-1.5361334,4.410556,182.0
marker,로이다,-1.3109244,3.0756888,179.0
marker,ᄂ저,-0.21087015,0.9599452,176.0
marker,라하면,-3.3750875,2.6960251,172.0
marker,하시다,0.25949302,0.5280009,169.0
marker,하실새,-1.2241791,1.1401438,168.0
marker,ㄴ저,-0.8521543,1.839385,165.0
marker,어시든,-0.650709,3.3188388,165.0
marker,온여,-2.2746806,4.630875,164.0
marker,로니,-0.81975013,4.07223,162.0
marker,호리라,-0.30981976,3.2396083,162.0
marker,로도,-3.4330835,3.003158,159.0
marker,리오하니,-1.2237377,4.6912103,159.0
marker,시리오,-1.7109269,2.5033271,158.0
marker,오하니,0.24841619,3.0670435,154.0
marker,아하고,0.63105285,2.7717123,150.0
marker,호라,-1.1563369,2.7592504,146.0
marker,일새니라,-2.4445612,4.6086435,140.0
marker,라하여늘,0.5752333,1.9075733,139.0
marker,라하더니,-0.114062496,1.1852791,136.0
marker,하니잇고,-2.6296868,1.5964421,135.0
marker,하더니,-2.2587862,1.9524381,133.0
marker,아하니라,-2.3053386,2.8136518,132.0
marker,라하노라,-2.8241022,2.2205133,127.0
marker,라하나,-3.8445299,3.4583635,123.0
marker,어나,-4.131725,3.5145853,123.0
marker,라하나니,-1.175899,4.132149,122.0
