kind,name,x,y,count
parent,p0,-1.9097574,-14.399382,47493.0
parent,p1,5.330781,16.825722,89572.0
parent,p3,12.963334,-1.0858731,55203.0
parent,p4,6.3164277,2.059238,56327.0
parent,p5,14.504144,7.305561,17807.0
parent,p6,-5.7398424,23.321283,47995.0
parent,p7,-13.176206,-2.1381917,50534.0
parent,p8,5.811638,28.689358,94341.0
parent,p9,-5.417789,-1.4185466,46296.0
parent,p10,7.8399,10.768468,58562.0
parent,p11,-10.554299,11.258929,80371.0
parent,p12,4.2813396,-7.1598043,54251.0
parent,p13,-1.315714,16.988625,108642.0
parent,p14,23.76637,16.889921,50115.0
parent,p15,-1.1131729,0.258434,81960.0
marker,라@8,5.6057997,28.64267,25062.0
marker,는@8,5.6268153,28.632715,22186.0
marker,라@3,12.88471,-0.8140404,21335.0
marker,는@13,-1.2585475,16.761284,20674.0
marker,는@3,12.930215,-0.85434824,20234.0
marker,는@14,23.739862,16.9148,19049.0
marker,라@14,23.731937,16.849161,18252.0
marker,하여@11,-10.534454,11.207224,18124.0
marker,라@13,-1.2846464,16.799082,16511.0
marker,라@1,5.3729634,16.944778,15835.0
marker,는@1,5.40512,16.951366,13042.0
marker,라@6,-5.6347485,23.19418,10601.0
marker,하고@15,-1.1922837,0.3698001,10585.0
marker,하야@15,-1.1380247,0.3754496,9810.0
marker,요@13,-1.2472851,16.750807,9786.0
marker,니@13,-1.2797618,16.791025,8579.0
marker,라@11,-10.522526,11.253861,8504.0
marker,는@6,-5.6512976,23.158737,8463.0
marker,는@12,4.379666,-6.9550457,8162.0
marker,하고@11,-10.458532,11.2484665,7965.0
marker,라@12,4.3619533,-6.90712,7747.0
marker,니@8,5.618741,28.620653,7547.0
marker,라@4,6.334072,2.0273392,7238.0
marker,하니@13,-1.2942904,16.794626,7033.0
marker,라@9,-5.151348,-1.3054602,6871.0
marker,라@10,7.991845,10.727047,6752.0
marker,면@1,5.4067717,16.95305,6269.0
marker,하니@15,-1.1774485,0.42435575,6163.0
marker,라@0,-1.6325525,-14.35739,6064.0
marker,니@1,5.44489,16.960735,5890.0
marker,하여@1,5.4405193,16.968882,5882.0
marker,라@15,-1.1440667,0.44500822,5821.0
marker,요@8,5.646505,28.614176,5693.0
marker,가@11,-10.459525,11.213103,5446.0
marker,에@15,-1.130435,0.45766494,5359.0
marker,요@1,5.369182,17.008038,5237.0
marker,하고@13,-1.2474298,16.753887,5223.0
marker,하야@7,-13.29176,-2.2002347,5220.0
marker,라@7,-13.355581,-2.208531,4946.0
marker,하고@7,-13.399433,-2.2081199,4945.0
marker,는@9,-5.196086,-1.3625624,4908.0
marker,는@11,-10.458038,11.234507,4855.0
marker,하고@1,5.414719,16.988865,4731.0
marker,하니@11,-10.391633,11.1894865,4706.0
marker,하여@13,-1.2798814,16.772644,4698.0
marker,가@0,-1.6195586,-14.350134,4659.0
marker,는@10,8.027133,10.657368,4587.0
marker,하고@10,7.9651546,10.650588,4454.0
marker,에@7,-13.383742,-2.1827905,4448.0
marker,가@13,-1.256256,16.75598,4350.0
marker,는@4,6.3272943,2.0059657,4329.0
marker,하여@8,5.6336827,28.605698,4327.0
marker,에@13,-1.259929,16.754734,4296.0
marker,는@15,-1.2150242,0.37480593,4274.0
marker,는@0,-1.6571542,-14.331512,4268.0
marker,하니@7,-13.357918,-2.2218103,4235.0
marker,가@15,-1.2514762,0.41481036,4035.0
marker,하여@6,-5.6479907,23.16899,3968.0
marker,하니@8,5.615019,28.60043,3924.0
marker,에@11,-10.430364,11.224004,3890.0
marker,요@14,23.788982,16.842941,3865.0
marker,하여@10,8.062499,10.653911,3842.0
marker,에@4,6.3047833,1.9550933,3837.0
marker,하니@1,5.429757,17.005993,3791.0
marker,하니@4,6.375425,1.9362621,3755.0
marker,하니@10,8.043108,10.680381,3751.0
marker,면@13,-1.2622825,16.752968,3735.0
marker,하여@9,-5.244605,-1.395173,3712.0
marker,로@8,5.650087,28.61874,3613.0
marker,가@1,5.405095,17.015257,3612.0
marker,하고@9,-5.232715,-1.3635498,3494.0
marker,하니@6,-5.695924,23.230785,3487.0
marker,가@4,6.326658,2.0292842,3324.0
marker,로@13,-1.2929841,16.785769,3294.0
marker,면@8,5.67726,28.518951,3205.0
marker,하여@7,-13.30291,-2.2036924,3190.0
marker,하야@10,8.018327,10.577697,3181.0
marker,로@1,5.46817,17.037004,3174.0
marker,니@14,23.780668,16.883673,3113.0
marker,가@7,-13.375312,-2.2086697,3042.0
marker,하니@0,-1.6092796,-14.323682,3041.0
marker,하니@9,-5.2263646,-1.3743132,2993.0
marker,가@10,8.100473,10.623451,2964.0
marker,로@11,-10.391689,11.209963,2950.0
marker,하고@4,6.2689657,1.995551,2928.0
marker,가@9,-5.1806264,-1.3407753,2925.0
marker,요@3,12.845083,-0.8619348,2873.0
marker,니@6,-5.629748,23.172401,2862.0
marker,면@0,-1.6502725,-14.425497,2862.0
marker,면@10,8.081415,10.539195,2840.0
marker,면@15,-1.277942,0.34012526,2727.0
marker,는@7,-13.331029,-2.2072203,2716.0
marker,가@8,5.5906963,28.554554,2712.0
marker,니@12,4.417645,-6.983805,2688.0
marker,에@9,-5.21608,-1.3332262,2666.0
marker,에@1,5.45559,17.061361,2589.0
marker,나@1,5.3623443,17.07057,2574.0
marker,에@6,-5.669763,23.129719,2570.0
marker,하고@6,-5.640788,23.123772,2558.0
marker,에@12,4.382483,-6.9578114,2533.0
marker,하여@4,6.375938,2.0804818,2527.0
marker,하니@12,4.4102035,-6.9631004,2520.0
marker,에@10,8.070398,10.58438,2482.0
marker,하여@12,4.3749146,-6.921959,2455.0
marker,가@12,4.4110074,-6.9708924,2443.0
marker,니라@1,5.478334,17.019135,2429.0
marker,라@5,14.370149,7.3547463,2408.0
marker,하고@0,-1.6253998,-14.3615465,2358.0
marker,요@6,-5.582688,23.170397,2332.0
marker,요@12,4.401687,-6.9455204,2316.0
marker,하여@0,-1.5513512,-14.329198,2302.0
marker,니라@12,4.434682,-6.942642,2277.0
marker,니@0,-1.5928314,-14.342732,2232.0
marker,하야@9,-5.1995597,-1.3785521,2172.0
marker,니@10,8.019699,10.593436,2171.0
marker,니라@13,-1.2405714,16.79647,2145.0
marker,하야@4,6.2116942,2.034736,2144.0
marker,니라@8,5.630913,28.526878,2132.0
marker,로@15,-1.3056593,0.21726221,2112.0
marker,하다@4,6.233547,1.994564,2109.0
marker,하고@12,4.43506,-6.9453726,2090.0
marker,하다@7,-13.32711,-2.204845,2058.0
marker,하다@15,-1.3977358,0.14454633,2041.0
marker,에@8,5.595611,28.552732,2032.0
marker,에@0,-1.590218,-14.356231,2000.0
marker,로@10,8.031677,10.582858,1995.0
marker,면@12,4.395985,-6.931587,1993.0
marker,면@11,-10.432087,11.208899,1990.0
marker,하고@8,5.610948,28.594505,1979.0
marker,요@0,-1.5750101,-14.337894,1978.0
marker,니@4,6.2313023,1.9680235,1954.0
marker,로@12,4.445427,-7.0094757,1941.0
marker,요@11,-10.416975,11.166896,1883.0
marker,나@13,-1.3120204,16.815378,1876.0
marker,니@11,-10.376572,11.162891,1865.0
marker,니@3,12.895336,-0.8105543,1855.0
marker,요@10,8.07594,10.551762,1853.0
marker,면@4,6.1823215,1.9600128,1851.0
marker,니@15,-1.3689815,0.18943499,1813.0
marker,하여@15,-1.4041016,0.14317699,1806.0
marker,나@8,5.640826,28.56909,1759.0
marker,어늘@15,-1.3942901,0.16260079,1749.0
marker,로@9,-5.208279,-1.4337684,1745.0
marker,에@5,14.413654,7.291791,1743.0
marker,는@5,14.338624,7.3176723,1724.0
marker,하며@15,-1.3451096,0.18560855,1701.0
marker,요@15,-1.4044565,0.14380172,1697.0
marker,가@6,-5.554189,23.13103,1638.0
marker,니@9,-5.2135615,-1.3944756,1627.0
marker,니라@4,6.179836,2.033217,1554.0
marker,로@0,-1.609424,-14.336488,1547.0
marker,하다@5,14.309213,7.2869024,1516.0
marker,니이다@15,-1.3258303,0.12718637,1491.0
marker,요@9,-5.251526,-1.4303248,1480.0
marker,하며@11,-10.465318,11.140458,1441.0
marker,하니@5,14.330953,7.219894,1423.0
marker,로@7,-13.231177,-2.347933,1419.0
marker,하고@5,14.3096,7.3509564,1395.0
marker,나@10,7.9431267,10.624282,1343.0
marker,나@0,-1.6479481,-14.435249,1336.0
marker,하며@13,-1.4045931,16.900543,1323.0
marker,요@4,6.1659737,1.9732534,1315.0
marker,니이다@10,7.975872,10.583421,1309.0
marker,로@6,-5.572769,23.192719,1271.0
marker,나@15,-1.3226322,0.1765866,1247.0
marker,로@4,6.1032376,1.9832681,1223.0
marker,요@7,-13.22589,-2.3496704,1167.0
marker,나@12,4.5480886,-7.102427,1152.0
marker,하며@1,5.535187,16.816717,1134.0
marker,를@15,-1.255802,0.20981625,1124.0
marker,어늘@4,6.154004,2.0193324,1119.0
marker,하야@0,-1.7118471,-14.349314,1104.0
marker,어늘@7,-13.220721,-2.3314633,1102.0
marker,어늘@11,-10.529591,11.066343,1080.0
marker,를@1,5.6326795,16.776129,1074.0
marker,리오@1,5.577586,16.77792,1069.0
marker,아@4,6.1778846,2.0157552,1068.0
marker,라하니@13,-1.5232586,17.02727,1053.0
marker,하야@1,5.524493,16.833738,1045.0
marker,니@7,-13.230465,-2.3458095,1033.0
marker,아@1,5.586137,16.777916,1029.0
marker,니라@0,-1.7703456,-14.351624,1022.0
marker,러니@7,-13.203271,-2.3775733,1016.0
marker,하야@5,14.342529,7.324191,1011.0
marker,나@11,-10.473378,10.975857,995.0
marker,니라@3,12.92454,-0.82332927,990.0
marker,와@13,-1.4848013,17.104534,987.0
marker,하니라@7,-13.234913,-2.4214814,965.0
marker,라하니@6,-5.5776334,23.183956,936.0
marker,면@6,-5.5765395,23.143723,934.0
marker,면@9,-5.3279524,-1.4283972,934.0
marker,를@11,-10.558118,11.030968,933.0
marker,하니@14,23.788525,16.889534,931.0
marker,아@0,-1.753535,-14.342085,927.0
marker,어늘@10,7.8531575,10.570581,926.0
marker,어늘@13,-1.5654602,17.03742,922.0
marker,러니@15,-1.017812,0.22562492,910.0
marker,하며@10,7.784866,10.5789585,909.0
marker,를@12,4.5650954,-7.2421613,887.0
marker,하며@12,4.5558686,-7.197204,882.0
marker,니라@11,-10.581805,10.983587,858.0
marker,나@9,-5.4073954,-1.4699899,857.0
marker,를@8,5.738976,28.697414,855.0
marker,하여@5,14.363556,7.3700075,847.0
marker,를@13,-1.5713267,17.100468,834.0
marker,러니@11,-10.532298,10.988549,825.0
marker,한대@7,-13.154867,-2.3362532,824.0
marker,리오@4,6.339345,2.160977,823.0
marker,아@10,7.747666,10.646821,811.0
marker,하다@11,-10.512002,11.030293,810.0
marker,나@4,6.297747,2.1560943,808.0
marker,니라@15,-0.93396837,0.2274151,803.0
marker,가@3,12.954439,-0.83787954,798.0
marker,아@3,12.954045,-0.8066378,796.0
marker,한대@15,-0.94666386,0.25354683,792.0
marker,가@5,14.355895,7.3559732,787.0
marker,니이다@0,-1.7696884,-14.313548,787.0
marker,로되@13,-1.4674926,17.172106,776.0
marker,하여@14,23.804108,16.833565,774.0
marker,하면@13,-1.5414647,17.075531,766.0
marker,하야@11,-10.578781,10.976242,766.0
marker,아@12,4.5421534,-7.260859,739.0
marker,라하니@15,-0.92613214,0.22718158,731.0
marker,를@0,-1.8694211,-14.284851,729.0
marker,를@10,7.7396197,10.679509,723.0
marker,아@15,-0.903646,0.27302846,715.0
marker,한대@4,6.3875575,2.2438686,706.0
marker,리오@10,7.7621026,10.732969,690.0
marker,어늘@12,4.5161986,-7.2398176,690.0
marker,에@14,23.868458,16.973139,683.0
marker,하시니@12,4.525803,-7.2445135,681.0
marker,하니라@8,5.7838106,28.745087,675.0
marker,리오@0,-1.9495966,-14.263633,663.0
marker,로@3,12.901031,-0.8407521,659.0
marker,로되@15,-0.8534144,0.25095665,658.0
marker,하고@14,23.71232,16.957586,640.0
marker,하야@13,-1.4692914,17.17609,640.0
marker,오@15,-0.8044595,0.27579048,621.0
marker,리오@12,4.508658,-7.2635627,615.0
marker,하니라@11,-10.514092,11.198326,608.0
marker,러니@4,6.378723,2.2677147,607.0
marker,하며@9,-5.4951286,-1.4565691,605.0
marker,를@4,6.3678684,2.2150776,604.0
marker,아@11,-10.50534,11.202774,604.0
marker,를@9,-5.5575666,-1.479956,603.0
marker,아@13,-1.3663136,17.230453,598.0
