marker,total_count,entropy,normalized_entropy,interpretation
라,79310,3.777,0.944,범용
는,62805,3.66,0.915,범용
하고,40828,3.429,0.857,범용
하니,34332,3.644,0.911,범용
하여,30844,3.275,0.819,범용
하야,28587,3.007,0.752,범용
에,27299,3.594,0.898,범용
가,26011,3.63,0.908,범용
니,21649,3.644,0.911,범용
요,20883,3.646,0.912,범용
면,16605,3.488,0.872,범용
로,14416,3.679,0.92,범용
하다,9623,2.888,0.722,범용
나,8732,3.639,0.91,범용
어늘,7344,3.437,0.859,범용
니라,6886,3.548,0.887,범용
니이다,6023,3.181,0.795,범용
하며,5913,3.418,0.855,범용
를,5265,3.64,0.91,범용
아,5192,3.677,0.919,범용
러니,4186,3.172,0.793,범용
라하니,4086,3.656,0.914,범용
하니라,4047,3.601,0.9,범용
리오,3627,3.524,0.881,범용
와,3314,3.522,0.881,범용
한대,3273,3.021,0.755,범용
오,3239,3.598,0.9,범용
로되,3176,3.579,0.895,범용
하면,2327,3.458,0.865,범용
라도,2257,3.405,0.851,범용
라하고,1874,3.394,0.848,범용
라가,1769,3.126,0.782,범용
하시니,1535,3.479,0.87,범용
리라,1522,3.573,0.893,범용
며,1407,3.478,0.87,범용
라하니라,1387,3.685,0.921,범용
어든,1354,3.474,0.868,범용
로다,1349,3.65,0.912,범용
호되,1340,3.314,0.829,범용
러라,1299,3.196,0.799,범용
하나니,1269,3.455,0.864,범용
엔,1259,3.552,0.888,범용
하라,1188,3.474,0.868,범용
하사,1065,3.237,0.809,범용
할새,1037,2.99,0.748,범용
도,1004,3.56,0.89,범용
잇가,985,3.259,0.815,범용
하니이다,984,3.047,0.762,범용
어니와,914,3.477,0.869,범용
하되,902,3.422,0.855,범용
