,total,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
라,79310,3611.0,6583.0,4.0,8556.0,4825.0,1396.0,4846.0,4073.0,10290.0,4024.0,4577.0,4368.0,2622.0,7760.0,6628.0,5147.0
는,62805,2602.0,5111.0,4.0,7560.0,2178.0,863.0,3507.0,2090.0,8549.0,2662.0,2952.0,2361.0,2710.0,9335.0,6619.0,3702.0
하고,40828,1780.0,2672.0,0.0,169.0,2272.0,1139.0,1545.0,4560.0,909.0,2759.0,3854.0,5491.0,1037.0,2676.0,318.0,9647.0
하니,34332,2031.0,1843.0,0.0,323.0,2793.0,1160.0,1791.0,3809.0,1751.0,2133.0,2991.0,2997.0,1053.0,3501.0,405.0,5751.0
하여,30844,1232.0,2205.0,0.0,205.0,1507.0,404.0,1820.0,2342.0,1697.0,2029.0,2491.0,10582.0,686.0,1995.0,297.0,1352.0
하야,28587,1104.0,1045.0,0.0,117.0,2144.0,1011.0,576.0,5220.0,198.0,2172.0,3181.0,766.0,516.0,640.0,87.0,9810.0
에,27299,1304.0,1156.0,0.0,270.0,2800.0,1341.0,1236.0,3920.0,874.0,1913.0,1937.0,2401.0,922.0,2168.0,283.0,4774.0
가,26011,2813.0,1570.0,0.0,339.0,2309.0,505.0,829.0,2575.0,1080.0,1849.0,2174.0,3276.0,972.0,1976.0,230.0,3514.0
니,21649,1310.0,2323.0,0.0,752.0,1036.0,317.0,1238.0,795.0,3089.0,841.0,1543.0,876.0,892.0,3941.0,1145.0,1551.0
요,20883,1220.0,2071.0,0.0,1145.0,678.0,286.0,1080.0,975.0,2182.0,847.0,1352.0,934.0,819.0,4410.0,1396.0,1488.0
면,16605,1683.0,2602.0,0.0,148.0,1022.0,139.0,491.0,528.0,1332.0,604.0,2217.0,1030.0,666.0,1710.0,69.0,2364.0
로,14416,939.0,1166.0,0.0,243.0,757.0,258.0,566.0,1167.0,1399.0,1005.0,1273.0,1625.0,575.0,1474.0,151.0,1818.0
하다,9623,110.0,20.0,0.0,216.0,2074.0,1464.0,66.0,2042.0,56.0,153.0,315.0,802.0,100.0,141.0,33.0,2031.0
나,8732,801.0,1006.0,0.0,113.0,540.0,165.0,238.0,490.0,646.0,603.0,1039.0,613.0,425.0,892.0,55.0,1106.0
어늘,7344,428.0,236.0,0.0,28.0,910.0,295.0,223.0,972.0,162.0,357.0,702.0,712.0,265.0,474.0,19.0,1561.0
니라,6886,531.0,794.0,0.0,298.0,728.0,58.0,79.0,100.0,792.0,251.0,290.0,520.0,647.0,1055.0,86.0,657.0
니이다,6023,771.0,348.0,0.0,29.0,413.0,61.0,154.0,418.0,33.0,441.0,1243.0,350.0,112.0,159.0,17.0,1474.0
하며,5913,241.0,547.0,0.0,19.0,262.0,76.0,332.0,260.0,115.0,411.0,574.0,785.0,282.0,615.0,38.0,1356.0
를,5265,409.0,427.0,0.0,90.0,341.0,47.0,234.0,300.0,318.0,380.0,572.0,509.0,290.0,396.0,56.0,896.0
아,5192,605.0,562.0,0.0,318.0,625.0,57.0,144.0,166.0,223.0,284.0,539.0,299.0,348.0,321.0,100.0,601.0
러니,4186,181.0,34.0,0.0,17.0,498.0,228.0,63.0,937.0,31.0,249.0,272.0,581.0,88.0,146.0,9.0,852.0
라하니,4086,203.0,212.0,0.0,29.0,383.0,87.0,375.0,331.0,236.0,236.0,306.0,249.0,273.0,501.0,48.0,617.0
하니라,4047,133.0,123.0,0.0,130.0,362.0,215.0,194.0,892.0,286.0,350.0,173.0,415.0,130.0,225.0,62.0,357.0
리오,3627,392.0,472.0,0.0,111.0,489.0,55.0,69.0,105.0,169.0,185.0,469.0,147.0,219.0,195.0,13.0,537.0
와,3314,198.0,207.0,0.0,19.0,153.0,71.0,201.0,280.0,73.0,344.0,196.0,279.0,127.0,606.0,31.0,529.0
한대,3273,145.0,19.0,0.0,9.0,584.0,230.0,22.0,736.0,13.0,91.0,141.0,353.0,125.0,67.0,5.0,733.0
오,3239,261.0,236.0,0.0,127.0,397.0,96.0,83.0,224.0,94.0,142.0,393.0,55.0,175.0,291.0,70.0,595.0
로되,3176,267.0,242.0,0.0,16.0,166.0,64.0,130.0,251.0,142.0,268.0,305.0,189.0,170.0,353.0,19.0,594.0
하면,2327,213.0,197.0,0.0,17.0,128.0,14.0,104.0,95.0,110.0,92.0,348.0,250.0,59.0,353.0,7.0,340.0
라도,2257,235.0,280.0,0.0,11.0,144.0,16.0,60.0,92.0,99.0,109.0,394.0,122.0,118.0,152.0,2.0,423.0
라하고,1874,33.0,53.0,0.0,6.0,193.0,66.0,131.0,262.0,42.0,108.0,139.0,168.0,87.0,112.0,13.0,461.0
라가,1769,61.0,22.0,0.0,3.0,171.0,113.0,63.0,480.0,25.0,72.0,100.0,178.0,29.0,52.0,7.0,393.0
하시니,1535,94.0,90.0,0.0,4.0,86.0,29.0,17.0,86.0,45.0,160.0,197.0,154.0,161.0,178.0,1.0,233.0
리라,1522,146.0,162.0,0.0,41.0,159.0,21.0,46.0,65.0,183.0,47.0,138.0,70.0,65.0,143.0,4.0,232.0
며,1407,137.0,177.0,0.0,12.0,66.0,28.0,63.0,59.0,47.0,66.0,106.0,41.0,69.0,303.0,26.0,207.0
라하니라,1387,48.0,77.0,0.0,32.0,202.0,10.0,142.0,94.0,145.0,100.0,95.0,91.0,82.0,117.0,28.0,124.0
어든,1354,118.0,121.0,0.0,8.0,126.0,10.0,23.0,67.0,51.0,71.0,229.0,154.0,76.0,75.0,9.0,216.0
로다,1349,80.0,128.0,0.0,96.0,231.0,13.0,70.0,48.0,35.0,137.0,129.0,36.0,109.0,52.0,53.0,132.0
호되,1340,78.0,38.0,0.0,5.0,100.0,19.0,38.0,264.0,26.0,76.0,118.0,244.0,44.0,44.0,12.0,234.0
러라,1299,68.0,16.0,0.0,11.0,182.0,21.0,18.0,243.0,18.0,117.0,98.0,222.0,16.0,37.0,4.0,228.0
하나니,1269,171.0,202.0,0.0,18.0,115.0,4.0,40.0,12.0,121.0,46.0,88.0,106.0,36.0,167.0,12.0,131.0
엔,1259,111.0,115.0,0.0,7.0,54.0,11.0,39.0,62.0,76.0,91.0,120.0,133.0,58.0,197.0,11.0,174.0
하라,1188,41.0,43.0,0.0,62.0,229.0,40.0,15.0,143.0,35.0,67.0,199.0,77.0,45.0,17.0,29.0,146.0
하사,1065,46.0,44.0,0.0,2.0,65.0,21.0,9.0,71.0,16.0,149.0,179.0,140.0,28.0,55.0,1.0,239.0
