,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
라,0.045530196,0.0830034,5.0435003e-05,0.107880466,0.06083722,0.017601816,0.061102007,0.05135544,0.12974404,0.050737612,0.057710253,0.055075023,0.033060145,0.0978439,0.0835708,0.06489724
는,0.04142982,0.08137887,6.36892e-05,0.12037258,0.03467877,0.013740944,0.055839505,0.033277605,0.13611974,0.04238516,0.04700263,0.03759255,0.04314943,0.14863466,0.1053897,0.058944352
하고,0.04359753,0.06544528,0.0,0.0041393163,0.055648085,0.027897522,0.037841678,0.111688055,0.022264132,0.06757617,0.094396,0.13449104,0.025399236,0.06554326,0.007788772,0.23628393
하니,0.059157636,0.053681698,0.0,0.009408132,0.08135267,0.03378772,0.052167073,0.11094606,0.05100198,0.062128626,0.087119885,0.08729465,0.030671094,0.10197484,0.011796575,0.16751136
하여,0.03994294,0.07148878,0.0,0.0066463496,0.048858773,0.013098171,0.059006613,0.07593049,0.055018805,0.06578265,0.080761254,0.34308133,0.022240955,0.06468033,0.0096291015,0.043833483
하야,0.038618952,0.036555078,0.0,0.004092769,0.074999124,0.035365727,0.020149019,0.18260048,0.006926225,0.07597859,0.111274354,0.026795397,0.018050162,0.022387799,0.0030433415,0.34316298
에,0.04776732,0.042345874,0.0,0.0098904725,0.10256786,0.04912268,0.045276385,0.14359501,0.032015827,0.070075825,0.07095498,0.08795194,0.03377413,0.07941683,0.01036668,0.1748782
가,0.108146556,0.06035908,0.0,0.013032948,0.088770136,0.019414863,0.031871133,0.09899658,0.041520894,0.07108531,0.083580025,0.12594672,0.037368804,0.07596786,0.008842412,0.13509668
니,0.060510878,0.107302874,0.0,0.034736015,0.047854405,0.014642709,0.05718509,0.03672225,0.14268558,0.03884706,0.0712735,0.040463764,0.04120283,0.18204074,0.05288928,0.07164303
요,0.058420725,0.09917157,0.0,0.05482929,0.032466598,0.01369535,0.051716708,0.046688695,0.104486905,0.040559307,0.064741656,0.044725373,0.039218504,0.21117656,0.066848636,0.07125413
면,0.101355016,0.15669979,0.0,0.008912978,0.061547726,0.008370972,0.029569406,0.03179765,0.0802168,0.036374588,0.133514,0.06202951,0.0401084,0.10298103,0.004155375,0.14236675
로,0.06513596,0.080882356,0.0,0.01685627,0.0525111,0.01789678,0.03926193,0.08095172,0.09704495,0.0697142,0.08830466,0.11272197,0.039886236,0.10224751,0.010474473,0.12610988
하다,0.011430947,0.002078354,0.0,0.022446223,0.2155253,0.1521355,0.006858568,0.21219994,0.005819391,0.015899407,0.032734074,0.08334199,0.01039177,0.014652396,0.003429284,0.21105684
나,0.09173156,0.11520843,0.0,0.012940907,0.061841503,0.018896015,0.02725607,0.056115437,0.07398076,0.06905635,0.118987635,0.07020156,0.04867155,0.102153,0.0062986715,0.12666056
어늘,0.058278866,0.032135077,0.0,0.0038126362,0.12391067,0.040168844,0.030364923,0.13235295,0.022058824,0.048611112,0.09558824,0.09694989,0.036083877,0.06454249,0.002587146,0.21255447
니라,0.07711298,0.11530642,0.0,0.043276213,0.10572176,0.008422887,0.011472553,0.014522219,0.115015976,0.03645077,0.042114437,0.07551554,0.09395876,0.1532094,0.012489108,0.09541098
니이다,0.1280093,0.057778515,0.0,0.0048148762,0.06857048,0.010127843,0.025568653,0.06940063,0.0054789972,0.07321933,0.20637555,0.058110576,0.018595384,0.026398804,0.0028225137,0.24472854
하며,0.040757652,0.09250803,0.0,0.003213259,0.04430915,0.012853036,0.05614747,0.043970913,0.019448671,0.06950787,0.09707424,0.13275833,0.047691528,0.104008116,0.006426518,0.22932522
를,0.07768281,0.08110161,0.0,0.017094018,0.06476733,0.008926876,0.044444446,0.05698006,0.06039886,0.072174735,0.108641975,0.09667616,0.055080723,0.07521368,0.0106362775,0.17018044
아,0.11652543,0.10824345,0.0,0.061248075,0.1203775,0.010978429,0.027734976,0.031972267,0.042950694,0.054699536,0.10381356,0.0575886,0.06702619,0.061825886,0.0192604,0.11575501
러니,0.04323937,0.008122313,0.0,0.0040611564,0.11896799,0.054467272,0.015050167,0.22384137,0.0074056378,0.059483994,0.0649785,0.13879599,0.021022456,0.034878165,0.0021500238,0.2035356
라하니,0.04968184,0.051884484,0.0,0.007097406,0.093734704,0.021292217,0.091776796,0.08100832,0.057758197,0.057758197,0.07488987,0.060939796,0.066813506,0.1226138,0.01174743,0.15100342
하니라,0.032863848,0.030392883,0.0,0.03212256,0.08944897,0.053125773,0.047936745,0.22041018,0.07066963,0.086483814,0.042747714,0.1025451,0.03212256,0.05559674,0.01531999,0.08821349
리오,0.1080783,0.1301351,0.0,0.030603806,0.13482216,0.0151640475,0.019023987,0.028949546,0.04659498,0.05100634,0.12930797,0.040529363,0.06038048,0.05376344,0.0035842294,0.14805624
와,0.05974653,0.06246228,0.0,0.005733253,0.046167772,0.02142426,0.06065178,0.084490046,0.02202776,0.103802055,0.05914303,0.08418829,0.03832227,0.1828606,0.009354254,0.15962583
한대,0.044301864,0.005805072,0.0,0.0027497709,0.17842957,0.070271924,0.006721662,0.22487015,0.003971891,0.027803238,0.043079745,0.10785212,0.038191263,0.020470517,0.0015276505,0.22395356
오,0.08058043,0.07286199,0.0,0.039209634,0.1225687,0.029638777,0.025625193,0.069157146,0.029021302,0.04384069,0.12133375,0.01698055,0.05402902,0.08984254,0.021611609,0.18369867
로되,0.08406801,0.07619648,0.0,0.005037783,0.052267004,0.020151133,0.04093199,0.07903022,0.044710327,0.08438287,0.096032746,0.059508815,0.05352645,0.11114609,0.005982368,0.18702771
하면,0.09153417,0.08465836,0.0,0.0073055434,0.055006444,0.00601633,0.044692736,0.040825095,0.047271166,0.039535884,0.14954877,0.10743447,0.025354534,0.15169747,0.003008165,0.14611088
라도,0.104120515,0.124058485,0.0,0.004873726,0.063801505,0.007089056,0.02658396,0.040762074,0.043863535,0.048294194,0.17456801,0.054054055,0.05228179,0.06734604,0.000886132,0.18741693
라하고,0.017609391,0.02828175,0.0,0.0032017075,0.10298826,0.035218783,0.06990395,0.1398079,0.022411954,0.057630736,0.07417289,0.089647815,0.04642476,0.05976521,0.006937033,0.24599786
라가,0.03448276,0.012436405,0.0,0.0016958733,0.09666478,0.063877895,0.03561334,0.27133974,0.014132278,0.04070096,0.056529112,0.10062182,0.016393442,0.029395139,0.003957038,0.22215942
하시니,0.061237786,0.058631923,0.0,0.0026058631,0.05602606,0.018892508,0.011074918,0.05602606,0.029315962,0.104234524,0.12833877,0.10032573,0.104885995,0.11596091,0.0006514658,0.15179153
리라,0.09592641,0.1064389,0.0,0.02693824,0.10446781,0.013797634,0.03022339,0.042706963,0.12023653,0.030880421,0.09067017,0.045992117,0.042706963,0.09395532,0.0026281208,0.15243101
며,0.09737029,0.12579957,0.0,0.008528785,0.046908315,0.019900497,0.04477612,0.04193319,0.033404406,0.046908315,0.075337596,0.029140014,0.04904051,0.2153518,0.018479034,0.14712153
라하니라,0.034607064,0.0555155,0.0,0.023071377,0.14563806,0.0072098053,0.10237923,0.06777217,0.10454218,0.072098054,0.06849315,0.06560923,0.059120405,0.08435472,0.020187454,0.08940159
어든,0.08714919,0.08936484,0.0,0.0059084194,0.09305761,0.0073855245,0.016986705,0.049483012,0.037666176,0.052437223,0.1691285,0.11373708,0.056129985,0.055391435,0.006646972,0.15952733
로다,0.059303187,0.0948851,0.0,0.071163826,0.17123796,0.009636768,0.051890288,0.035581913,0.025945144,0.10155671,0.09562639,0.026686434,0.08080059,0.038547073,0.03928836,0.09785026
호되,0.058208954,0.02835821,0.0,0.0037313432,0.07462686,0.014179105,0.02835821,0.19701493,0.019402985,0.05671642,0.0880597,0.18208955,0.032835823,0.032835823,0.0089552235,0.17462687
러라,0.05234796,0.012317167,0.0,0.008468052,0.14010778,0.016166281,0.013856813,0.18706697,0.013856813,0.09006929,0.07544265,0.17090069,0.012317167,0.028483449,0.0030792917,0.17551963
하나니,0.13475177,0.15918046,0.0,0.014184397,0.09062254,0.0031520883,0.03152088,0.009456265,0.09535067,0.036249015,0.06934594,0.08353034,0.028368793,0.13159968,0.009456265,0.10323089
엔,0.08816521,0.09134234,0.0,0.0055599683,0.042891182,0.008737093,0.030976966,0.049245432,0.060365368,0.07227959,0.09531374,0.1056394,0.046068307,0.1564734,0.008737093,0.13820492
하라,0.034511786,0.036195286,0.0,0.052188553,0.19276094,0.033670034,0.012626262,0.12037037,0.02946128,0.056397308,0.16750842,0.06481481,0.03787879,0.014309764,0.024410775,0.12289562
하사,0.043192487,0.041314553,0.0,0.0018779343,0.061032865,0.01971831,0.008450705,0.06666667,0.015023475,0.13990611,0.16807511,0.13145539,0.02629108,0.051643193,0.00093896716,0.22441314
할새,0.027965285,0.005785921,0.0,0.004821601,0.12729026,0.054001927,0.015429122,0.24590164,0.004821601,0.04628737,0.024108004,0.11764706,0.024108004,0.023143684,0.010607522,0.268081
도,0.07868526,0.06175299,0.0,0.007968128,0.087649405,0.0069721118,0.03187251,0.062749006,0.04681275,0.08067729,0.09561753,0.05677291,0.065737054,0.13446215,0.007968128,0.17430279
잇가,0.12284264,0.05076142,0.0,0.018274112,0.10152284,0.01319797,0.014213198,0.05177665,0.0030456854,0.08730964,0.22639593,0.033502538,0.08020305,0.014213198,0.004060914,0.1786802
하니이다,0.085365854,0.019308943,0.0,0.008130081,0.07317073,0.022357723,0.031504065,0.15447155,0.0,0.09756097,0.13414635,0.050813008,0.010162601,0.008130081,0.0030487804,0.30182928
어니와,0.098468274,0.10722101,0.0,0.013129103,0.06455142,0.0065645515,0.02844639,0.032822758,0.052516412,0.038293216,0.12035011,0.047045954,0.09190372,0.12582056,0.0,0.17286652
하되,0.054323725,0.06430155,0.0,0.0011086474,0.06984479,0.0121951215,0.016629713,0.09090909,0.027716186,0.07871397,0.18070954,0.12195122,0.041019958,0.06097561,0.006651885,0.172949
