현토,총빈도,종결비율,번역패턴,패턴속성,Silhouette,K
라,79310,0.432,"말한것이다(1194), 하는것이다(1003), 기때문이다(584)",단일,0.124,1
는,62805,0.001,"하는것이다(527), 기때문이다(513), 이는(382)",단일,0.118,1
하고,40828,0.021,"하였습니다(172), 하지못하고(164), 하게하였다(109)",단일,0.111,1
하니,34332,0.054,"지않았으니(270), 게하였으니(197), 라고하였다(193)",단일,0.11,1
하여,30844,0.008,"지아니하여(205), 말한것이다(182), 하게하였다(151)",단일,0.106,1
하야,28587,0.011,"하였습니다(180), 하게하였다(132), 두려워하여(80)",단일,0.092,1
에,27299,0.002,"이에(123), 다하였으니(101), 하였습니다(95)",단일,0.103,1
가,26011,0.007,"이것이다(127), 상이(102), 라고하였다(86)",단일,0.101,1
니,21649,0.059,"하는것이니(298), 말한것이다(167), 기때문이니(134)",단일,0.107,1
요,20883,0.038,"하는것이요(150), 것이아니요(91), 말한것이요(90)",단일,0.106,1
면,16605,0.004,"지않는다면(240), 하지않으면(223), 라고하였다(124)",단일,0.093,1
로,14416,0.002,"때문에(479), 으로하여금(139), 이르기까지(118)",단일,0.095,1
하다,9623,0.511,"하게하였다(264), 으로삼았다(184), 로삼았다(178)",단일,0.08,1
나,8732,0.03,"다하더라도(63), 지못하였다(48), 하였습니다(44)",단일,0.088,1
어늘,7344,0.096,"하지않았다(42), 게하였는데(36), 지않았는데(34)",단일,0.085,1
니라,6886,0.671,"있는것이다(135), 하는것이다(133), 없는것이다(128)",단일,0.087,1
니이다,6023,0.506,"는것입니다(252), 하였습니다(178), 니다하였다(111)",단일,0.08,1
하며,5913,0.048,"하지않으며(112), 지않았으며(66), 게하였으며(23)",단일,0.088,1
를,5265,0.002,"알수있다(57), 수있겠는가(43), 있겠습니까(41)",단일,0.084,1
아,5192,0.494,"수있겠는가(334), 아니겠는가(137), 지않겠는가(119)",단일,0.083,1
러니,4186,0.12,"게하였는데(79), 지않았는데(44), 고있었는데(41)",단일,0.081,1
라하니,4086,0.138,"다하였으니(559), 고하였으니(356), 다라고하니(171)",단일,0.082,1
하니라,4047,0.596,"에보인다(76), 하지않았다(52), 지못하였다(47)",단일,0.081,1
리오,3627,0.518,"수있겠는가(242), 있겠습니까(166), 이있겠는가(133)",단일,0.08,1
와,3314,0.005,"년(124), 왕년(48), 희년(43)",단일,0.08,1
한대,3273,0.084,"이말하기를(101), 가말하기를(68), 대답하기를(46)",단일,0.075,1
오,3239,0.247,"어째서인가(102), 대답하기를(55), 라고하였다(43)",단일,0.087,1
로되,3176,0.044,"지못하였다(29), 지않았으나(24), 하였는데도(22)",단일,0.081,1
하면,2327,0.015,"하지않으면(29), 을것입니다(22), 지않는다면(15)",단일,0.083,1
라도,2257,0.002,"다하더라도(113), 라하더라도(51), 을것입니다(47)",단일,0.082,1
라하고,1874,0.15,"다라고하고(97), 다고하고서(70), 라고하였고(42)",단일,0.076,1
라가,1769,0.028,"로옮겼다가(18), 이되었다가(18), 가되었다가(12)",단일,0.076,1
하시니,1535,0.066,"게하셨으니(28), 하신것이다(25), 않으셨으니(25)",단일,0.156,1
리라,1522,0.589,"있을것이다(77), 없을것이다(72), 이없으리라(70)",단일,0.083,1
며,1407,0.062,"할수있으며(16), 지않겠으며(12), 것이아니며(11)",단일,0.081,1
라하니라,1387,0.572,"라고하였다(123), 이다하였다(105), 고한것이다(58)",단일,0.077,1
어든,1354,0.021,"자가있으면(26), 서이겠는가(22), 에있어서랴(22)",단일,0.099,1
로다,1349,0.572,"이를만하다(31), 지못하도다(27), 라고하였다(20)",단일,0.106,1
호되,1340,0.022,"하지않았다(20), 하였습니다(12), 지못하였다(11)",단일,0.085,1
러라,1299,0.584,"지못하였다(32), 하지않았다(14), 수가없었다(10)",단일,0.076,1
하나니,1269,0.153,"하지않으니(24), 하는것이다(15), 는것입니다(9)",단일,0.095,1
엔,1259,0.001,"에있어서는(35), 지금은(7), 내용이있다(7)",단일,0.094,1
하라,1188,0.482,"라고하였다(76), 하라하였다(18), 기바랍니다(11)",단일,0.09,1
하사,1065,0.017,"지않으시어(12), 하셨습니다(9), 을내리시어(7)",단일,0.169,1
할새,1037,0.022,"게하였는데(12), 하게하였다(10), 정벌할적에(9)",단일,0.091,1
도,1004,0.001,"하였습니다(7), 지않는것도(4), 을것입니다(4)",단일,0.128,1
잇가,985,0.467,"있겠습니까(89), 이겠습니까(56), 니겠습니까(34)",단일,0.141,1
하니이다,984,0.49,"하였습니다(106), 고있습니다(34), 되었습니다(33)",단일,0.124,1
어니와,914,0.085,"수있거니와(26), 할수있지만(12), 가하거니와(8)",단일,0.109,1
하되,902,0.034,"지못하였다(8), 하였습니다(6), 주인이(4)",단일,0.079,1
하노라,827,0.591,"라고하였다(21), 다고하였다(15), 다라고하니(8)",단일,0.094,1
하리니,821,0.099,"없을것이니(29), 않을것이니(25), 을것입니다(21)",단일,0.152,1
호대,766,0.013,"이르기를(40), 말하기를(10), 군자는(6)",단일,0.102,1
하시고,747,0.039,"지않으시고(11), 지않으셨고(9), 게전하시고(7)",단일,0.191,1
리이다,710,0.523,"을것입니다(121), 할것입니다(47), 될것입니다(46)",단일,0.121,1
컨대,701,0.004,"살펴보건대(11), 내가듣건대(9), 상고해보면(7)",단일,0.148,1
하소서,662,0.503,"서라고하니(22), 하지마소서(19), 하게하소서(18)",단일,0.18,1
하리라,658,0.495,"다고하였다(51), 길하리라(44), 라고하였다(24)",단일,0.156,1
인댄,652,0.008,"고자한다면(19), 고자할진댄(10), 려고한다면(9)",단일,0.151,1
리니,651,0.101,"없을것이니(28), 있을것이니(21), 않을것이니(15)",단일,0.15,1
일새,650,0.068,"하였으므로(16), 수없으므로(13), 었기때문에(8)",단일,0.14,1
라하다,621,0.531,"라고하였다(178), 다고하였다(44), 이라하였다(13)",단일,0.108,1
여,588,0.362,"에앉았도다(10), 무성하도다(7), 지못하도다(7)",단일,0.187,1
로라,548,0.586,"지못하겠다(15), 지못하였다(14), 라고하였다(12)",단일,0.094,1
인저,538,0.615,"일것이다(16), 있을것이다(11), 문일것이다(7)",단일,0.169,1
라야,535,0.004,"있는것이다(21), 수있습니다(16), 할수있으니(8)",단일,0.145,1
하여는,524,0.0,"이르러서는(36), 에있어서는(19), 에이르러는(19)",단일,0.144,1
히,516,0.002,"이르기까지(153), 를막론하고(5), 없었습니다(4)",단일,0.111,1
라하여,514,0.041,"고생각하여(14), 다라고하여(7), 생각하였다(5)",단일,0.124,1
하노이다,458,0.528,"니다하였다(28), 올리나이다(27), 는것입니다(20)",단일,0.164,1
라하야,439,0.089,"다라고하여(16), 라고하면서(13), 하였습니다(10)",단일,0.098,1
고,401,0.369,"대답하기를(11), 어째서인가(11), 수있겠는가(5)",단일,0.188,1
라하시니,373,0.147,"다하셨으니(44), 고하셨으니(36), 다하였으니(34)",단일,0.192,1
로소이다,356,0.517,"되었습니다(26), 하였습니다(10), 니다하였다(10)",단일,0.188,1
하얀,354,0.003,"이르러서는(49), 에미쳐서는(9), 로말하자면(4)",단일,0.116,1
리잇가,353,0.538,"있겠습니까(83), 하겠습니까(16), 않겠습니까(13)",단일,0.177,1
의,332,0.0,"숙과같이(3), 때문이니라(3), 이르기까지(2)",단일,0.147,1
시니라,327,0.835,"하신것이다(89), 으신것이다(22), 주신것이다(15)",단일,0.2,2
일새라,307,0.658,"기때문이다(216), 때문이었다(6), 때문입니다(5)",단일,0.175,1
라한대,300,0.213,"다라고하자(17), 니다하였다(17), 라고하였다(16)",단일,0.109,1
