cluster_id,cluster_label,rows,canonicity,x,y,dominant_marker,top_markers
0,p0,4826,6.755076668048073,-0.1605411320924759,-0.11112075299024582,라,라:2613; 이:2459; 하니:2031; 하고:1780; 는:1759; 에:1304; 하여:1232; 하야:1104; 이라:998; 이면:924
1,p1,5689,25.294427843206186,-0.020685985684394836,-0.19279073178768158,라,라:5109; 는:3281; 하고:2672; 하여:2205; 하니:1843; 은:1830; 니:1571; 이라:1474; 요:1342; 이면:1302
2,p2,2,50.0,0.8481196165084839,0.2645651400089264,라,라:4; 는:2; 은:2
3,p3,8113,15.382719092814002,0.42643195390701294,-0.03038906678557396,라,라:7173; 은:3898; 는:3662; 이라:1383; 요:736; 니:509; 이요:409; 하니:322; 아:318; 에:270
4,p4,9442,7.572548188943021,-0.2250063419342041,0.09404386579990387,라,라:3146; 에:2800; 하니:2793; 하고:2272; 하야:2144; 하다:2074; 이:2014; 이라:1679; 하여:1507; 는:1186
5,p5,3219,4.535570052811432,-0.21956154704093933,0.2511858344078064,하다,하다:1464; 에:1341; 하니:1160; 하고:1139; 하야:1011; 라:943; 이라:453; 는:450; 이:442; 은:413
6,p6,3491,5.499856774563162,-0.0018902849406003952,-0.08239375054836273,라,라:3465; 는:1975; 하여:1820; 하니:1791; 하고:1545; 은:1532; 이라:1379; 에:1236; 니:790; 이:686
7,p7,6027,1.0287041645926662,-0.2948332726955414,0.21590694785118103,하야,하야:5220; 하고:4560; 에:3920; 하니:3809; 라:2399; 하여:2342; 이:2229; 하다:2042; 이라:1674; 는:1134
8,p8,7641,15.155084413034944,0.19969294965267181,-0.1839876025915146,라,라:8327; 는:4935; 은:3614; 니:2116; 이라:1963; 하니:1751; 하여:1697; 요:1416; 로:1273; 이니:973
9,p9,4260,7.676056338028168,-0.18306392431259155,-0.0005247664521448314,하고,하고:2759; 라:2727; 하야:2172; 하니:2132; 하여:2029; 에:1913; 는:1580; 이:1499; 이라:1297; 은:1082
10,p10,6597,5.7147188115810215,-0.22151291370391846,-0.0283653661608696,하고,하고:3854; 라:3249; 하야:3181; 하니:2991; 하여:2491; 에:1937; 는:1826; 이:1607; 이라:1328; 이면:1152
11,p11,5090,5.12770137524558,-0.23450902104377747,0.010949664749205112,하여,하여:10582; 하고:5491; 이:3115; 라:3011; 하니:2997; 에:2401; 는:1381; 이라:1357; 로:1143; 은:980
12,p12,3558,48.791455874086566,-0.06808990240097046,-0.11578788608312607,라,라:2006; 는:1755; 하니:1053; 하고:1037; 은:955; 에:922; 이:706; 하여:686; 니:617; 이라:616
13,p13,6355,9.74036191974823,0.027096323668956757,-0.17372728884220123,라,라:5999; 는:5646; 은:3689; 하니:3501; 요:2723; 하고:2676; 니:2527; 에:2168; 하여:1995; 이라:1761
14,p14,4988,19.406575781876505,0.43316999077796936,-0.0522485226392746,라,라:5745; 은:3436; 는:3183; 이라:883; 요:842; 니:778; 이요:554; 하니:404; 이니:367; 하고:318
15,p15,8645,1.4806246385193753,-0.3048161268234253,0.13468457758426666,하야,하야:9810; 하고:9645; 하니:5751; 에:4774; 라:3354; 이:2814; 는:2277; 하다:2031; 이라:1793; 은:1425
