cluster,entropy,top_marker,top_marker_ratio
0,3.714514306516185,는,0.25342665500145817
1,3.8913107906568154,는,0.1804193287141186
2,3.866633383594936,하여,0.13937318389373185
3,3.7410556941317665,는,0.19485404754739694
4,3.7463116635351525,하고,0.1517915309446254
5,2.1351740573837517,는,0.6203357004519044
6,3.68752787512743,는,0.21252763448784082
7,3.5394973268073513,는,0.25193014705882355
8,3.4237320159884996,하야,0.19396593673965937
9,3.848972650407612,는,0.18609076205879554
10,3.721061333501656,는,0.15033611733550623
11,3.615537183118552,면,0.25607653852784
12,3.893505381703543,하여,0.11643401015228426
13,3.732017199650276,는,0.2178055190538765
14,3.7748628738191665,는,0.1513024013024013
15,3.813663310993739,에,0.1495092693565976
16,3.6443937794534174,하고,0.15996013454590757
17,3.7479686495296463,는,0.2026791694574682
18,3.691304730390447,는,0.20091944415421586
19,3.8543143669669906,는,0.16185939842991973
20,3.9798483535078457,는,0.1276840490797546
21,3.7964381606606175,는,0.16130524152106887
22,2.4171578546949455,에,0.6185495118549512
23,3.577896778828226,하야,0.18268725706481773
