kind,name,x,y,count
parent,p0,6.49002,23.695219,34187.0
parent,p1,9.326196,22.711823,4.0
parent,p2,10.128762,23.684643,60218.0
parent,p3,10.276072,21.899208,65135.0
parent,p4,7.5229135,20.761885,38224.0
parent,p5,8.634805,22.945452,54974.0
parent,p6,8.481002,21.022839,70281.0
parent,p7,10.4922695,23.322405,90704.0
parent,p8,5.402062,21.582771,128695.0
parent,p9,9.424305,21.855042,88479.0
parent,p10,7.4902635,22.535471,58668.0
parent,p11,7.2668257,22.447601,46218.0
parent,p12,5.367179,23.65894,44920.0
parent,p13,8.673656,22.890339,84550.0
parent,p14,9.702593,24.902134,44872.0
parent,p15,7.1516485,24.892246,49286.0
marker,는,8.654888,22.902977,132224.0
marker,라,8.870318,22.744396,106062.0
marker,하여,8.31211,22.211876,72159.0
marker,하고,8.706455,22.398245,63074.0
marker,하니,8.530108,22.763378,59528.0
marker,니,9.045709,22.838882,54703.0
marker,요,8.819121,22.882559,53975.0
marker,가,6.6584134,23.101662,48498.0
marker,에,5.968228,23.261097,43033.0
marker,면,10.048397,22.44124,35378.0
marker,하야,5.5302672,22.741266,29840.0
marker,로,8.531672,22.420752,27399.0
marker,나,9.5986,22.730707,15758.0
marker,하며,9.355941,22.139153,15712.0
marker,니라,10.2871,22.221508,14425.0
marker,를,8.825778,22.247284,11908.0
marker,어늘,6.0992413,23.176039,11696.0
marker,라하니,7.987011,23.638319,7922.0
marker,하다,5.5264177,23.545872,7581.0
marker,와,6.7513847,23.274015,6491.0
marker,러니,6.017234,23.665485,5845.0
marker,로되,9.176951,23.285152,5776.0
marker,아,8.611934,24.13696,5100.0
marker,하시니,7.7761817,21.31271,4848.0
marker,하면,9.119657,22.396482,4841.0
marker,하니라,6.978533,23.656363,4780.0
marker,한대,6.0677223,23.899628,4466.0
marker,로다,9.636312,24.84905,4417.0
marker,라도,10.033882,22.716076,4354.0
marker,며,9.8020115,22.966005,4037.0
marker,리오,10.03675,23.101027,3985.0
marker,니이다,5.8236284,21.97935,3943.0
marker,하사,7.3829274,21.478447,3834.0
marker,하나니,9.787554,22.241161,3442.0
marker,어든,9.319629,24.165092,3417.0
marker,오,8.402859,24.198833,3263.0
marker,라하고,7.585643,23.808828,2576.0
marker,엔,8.9637165,22.720333,2372.0
marker,리라,10.409322,22.200962,2340.0
marker,하시고,6.401088,23.376728,2212.0
marker,라가,5.470512,23.275812,2195.0
marker,어니와,10.07835,22.531343,2135.0
marker,도,8.820786,23.537855,1963.0
marker,호되,7.26332,23.03988,1887.0
marker,하되,6.9730153,22.480597,1726.0
marker,할새,5.6517406,23.487888,1614.0
marker,라하니라,8.267567,23.455812,1522.0
marker,하리니,9.5713625,22.600988,1473.0
marker,라야,9.31634,21.611156,1448.0
marker,인댄,9.611672,23.026821,1402.0
marker,하시며,8.530834,21.589733,1341.0
marker,여,9.726598,24.963125,1308.0
marker,시니라,7.2600436,24.69418,1270.0
marker,하여는,9.131244,22.647602,1160.0
marker,라하시니,8.616714,21.33379,1152.0
marker,잇가,7.5824604,24.40664,1151.0
marker,하라,7.9070787,22.363277,1123.0
