marker,total_count,entropy,normalized_entropy,interpretation
는,57952,3.571,0.893,범용
라,50636,3.745,0.936,범용
하고,44233,3.625,0.906,범용
하니,37455,3.691,0.923,범용
하여,36139,3.747,0.937,범용
하야,29840,3.134,0.783,범용
가,27626,3.763,0.941,범용
에,26983,3.577,0.894,범용
니,24841,3.706,0.927,범용
요,24476,3.569,0.892,범용
면,17737,3.391,0.848,범용
로,13842,3.663,0.916,범용
나,8583,3.379,0.845,범용
하며,7702,3.602,0.901,범용
어늘,7643,3.593,0.898,범용
하다,7475,2.867,0.717,범용
를,6072,3.613,0.903,범용
니라,5524,3.452,0.863,범용
러니,4222,3.31,0.827,범용
라하니,4139,3.711,0.928,범용
와,4000,3.575,0.894,범용
니이다,3532,2.815,0.704,범용
로되,3414,3.493,0.873,범용
한대,3165,3.027,0.757,범용
아,2934,3.364,0.841,범용
하니라,2794,3.809,0.952,범용
하면,2653,3.445,0.861,범용
라도,2503,3.149,0.787,범용
오,2497,3.736,0.934,범용
로다,2270,3.287,0.822,범용
리오,2168,3.293,0.823,범용
며,1929,3.693,0.923,범용
하시니,1854,3.595,0.899,범용
라가,1831,3.12,0.78,범용
라하고,1770,3.701,0.925,범용
어든,1675,3.417,0.854,범용
하사,1642,3.42,0.855,범용
호되,1456,3.527,0.882,범용
하나니,1409,3.459,0.865,범용
엔,1288,3.527,0.882,범용
리라,1204,3.343,0.836,범용
할새,1186,2.968,0.742,범용
도,1099,3.602,0.9,범용
어니와,1009,3.385,0.846,범용
하되,990,3.337,0.834,범용
하리니,899,3.374,0.843,범용
하시고,898,3.231,0.808,범용
러라,842,3.408,0.852,범용
라하니라,821,3.666,0.916,범용
호대,800,3.436,0.859,범용
