,total,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
는,57952,2889.0,0.0,3018.0,2609.0,1926.0,4562.0,4384.0,3435.0,7746.0,3904.0,2764.0,1412.0,1091.0,13615.0,1857.0,2740.0
라,50636,1696.0,0.0,3804.0,3662.0,1749.0,3251.0,3325.0,5424.0,6696.0,4562.0,2343.0,1596.0,1543.0,6242.0,2392.0,2351.0
하고,44233,1957.0,1.0,2266.0,2309.0,1074.0,2140.0,2340.0,2895.0,9728.0,3282.0,3776.0,4257.0,3684.0,426.0,2267.0,1831.0
하니,37455,1057.0,0.0,2573.0,1770.0,1252.0,2257.0,1801.0,3758.0,6837.0,2825.0,2490.0,2368.0,3661.0,445.0,1909.0,2452.0
하여,36139,1249.0,0.0,1546.0,2035.0,1704.0,1755.0,2830.0,3926.0,2954.0,3569.0,3442.0,4387.0,2386.0,276.0,2439.0,1641.0
하야,29840,791.0,0.0,908.0,711.0,648.0,286.0,902.0,1732.0,10648.0,1148.0,2977.0,2534.0,3828.0,24.0,1330.0,1373.0
가,27626,1909.0,0.0,1434.0,930.0,1267.0,965.0,1694.0,1766.0,4347.0,1710.0,2440.0,1360.0,2775.0,873.0,1583.0,2573.0
에,26983,1382.0,0.0,1051.0,693.0,637.0,1494.0,782.0,893.0,5429.0,1649.0,2740.0,1474.0,4340.0,718.0,1911.0,1790.0
니,24841,945.0,0.0,1518.0,1841.0,1037.0,1911.0,2007.0,2802.0,3080.0,2670.0,1115.0,773.0,340.0,2968.0,998.0,836.0
요,24476,978.0,0.0,1515.0,1929.0,798.0,1891.0,1624.0,1871.0,3845.0,1920.0,881.0,668.0,273.0,4825.0,889.0,569.0
면,17737,160.0,0.0,1536.0,2143.0,660.0,392.0,1227.0,2960.0,3292.0,2265.0,1005.0,1030.0,287.0,101.0,383.0,296.0
로,13842,756.0,0.0,706.0,455.0,522.0,813.0,797.0,844.0,3115.0,1334.0,1153.0,921.0,781.0,500.0,414.0,731.0
나,8583,161.0,0.0,813.0,672.0,245.0,215.0,308.0,1380.0,2214.0,912.0,284.0,192.0,271.0,125.0,311.0,480.0
하며,7702,133.0,0.0,465.0,975.0,242.0,411.0,611.0,578.0,1172.0,905.0,484.0,654.0,145.0,100.0,713.0,114.0
어늘,7643,245.0,0.0,592.0,246.0,352.0,241.0,260.0,543.0,1574.0,299.0,536.0,520.0,1006.0,56.0,640.0,533.0
하다,7475,579.0,0.0,350.0,58.0,20.0,137.0,39.0,127.0,859.0,78.0,740.0,737.0,3015.0,15.0,281.0,440.0
를,6072,132.0,0.0,430.0,342.0,247.0,203.0,445.0,580.0,1282.0,611.0,514.0,498.0,127.0,146.0,246.0,269.0
니라,5524,77.0,0.0,710.0,818.0,211.0,135.0,436.0,755.0,1008.0,482.0,196.0,104.0,121.0,112.0,123.0,236.0
러니,4222,276.0,0.0,264.0,57.0,70.0,55.0,61.0,218.0,1013.0,89.0,361.0,302.0,693.0,6.0,224.0,533.0
라하니,4139,122.0,0.0,383.0,308.0,169.0,396.0,299.0,361.0,592.0,250.0,250.0,164.0,222.0,54.0,105.0,464.0
와,4000,482.0,0.0,73.0,58.0,133.0,287.0,175.0,143.0,894.0,191.0,264.0,182.0,430.0,215.0,268.0,205.0
니이다,3532,40.0,0.0,339.0,231.0,129.0,31.0,129.0,418.0,1614.0,124.0,163.0,123.0,60.0,30.0,24.0,77.0
로되,3414,103.0,0.0,356.0,229.0,116.0,151.0,141.0,394.0,908.0,219.0,160.0,93.0,154.0,54.0,107.0,229.0
한대,3165,156.0,0.0,150.0,25.0,17.0,24.0,15.0,67.0,621.0,50.0,340.0,220.0,689.0,5.0,104.0,682.0
아,2934,36.0,0.0,392.0,195.0,117.0,29.0,157.0,674.0,450.0,170.0,159.0,73.0,54.0,15.0,108.0,305.0
하니라,2794,143.0,0.0,213.0,140.0,78.0,183.0,139.0,195.0,255.0,249.0,237.0,168.0,281.0,78.0,132.0,303.0
하면,2653,13.0,0.0,103.0,198.0,93.0,253.0,151.0,324.0,571.0,351.0,167.0,225.0,37.0,33.0,78.0,56.0
라도,2503,19.0,0.0,276.0,315.0,64.0,21.0,101.0,470.0,653.0,239.0,79.0,95.0,28.0,2.0,81.0,60.0
오,2497,139.0,0.0,288.0,147.0,77.0,69.0,149.0,337.0,287.0,186.0,175.0,93.0,86.0,100.0,116.0,248.0
로다,2270,30.0,0.0,119.0,115.0,75.0,58.0,199.0,254.0,160.0,134.0,83.0,116.0,24.0,37.0,761.0,105.0
리오,2168,18.0,1.0,248.0,160.0,126.0,13.0,110.0,578.0,351.0,135.0,101.0,59.0,54.0,4.0,67.0,143.0
며,1929,75.0,0.0,184.0,199.0,87.0,130.0,124.0,253.0,232.0,178.0,75.0,73.0,15.0,89.0,163.0,52.0
하시니,1854,63.0,0.0,120.0,112.0,190.0,36.0,193.0,111.0,318.0,134.0,212.0,73.0,75.0,2.0,48.0,167.0
라가,1831,57.0,0.0,76.0,22.0,12.0,19.0,13.0,109.0,520.0,30.0,194.0,149.0,333.0,3.0,188.0,106.0
라하고,1770,96.0,0.0,163.0,76.0,58.0,124.0,79.0,132.0,270.0,82.0,172.0,131.0,87.0,29.0,47.0,224.0
