,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
는,0.0498516,0.0,0.05207758,0.045020018,0.033234403,0.078720324,0.075648814,0.05927319,0.13366234,0.06736609,0.047694642,0.024364991,0.018825924,0.2349358,0.03204376,0.04728051
라,0.03349396,0.0,0.07512442,0.07232009,0.034540642,0.06420334,0.065664746,0.10711747,0.13223793,0.09009401,0.04627143,0.031519078,0.03047239,0.12327198,0.047239117,0.046429418
하고,0.044242986,2.2607555e-05,0.05122872,0.052200846,0.024280515,0.04838017,0.05290168,0.06544887,0.2199263,0.074198,0.08536613,0.096240364,0.08328623,0.009630819,0.05125133,0.041394435
하니,0.02822053,0.0,0.06869577,0.04725671,0.03342678,0.060258977,0.048084367,0.100333735,0.18253905,0.075423844,0.06647977,0.063222535,0.09774396,0.011880924,0.050967827,0.06546523
하여,0.034561,0.0,0.04277927,0.056310356,0.04715128,0.048562493,0.07830875,0.108636096,0.08173995,0.09875757,0.095243365,0.1213924,0.06602286,0.0076371785,0.067489415,0.045408007
하야,0.026508043,0.0,0.030428955,0.023827078,0.021715818,0.00958445,0.030227883,0.058042895,0.35683647,0.03847185,0.09976541,0.08491957,0.12828419,0.00080428954,0.044571046,0.046012063
가,0.06910157,0.0,0.051907625,0.03366394,0.045862593,0.034930862,0.061319046,0.06392529,0.15735178,0.061898213,0.088322595,0.04922899,0.100448854,0.031600665,0.057301093,0.0931369
에,0.051217433,0.0,0.03895045,0.025682837,0.023607457,0.055368196,0.02898121,0.033094913,0.20120075,0.061112553,0.101545416,0.054626986,0.16084202,0.026609346,0.07082237,0.06633806
니,0.038041946,0.0,0.061108653,0.07411135,0.041745503,0.07692927,0.08079385,0.112797394,0.12398857,0.107483596,0.04488547,0.03111791,0.01368705,0.119479895,0.040175516,0.033654038
요,0.03995751,0.0,0.061897367,0.0788119,0.03260337,0.077259354,0.06635071,0.07644223,0.15709266,0.07844419,0.035994444,0.027292041,0.011153784,0.19713189,0.036321294,0.023247262
면,0.009020691,0.0,0.086598635,0.12082088,0.037210353,0.022100693,0.06917743,0.16688278,0.18560073,0.12769917,0.05666122,0.0580707,0.016180865,0.005694311,0.02159328,0.016688278
로,0.054616384,0.0,0.05100419,0.03287097,0.037711315,0.058734287,0.057578385,0.06097385,0.22503974,0.09637336,0.08329721,0.06653663,0.056422483,0.03612195,0.029908972,0.05281029
나,0.01875801,0.0,0.09472212,0.0782943,0.028544798,0.025049517,0.035884887,0.16078295,0.25795177,0.10625655,0.033088665,0.0223698,0.03157404,0.014563672,0.036234416,0.0559245
하며,0.017268242,0.0,0.06037393,0.12659049,0.03142041,0.053362764,0.07933004,0.075045444,0.15216827,0.117501944,0.06284082,0.08491301,0.01882628,0.012983641,0.09257336,0.01480135
어늘,0.032055475,0.0,0.0774565,0.032186314,0.046055213,0.03153212,0.034018055,0.0710454,0.20594008,0.039120764,0.07012953,0.06803611,0.13162372,0.0073269657,0.083736755,0.06973702
하다,0.077458195,0.0,0.04682274,0.007759197,0.0026755852,0.01832776,0.0052173915,0.016989967,0.11491639,0.010434783,0.098996654,0.09859532,0.40334448,0.0020066889,0.03759197,0.058862876
를,0.02173913,0.0,0.07081687,0.05632411,0.040678523,0.03343215,0.07328722,0.09552042,0.21113306,0.10062582,0.08465086,0.08201581,0.020915678,0.024044795,0.040513836,0.04430171
니라,0.013939175,0.0,0.12853006,0.1480811,0.03819696,0.024438813,0.078928314,0.13667633,0.18247646,0.08725561,0.035481535,0.018826937,0.021904416,0.020275163,0.022266474,0.042722665
러니,0.06537186,0.0,0.06252961,0.013500711,0.01657982,0.013027001,0.014448129,0.051634297,0.23993368,0.021080056,0.0855045,0.07153008,0.16414022,0.0014211275,0.053055424,0.12624349
라하니,0.029475719,0.0,0.09253443,0.07441411,0.04083112,0.09567528,0.072239675,0.087219134,0.14302972,0.060401063,0.060401063,0.039623097,0.053636145,0.01304663,0.025368446,0.11210437
와,0.1205,0.0,0.01825,0.0145,0.03325,0.07175,0.04375,0.03575,0.2235,0.04775,0.066,0.0455,0.1075,0.05375,0.067,0.05125
니이다,0.011325029,0.0,0.095979616,0.06540204,0.036523215,0.008776897,0.036523215,0.11834655,0.45696488,0.035107587,0.04614949,0.03482446,0.016987542,0.008493771,0.006795017,0.02180068
로되,0.03016989,0.0,0.10427651,0.06707674,0.03397774,0.04422964,0.041300528,0.11540715,0.26596367,0.06414763,0.046865847,0.027240774,0.045108378,0.015817223,0.031341534,0.06707674
한대,0.0492891,0.0,0.047393367,0.007898894,0.005371248,0.0075829383,0.0047393367,0.021169037,0.19620854,0.015797788,0.10742496,0.069510266,0.21769352,0.0015797789,0.0328594,0.21548183
아,0.012269938,0.0,0.133606,0.06646217,0.0398773,0.009884117,0.053510565,0.22972052,0.15337424,0.057941377,0.05419223,0.02488071,0.018404908,0.0051124743,0.036809817,0.103953645
하니라,0.051181104,0.0,0.07623479,0.050107375,0.027916964,0.065497495,0.049749464,0.06979241,0.091267,0.08911954,0.08482462,0.06012885,0.10057265,0.027916964,0.047244094,0.10844667
하면,0.004900113,0.0,0.038823973,0.07463249,0.035054654,0.095363736,0.0569167,0.122125894,0.21522805,0.13230306,0.06294761,0.084809646,0.013946475,0.012438749,0.029400678,0.02110818
라도,0.007590891,0.0,0.11026768,0.12584898,0.025569316,0.008389932,0.040351577,0.18777467,0.26088694,0.09548542,0.031562127,0.037954453,0.011186576,0.0007990411,0.03236117,0.023971235
오,0.0556668,0.0,0.11533841,0.058870643,0.030837005,0.02763316,0.059671607,0.13496195,0.114937924,0.074489385,0.0700841,0.037244692,0.03444133,0.04004806,0.04645575,0.09931918
로다,0.013215859,0.0,0.052422907,0.050660793,0.033039648,0.025550662,0.0876652,0.11189427,0.07048458,0.05903084,0.036563877,0.051101323,0.010572687,0.016299559,0.3352423,0.046255507
리오,0.008302583,0.00046125462,0.11439114,0.073800735,0.058118083,0.00599631,0.050738007,0.26660517,0.16190037,0.06226937,0.046586715,0.027214022,0.02490775,0.0018450185,0.030904058,0.06595941
며,0.038880248,0.0,0.09538621,0.10316226,0.045101088,0.06739243,0.064282015,0.13115604,0.12026957,0.09227579,0.038880248,0.037843443,0.00777605,0.046137895,0.08449974,0.026956972
하시니,0.033980582,0.0,0.06472492,0.060409926,0.10248112,0.019417476,0.104099244,0.05987055,0.17152104,0.07227616,0.11434735,0.039374325,0.040453073,0.0010787486,0.025889968,0.090075515
라가,0.03113053,0.0,0.041507374,0.012015292,0.0065537957,0.010376844,0.0070999456,0.05953031,0.2839978,0.01638449,0.10595303,0.0813763,0.18186784,0.0016384489,0.10267613,0.05789186
라하고,0.054237287,0.0,0.0920904,0.042937852,0.03276836,0.0700565,0.04463277,0.07457627,0.15254237,0.046327684,0.09717514,0.074011296,0.049152542,0.01638418,0.026553672,0.12655367
어든,0.011940299,0.0,0.08298507,0.065671645,0.025671642,0.007164179,0.037014924,0.19044776,0.14865671,0.08716418,0.11402985,0.08656716,0.014925373,0.0035820894,0.09671642,0.027462687
하사,0.054811206,0.0,0.029232644,0.026796589,0.10840438,0.024360536,0.08769793,0.042630937,0.22898903,0.035931792,0.17783192,0.035322778,0.057856273,0.0012180269,0.040194884,0.04872107
호되,0.03846154,0.0,0.072115384,0.032967035,0.012362638,0.03228022,0.026098901,0.067307696,0.19711539,0.050824177,0.13186814,0.10027473,0.06043956,0.008928572,0.041208792,0.12774725
하나니,0.006387509,0.0014194464,0.056777857,0.12633073,0.07452094,0.036195885,0.11142655,0.17672108,0.10361959,0.1376863,0.046841733,0.047551453,0.009226401,0.006387509,0.047551453,0.011355571
엔,0.030279502,0.0,0.06909938,0.05279503,0.029503105,0.07220497,0.054347824,0.06987578,0.26785713,0.09860248,0.08229814,0.045807455,0.027173912,0.024068324,0.049689442,0.026397515
리라,0.009966778,0.0,0.08388704,0.22425249,0.05066445,0.007475083,0.06893688,0.18521595,0.08554817,0.10880399,0.03156146,0.03986711,0.03322259,0.0016611295,0.027408637,0.04152824
할새,0.0455312,0.0,0.019392917,0.0067453627,0.0067453627,0.008431703,0.011804384,0.010118044,0.21500844,0.010961214,0.17706576,0.09021922,0.25042158,0.0,0.064080946,0.08347386
도,0.03366697,0.0,0.11101001,0.04822566,0.039126478,0.040946316,0.050045498,0.094631486,0.23202911,0.08007279,0.054595087,0.040946316,0.03275705,0.025477707,0.040036395,0.07643312
어니와,0.019821605,0.0,0.081268586,0.13478692,0.023785926,0.014866204,0.044598613,0.18533202,0.18731417,0.12289395,0.054509416,0.03171457,0.013875124,0.010901883,0.03270565,0.041625373
하되,0.011111111,0.0,0.065656565,0.055555556,0.024242423,0.02929293,0.047474746,0.07474747,0.3181818,0.06363636,0.06969697,0.10404041,0.033333335,0.005050505,0.033333335,0.06464647
하리니,0.0066740825,0.0,0.0567297,0.09232481,0.054505005,0.0077864295,0.05339266,0.21357064,0.14126807,0.11234705,0.08898777,0.09343715,0.03448276,0.0,0.032258064,0.0122358175
하시고,0.06013363,0.0,0.06458797,0.024498885,0.05790646,0.013363029,0.06347439,0.025612472,0.33964366,0.023385301,0.08351893,0.055679288,0.075723834,0.0,0.016703786,0.09576838
러라,0.034441806,0.0,0.072446555,0.0391924,0.011876484,0.027315915,0.033254158,0.06888361,0.28503564,0.035629455,0.06888361,0.09619953,0.06413302,0.0035629454,0.060570072,0.098574825
