cluster_id,cluster_label,rows,canonicity,x,y,dominant_marker,top_markers
0,p0,12405,6.956872228939943,-0.10045857727527618,0.019457263872027397,하고,하고:1957; 이:1666; 는:1612; 에:1382; 은:1277; 하여:1249; 라:1177; 하니:1057; 하야:791; 하다:579
1,p1,2,0.0,1.1551021337509155,-0.0111514488235116,하나니,하나니:2; 하고:1; 리오:1
2,p2,17671,12.37620960896384,-0.09282577782869339,-0.017435695976018906,라,라:2686; 하니:2573; 하고:2266; 는:1963; 하여:1546; 이:1171; 이라:1118; 은:1055; 에:1051; 니:1021
3,p3,15647,17.140665942353166,-0.06148169934749603,-0.10012008994817734,라,라:2926; 하고:2309; 하여:2035; 하니:1770; 는:1740; 니:1195; 요:1175; 이면:1091; 면:1052; 하며:975
4,p4,9726,13.294262800740283,-0.0874406173825264,-0.033576320856809616,하여,하여:1704; 라:1315; 하니:1252; 는:1221; 이:1077; 하고:1074; 니:707; 은:705; 하야:648; 에:637
5,p5,15565,4.060391904914873,-0.09716419875621796,-0.15929175913333893,는,는:2486; 하니:2257; 라:2158; 하고:2140; 은:2076; 하여:1755; 에:1494; 이라:1093; 요:1078; 니:1012
6,p6,16285,18.55695425237949,-0.08579272031784058,-0.10407063364982605,는,는:2894; 하여:2830; 라:2495; 하고:2340; 하니:1801; 은:1490; 이:1389; 니:1291; 요:1032; 하야:902
7,p7,24429,12.788079741291089,-0.06590484827756882,-0.025371413677930832,라,라:3998; 하여:3926; 하니:3758; 하고:2895; 는:2221; 니:1870; 하야:1732; 이면:1598; 이라:1426; 이:1392
8,p8,49278,9.14201063354844,-0.07288608700037003,0.11060240119695663,하야,하야:10648; 하고:9728; 하니:6837; 에:5429; 는:4792; 라:4382; 이:3304; 하여:2954; 은:2954; 이라:2314
9,p9,21633,15.069569638977487,-0.08344794064760208,-0.06057019159197807,하여,하여:3569; 라:3433; 하고:3282; 하니:2825; 는:2529; 니:1826; 에:1649; 이:1438; 은:1375; 요:1212
10,p10,20661,6.006485649290934,-0.08105608075857162,0.1693955659866333,하고,하고:3776; 하여:3442; 하야:2977; 에:2740; 하니:2490; 이:2062; 는:1742; 라:1725; 은:1022; 니:750
11,p11,16449,6.152349686911059,-0.043624404817819595,0.22108690440654755,하여,하여:4387; 하고:4255; 하야:2534; 하니:2368; 에:1474; 이:1218; 라:1030; 는:883; 하다:737; 하며:654
12,p12,19702,3.0859811186681556,-0.0332733616232872,0.3520424962043762,에,에:4340; 하야:3828; 하고:3684; 하니:3661; 하다:3015; 이:2613; 하여:2386; 라:1028; 한대:689; 는:557
13,p13,20484,14.504003124389767,-0.06279397755861282,-0.5627456307411194,은,은:6997; 는:6618; 라:5486; 요:3051; 니:2171; 이요:1774; 이니:797; 이:774; 이라:756; 에:718
14,p14,17009,4.868011052971956,-0.08137885481119156,0.08703432232141495,하여,하여:2439; 하고:2267; 에:1911; 하니:1906; 라:1669; 이:1363; 하야:1330; 는:1019; 은:838; 니:736
15,p15,17943,10.940199520704454,-0.10557278245687485,0.1147138774394989,하니,하니:2450; 이:2208; 하고:1831; 에:1790; 라:1677; 는:1658; 하여:1641; 하야:1373; 은:1082; 한대:682
