클러스터,TAM범주,건수,비율
4,추측 양태(Epistemic),1009,7.717607465198103
4,당위 양태(Deontic),5890,45.05124674927337
4,의문 서법(Interrogative),1125,8.604864616796695
4,서술 서법(Declarative),4338,33.180357962368056
4,회상상(Retrospective),712,5.4459232063637755
15,당위 양태(Deontic),6085,39.99868533491093
15,서술 서법(Declarative),5291,34.77946493130875
15,회상상(Retrospective),1057,6.948004995727339
15,추측 양태(Epistemic),1378,9.058042463682376
15,의문 서법(Interrogative),1402,9.215802274370605
3,추측 양태(Epistemic),203,2.3845882767532007
3,의문 서법(Interrogative),306,3.59450252554916
3,당위 양태(Deontic),5577,65.51157053917538
3,서술 서법(Declarative),2393,28.1099494890168
3,회상상(Retrospective),34,0.39938916950546227
8,당위 양태(Deontic),6354,55.09885535900104
8,의문 서법(Interrogative),304,2.6361429066944155
8,서술 서법(Declarative),4357,37.78182448838016
8,추측 양태(Epistemic),464,4.023586541796739
8,회상상(Retrospective),53,0.4595907041276448
10,당위 양태(Deontic),4594,40.07327285415213
10,서술 서법(Declarative),3758,32.78087927424983
10,추측 양태(Epistemic),1463,12.76168876482903
10,의문 서법(Interrogative),1287,11.226448011165386
10,회상상(Retrospective),362,3.157711095603629
13,당위 양태(Deontic),5272,50.061722533472604
13,서술 서법(Declarative),4093,38.866204538980156
13,추측 양태(Epistemic),492,4.671920995157155
13,의문 서법(Interrogative),487,4.624442123255151
13,회상상(Retrospective),187,1.775709809134935
7,당위 양태(Deontic),4473,44.25207756232687
7,서술 서법(Declarative),3542,35.041551246537395
7,회상상(Retrospective),1116,11.040759794222398
7,의문 서법(Interrogative),473,4.679461812425802
7,추측 양태(Epistemic),504,4.986149584487535
1,당위 양태(Deontic),4910,48.85086061088449
1,서술 서법(Declarative),3473,34.55377574370709
1,추측 양태(Epistemic),831,8.267834046363545
1,의문 서법(Interrogative),783,7.790269624912945
1,회상상(Retrospective),54,0.5372599741319272
11,회상상(Retrospective),773,8.723620358875973
11,당위 양태(Deontic),4133,46.642591129669334
11,서술 서법(Declarative),3188,35.977880600383706
11,추측 양태(Epistemic),453,5.112289809276605
11,의문 서법(Interrogative),314,3.5436181017943795
14,당위 양태(Deontic),3712,67.5892206846322
14,서술 서법(Declarative),1637,29.806991988346688
14,의문 서법(Interrogative),95,1.7297887836853605
14,추측 양태(Epistemic),33,0.6008739985433357
14,회상상(Retrospective),15,0.2731245447924253
0,당위 양태(Deontic),3385,41.11502489979351
0,서술 서법(Declarative),2892,35.126928215717236
0,추측 양태(Epistemic),853,10.360743349933196
0,의문 서법(Interrogative),843,10.239280942548282
0,회상상(Retrospective),260,3.1580225920077734
9,회상상(Retrospective),377,5.007305086996945
9,당위 양태(Deontic),3431,45.570460884579624
9,서술 서법(Declarative),2815,37.38876344800106
9,추측 양태(Epistemic),423,5.618275999468721
9,의문 서법(Interrogative),483,6.415194580953646
12,당위 양태(Deontic),2851,46.30501867792756
12,서술 서법(Declarative),2181,35.42309566347247
12,회상상(Retrospective),137,2.2251096313139516
12,추측 양태(Epistemic),406,6.594120513236966
12,의문 서법(Interrogative),582,9.452655514049049
6,당위 양태(Deontic),3001,51.82179243653946
6,서술 서법(Declarative),2326,40.16577447763771
6,회상상(Retrospective),84,1.4505266793299947
6,추측 양태(Epistemic),203,3.505439475047487
6,의문 서법(Interrogative),177,3.056466931445346
5,당위 양태(Deontic),1393,46.52638610554442
5,서술 서법(Declarative),1033,34.50233800935204
5,회상상(Retrospective),250,8.3500334001336
5,의문 서법(Interrogative),157,5.243820975283901
5,추측 양태(Epistemic),161,5.377421509686039
2,당위 양태(Deontic),2,100.0
