번역문TAM,현토TAM,건수,비율
과거/완료,당위양태(-라),33336,74.54549520338112
과거/완료,서술서법(-니라),25855,57.816588027460355
과거/완료,회상상(-러-),4840,10.823140052326751
과거/완료,의문서법,4540,10.152284263959391
과거/완료,추측양태(-리-),4298,9.611127261343052
현재/상태,당위양태(-라),41562,82.09129155227242
현재/상태,서술서법(-니라),27768,54.846036856347155
현재/상태,추측양태(-리-),4503,8.89411207015742
현재/상태,의문서법,3704,7.3159651583084795
현재/상태,회상상(-러-),1502,2.9666791759663433
추측/가능성,당위양태(-라),24995,82.75393987551317
추측/가능성,서술서법(-니라),16577,54.88345914448417
추측/가능성,추측양태(-리-),5420,17.944643093629985
추측/가능성,의문서법,4450,14.733147927426831
추측/가능성,회상상(-러-),798,2.642034167659913
의문,당위양태(-라),7012,63.11999279863174
의문,의문서법,6594,59.35727788279773
의문,서술서법(-니라),4758,42.83013772616797
의문,추측양태(-리-),4733,42.60509496804393
의문,회상상(-러-),468,4.212800432082096
회상,당위양태(-라),2372,84.71428571428572
회상,서술서법(-니라),1930,68.92857142857143
회상,추측양태(-리-),729,26.035714285714285
회상,의문서법,528,18.857142857142858
회상,회상상(-러-),285,10.178571428571429
