도서명,시제,건수,비율
논어집주,현재,3463,42.07265216863079
논어집주,미래/추측,2315,28.12537966225246
논어집주,의문,541,6.572712914591179
논어집주,과거,1912,23.229255254525576
당송팔대가문초구양수1,과거,484,20.578231292517007
당송팔대가문초구양수1,현재,1383,58.80102040816326
당송팔대가문초구양수1,미래/추측,253,10.756802721088436
당송팔대가문초구양수1,의문,232,9.863945578231291
당송팔대가문초구양수2,과거,627,27.11937716262976
당송팔대가문초구양수2,현재,960,41.522491349480966
당송팔대가문초구양수2,미래/추측,410,17.73356401384083
당송팔대가문초구양수2,의문,315,13.624567474048444
당송팔대가문초구양수3,과거,1100,48.161120840630474
당송팔대가문초구양수3,현재,688,30.122591943957964
당송팔대가문초구양수3,미래/추측,329,14.404553415061297
당송팔대가문초구양수3,의문,167,7.311733800350264
당송팔대가문초구양수4,현재,620,30.66271018793274
당송팔대가문초구양수4,과거,1073,53.06627101879327
당송팔대가문초구양수4,미래/추측,204,10.089020771513352
당송팔대가문초구양수4,의문,125,6.181998021760633
당송팔대가문초구양수5,과거,1355,54.15667466027179
당송팔대가문초구양수5,현재,646,25.819344524380494
당송팔대가문초구양수5,미래/추측,299,11.950439648281375
당송팔대가문초구양수5,의문,202,8.073541167066347
당송팔대가문초구양수6,현재,626,27.89661319073084
당송팔대가문초구양수6,미래/추측,234,10.427807486631016
당송팔대가문초구양수6,과거,1216,54.188948306595364
당송팔대가문초구양수6,의문,168,7.4866310160427805
당송팔대가문초소순1,현재,1223,43.29203539823009
당송팔대가문초소순1,미래/추측,573,20.283185840707965
당송팔대가문초소순1,의문,282,9.982300884955752
당송팔대가문초소순1,과거,747,26.442477876106196
당송팔대가문초소식2,현재,1102,45.51838083436596
당송팔대가문초소식2,미래/추측,424,17.51342420487402
당송팔대가문초소식2,의문,313,12.928541924824453
당송팔대가문초소식2,과거,582,24.03965303593556
당송팔대가문초소식3,현재,537,34.46726572528883
당송팔대가문초소식3,미래/추측,429,27.535301668806163
당송팔대가문초소식3,의문,153,9.82028241335045
당송팔대가문초소식3,과거,439,28.177150192554556
당송팔대가문초소식4,과거,404,25.281602002503128
당송팔대가문초소식4,현재,770,48.18523153942428
당송팔대가문초소식4,미래/추측,237,14.831038798498122
당송팔대가문초소식4,의문,187,11.702127659574469
당송팔대가문초소철1,과거,584,26.76443629697525
당송팔대가문초소철1,현재,1094,50.13748854262145
당송팔대가문초소철1,미래/추측,277,12.694775435380384
당송팔대가문초소철1,의문,227,10.403299725022915
당송팔대가문초소철2,과거,779,42.0399352401511
당송팔대가문초소철2,현재,597,32.21802482460874
당송팔대가문초소철2,미래/추측,349,18.834322719913654
당송팔대가문초소철2,의문,128,6.907717215326498
당송팔대가문초소철3,현재,814,52.34726688102894
당송팔대가문초소철3,과거,426,27.395498392282956
당송팔대가문초소철3,미래/추측,171,10.996784565916398
당송팔대가문초소철3,의문,144,9.260450160771704
당송팔대가문초왕안석1,과거,644,26.146975233455137
당송팔대가문초왕안석1,현재,1132,45.96021112464474
당송팔대가문초왕안석1,미래/추측,395,16.03735282176208
당송팔대가문초왕안석1,의문,292,11.855460820138044
당송팔대가문초왕안석2,과거,1255,50.401606425702816
당송팔대가문초왕안석2,미래/추측,393,15.783132530120481
당송팔대가문초왕안석2,의문,202,8.112449799196787
당송팔대가문초왕안석2,현재,640,25.702811244979916
당송팔대가문초유종원1,과거,570,28.628829733802107
당송팔대가문초유종원1,현재,873,43.84731290808639
당송팔대가문초유종원1,미래/추측,296,14.866901054746359
당송팔대가문초유종원1,의문,252,12.656956303365144
당송팔대가문초유종원2,과거,830,37.28661275831087
당송팔대가문초유종원2,현재,855,38.40970350404312
당송팔대가문초유종원2,미래/추측,311,13.971248876909254
당송팔대가문초유종원2,의문,230,10.332434860736747
당송팔대가문초증공1,과거,1029,32.3992443324937
당송팔대가문초증공1,현재,1313,41.34130982367758
당송팔대가문초증공1,미래/추측,515,16.21536523929471
당송팔대가문초증공1,의문,319,10.044080604534004
당송팔대가문초한유1,과거,482,26.77777777777778
당송팔대가문초한유1,현재,824,45.77777777777778
당송팔대가문초한유1,의문,212,11.777777777777777
