현토,시제,건수,비율
리오,현재,800,22.93577981651376
리오,미래/추측,1084,31.077981651376145
리오,의문,1083,31.049311926605505
리오,과거,521,14.936926605504588
라,과거,10455,21.16139740112537
라,현재,24154,48.88879893130389
라,미래/추측,12971,26.253896287900254
라,의문,1826,3.6959073796704858
니라,과거,1017,35.324765543591525
니라,현재,1159,40.257033692254254
니라,미래/추측,547,18.999652657172632
니라,의문,156,5.418548106981591
인저,과거,85,22.546419098143236
인저,현재,149,39.52254641909814
인저,미래/추측,126,33.42175066312997
인저,의문,17,4.509283819628647
니,과거,302,16.529830322933773
니,현재,894,48.93267651888342
니,미래/추측,462,25.287356321839084
니,의문,169,9.250136836343732
하니,미래/추측,512,14.377983712440326
하니,의문,251,7.0485818590283635
하니,과거,1425,40.01684919966302
하니,현재,1373,38.55658522886829
아,과거,902,17.21045601984354
아,현재,1309,24.976149589772945
아,미래/추측,1458,27.819118488838008
아,의문,1572,29.994275901545507
니이다,과거,806,25.211135439474507
니이다,현재,1870,58.49233656553019
니이다,의문,252,7.882389740381608
니이다,미래/추측,269,8.4141382546137
이나,현재,107,47.55555555555556
이나,미래/추측,33,14.666666666666666
이나,과거,75,33.33333333333333
이나,의문,10,4.444444444444445
이리오,과거,200,15.174506828528072
이리오,미래/추측,406,30.804248861911987
이리오,의문,406,30.804248861911987
이리오,현재,306,23.21699544764795
이니라,현재,307,35.656213704994194
이니라,미래/추측,181,21.022067363530777
이니라,의문,55,6.3879210220673635
이니라,과거,318,36.933797909407666
이라,과거,4593,31.281073350132804
이라,현재,6654,45.31771436354968
이라,미래/추측,2946,20.06401961452019
이라,의문,490,3.3371926717973164
하나니,현재,213,51.69902912621359
하나니,미래/추측,101,24.514563106796118
하나니,의문,38,9.223300970873787
하나니,과거,60,14.563106796116504
리라,과거,256,23.65988909426987
리라,현재,431,39.83364140480592
리라,미래/추측,323,29.852125693160815
리라,의문,72,6.654343807763401
이러니,과거,304,58.80077369439072
이러니,현재,159,30.754352030947775
이러니,미래/추측,35,6.769825918762089
이러니,의문,19,3.67504835589942
로라,과거,131,36.08815426997245
로라,현재,125,34.43526170798898
로라,의문,45,12.396694214876034
로라,미래/추측,62,17.079889807162534
하리라,현재,198,35.869565217391305
하리라,미래/추측,165,29.891304347826086
하리라,의문,35,6.340579710144928
하리라,과거,154,27.898550724637683
하다,현재,1498,23.08166409861325
하다,미래/추측,614,9.460708782742682
하다,의문,226,3.4822804314329736
하다,과거,4152,63.9753466872111
라하시니,과거,23,23.46938775510204
라하시니,현재,43,43.87755102040816
라하시니,의문,9,9.183673469387756
라하시니,미래/추측,23,23.46938775510204
하라,현재,279,37.80487804878049
하라,미래/추측,155,21.00271002710027
하라,과거,273,36.99186991869919
하라,의문,31,4.200542005420054
시니라,과거,33,26.190476190476193
시니라,현재,44,34.92063492063492
시니라,미래/추측,40,31.746031746031743
시니라,의문,9,7.142857142857142
이요,현재,215,54.70737913486005
이요,미래/추측,64,16.28498727735369
이요,과거,99,25.190839694656486
이요,의문,15,3.816793893129771
하니라,과거,1337,54.70540098199672
하니라,현재,724,29.623567921440262
하니라,미래/추측,315,12.888707037643208
하니라,의문,68,2.7823240589198037
러니,과거,325,58.98366606170599
러니,미래/추측,46,8.348457350272232
러니,의문,18,3.2667876588021776
러니,현재,162,29.401088929219597
리니,현재,54,46.95652173913044
리니,미래/추측,33,28.695652173913043
리니,의문,15,13.043478260869565
리니,과거,13,11.304347826086957
하여,과거,164,46.72364672364672
하여,현재,129,36.75213675213676
하여,의문,15,4.273504273504273
하여,미래/추측,43,12.250712250712251
이라하니,과거,222,38.275862068965516
이라하니,현재,224,38.62068965517241
이라하니,미래/추측,87,15.0
이라하니,의문,47,8.103448275862068
로다,미래/추측,122,19.18238993710692
로다,의문,61,9.59119496855346
로다,현재,231,36.32075471698113
로다,과거,222,34.90566037735849
요,과거,230,24.185068349106203
요,현재,496,52.15562565720294
요,미래/추측,197,20.715036803364878
요,의문,28,2.9442691903259726
