original,frequency,normalized_basic,normalized_tense,has_tense,tense_type,tense_morphemes,morphemes,info_loss
인댄,652,인댄,인댄,False,,,[],False
이면,8442,면,면,False,,,[],False
리오,2667,리오,리오,False,,,[],False
이라하시니,128,라하시니,라하시니,False,,,[],False
라야,293,라야,라야,False,,,[],False
이니라,1455,니라,니라,False,,,[],False
아,5187,아,아,False,,,[],False
이나,5309,나,나,False,,,[],False
라,59270,라,라,False,,,[],False
이요,8277,요,요,False,,,[],False
이,21711,가,가,False,,,[],False
으로,3175,로,로,False,,,[],False
하니,34332,하니,하니,False,,,[],False
하노라,827,하노라,하노라,False,,,[],False
니라,5431,니라,니라,False,,,[],False
하고,40828,하고,하고,False,,,[],False
어늘,4094,어늘,어늘,False,,,[],False
은,26773,는,는,False,,,[],False
인저,538,인저,인저,False,,,[],False
하되,902,하되,하되,False,,,[],False
는,36032,는,는,False,,,[],False
니,14154,니,니,False,,,[],False
이리오,960,리오,리오,False,,,[],False
요,12606,요,요,False,,,[],False
하여,30844,하여,하여,False,,,[],False
나,3423,나,나,False,,,[],False
이라,20040,라,라,False,,,[],False
에,27299,에,에,False,,,[],False
러시니,58,러시니,러시니,False,,,[],False
로되,2070,로되,로되,False,,,[],False
이니,7495,니,니,False,,,[],False
라하니라,950,라하니라,라하니라,False,,,[],False
하사,1065,하사,하사,False,,,[],False
하소서,662,하소서,하소서,False,,,[],False
하신대,88,하신대,하신대,False,,,[],False
러니,2187,러니,러니,False,,,[],False
이로다,269,로다,로다,False,,,[],False
오,2776,오,오,False,,,[],False
니이다,4110,니이다,니이다,False,,,[],False
이어늘,3250,어늘,어늘,False,,,[],False
여,468,여,여,False,,,[],False
가,4300,가,가,False,,,[],False
시니라,305,시니라,시니라,False,,,[],False
하며,5913,하며,하며,False,,,[],False
잇고,167,잇고,잇고,False,,,[],False
도,1004,도,도,False,,,[],False
며,887,며,며,False,,,[],False
이라도,1082,라도,라도,False,,,[],False
이라하니,1821,라하니,라하니,False,,,[],False
이어든,530,어든,어든,False,,,[],False
하니라,4047,하니라,하니라,False,,,[],False
잇가,985,잇가,잇가,False,,,[],False
하나,99,하나,하나,False,,,[],False
에는,105,에는,에는,False,,,[],False
라하시고,57,라하시고,라하시고,False,,,[],False
로,11241,로,로,False,,,[],False
하시니,1535,하시니,하시니,False,,,[],False
로다,1080,로다,로다,False,,,[],False
라하여,235,라하여,라하여,False,,,[],False
이여,120,여,여,False,,,[],False
면,8163,면,면,False,,,[],False
하나니,1269,하나니,하나니,False,,,[],False
을,2353,를,를,False,,,[],False
와,1481,와,와,False,,,[],False
를,2912,를,를,False,,,[],False
라하시니,245,라하시니,라하시니,False,,,[],False
라도,1175,라도,라도,False,,,[],False
로라,463,로라,로라,False,,,[],False
어니와,675,어니와,어니와,False,,,[],False
시니,111,시니,시니,False,,,[],False
리라,1357,리라,리라,False,,,[],False
하면,2327,하면,하면,False,,,[],False
리이다,562,리이다,리이다,False,,,[],False
라하니,2265,라하니,라하니,False,,,[],False
하리이다,267,하리이다,하리이다,False,,,[],False
이러니,1999,러니,러니,False,,,[],False
하여는,524,하여는,하여는,False,,,[],False
이어시늘,91,어시늘,어시늘,False,,,[],False
로이다,83,로이다,로이다,False,,,[],False
호라,86,호라,호라,False,,,[],False
하리라,658,하리라,하리라,False,,,[],False
하다,9623,하다,하다,False,,,[],False
한대,3273,한대,한대,False,,,[],False
어든,824,어든,어든,False,,,[],False
하라,1188,하라,하라,False,,,[],False
리니,510,리니,리니,False,,,[],False
할새,1037,할새,할새,False,,,[],False
이라하고,661,라하고,라하고,False,,,[],False
이어니와,239,어니와,어니와,False,,,[],False
이며,520,며,며,False,,,[],False
컨대,701,컨대,컨대,False,,,[],False
론,69,론,론,False,,,[],False
컨댄,52,컨댄,컨댄,False,,,[],False
언정,58,언정,언정,False,,,[],False
하시고,747,하시고,하시고,False,,,[],False
이어니,52,어니,어니,False,,,[],False
이로되,1106,로되,로되,False,,,[],False
라가,928,라가,라가,False,,,[],False
하야,28587,하야,하야,False,,,[],False
하라하니,69,하라하니,하라하니,False,,,[],False
하얀,354,하얀,하얀,False,,,[],False
러라,792,러라,러라,False,,,[],False
하노이다,458,하노이다,하노이다,False,,,[],False
호리라,122,호리라,호리라,False,,,[],False
라하야늘,142,라하야늘,라하야늘,False,,,[],False
일새,650,일새,일새,False,,,[],False
호되,1340,호되,호되,False,,,[],False
과,1833,와,와,False,,,[],False
온,144,온,온,False,,,[],False
이라한대,104,라한대,라한대,False,,,[],False
라하고,1213,라하고,라하고,False,,,[],False
이로라,85,로라,로라,False,,,[],False
하라하고,59,하라하고,하라하고,False,,,[],False
이러라,507,러라,러라,False,,,[],False
라하다,424,라하다,라하다,False,,,[],False
이온,154,온,온,False,,,[],False
이라하다,197,라하다,라하다,False,,,[],False
로대,159,로대,로대,False,,,[],False
일새라,307,일새라,일새라,False,,,[],False
이라하야늘,84,라하야늘,라하야늘,False,,,[],False
하야도,98,하야도,하야도,False,,,[],False
이라가,841,라가,라가,False,,,[],False
리오하니,65,리오하니,리오하니,False,,,[],False
라하야,223,라하야,라하야,False,,,[],False
라하더니,75,라하더니,라하더니,False,,,[],False
아하니,143,아하니,아하니,False,,,[],False
라한대,196,라한대,라한대,False,,,[],False
이라하야,216,라하야,라하야,False,,,[],False
오하니,130,오하니,오하니,False,,,[],False
히,516,히,히,False,,,[],False
호니,178,호니,호니,False,,,[],False
아하고,145,아하고,아하고,False,,,[],False
이로대,71,로대,로대,False,,,[],False
리오하고,73,리오하고,리오하고,False,,,[],False
인대,68,인대,인대,False,,,[],False
이라야,242,라야,라야,False,,,[],False
하리니,821,하리니,하리니,False,,,[],False
이오,463,오,오,False,,,[],False
이라하니이다,105,라하니이다,라하니이다,False,,,[],False
이니이다,1913,니이다,니이다,False,,,[],False
하니이다,984,하니이다,하니이다,False,,,[],False
엔,1259,엔,엔,False,,,[],False
