cluster,entropy,dominant_genre,dominant_pct,size
0,1.2657800303916906,集_산문,63.574770124213586,6199
1,1.6660065413117455,集_산문,35.93150280484204,3387
2,1.3344225058009938,經_삼경,32.826086956521735,5980
3,1.4275937311628493,集_산문,52.156980227681245,6676
4,1.5125499995834768,經_삼경,41.96979366092321,4701
5,1.666876715184466,集_산문,41.110475100171726,8735
6,1.4409197091731814,經_사서,43.67196367763905,3524
7,1.3637802119815299,經_춘추,44.18181818181818,2750
8,1.3321375545462026,經_삼경,55.553140621604,4601
9,1.2199313387608386,集_산문,66.7246881346098,6894
10,0.9631810263587414,經_삼경,66.97467488021903,5844
11,1.4764248398542599,集_산문,33.68320610687023,5240
12,1.6463922926391563,集_산문,40.13292433537832,5868
13,1.1623012727398359,經_삼경,64.31118314424636,6170
14,1.1335933420929134,集_산문,67.55668257756562,6704
15,1.06096054230028,史,65.56745182012847,4670
