book,문단식별자,문장식별자,원문,번역문,marker,llm_judgment,marker_type,analysis_level
춘추좌씨전5,312,1616,善亦如之하야 德遠而後興하나니라,선행(善行)도 이와 같아서 덕(德)이 멀리에 전파(傳播)된 뒤에야 흥성(興盛)합니다.”고 하였다.,니라,True,니라,Level2
당송팔대가문초소식5,13,42,孔子聞之하시고 謂子産仁人이라하시니라,공자(孔子)께서 이 말을 들으시고 말씀하시기를 “자산(子産)은 인(仁)한 사람이다.”라고 칭찬하셨다.,니라,True,니라,Level2
주역전의(상),127,639,若他書則眞是實이니 孝悌는 便是孝悌요 仁은 便是仁이어니와 易中엔 多有不可曉處니라,"다른 책으로 말하면 참으로 진실한 것이어서 효제(孝悌)는 곧 효제(孝悌)이고 인(仁)은 곧 인(仁)이나, 역(易) 가운데에는 알 수 없는 부분이 많이 있다.",니라,True,니라,Level2
당송팔대가문초한유3,180,1034,高固奇士로 自方阿衡太師나 世莫能用吾言이요 再試吏나 再怒하야 發狂投江水하니라,"후고(侯高)는 본래 기사(奇士)로 스스로를 아형(阿衡)(이윤(伊尹))과 태사(太師)(여망(呂望))에 비유하였으나 세상에 누구도 그의 말을 채납(採納)하지 않았고, 두 번 관리(官吏)가 되었으나 두 번 견책(譴責)［怒］을 받자 광증(狂症)이 발작해 강물에 빠져 죽었다.",니라,True,니라,Level2
당송팔대가문초소식2,536,2286,使隱而果攝이면 則春秋에 不書爲公이니 春秋에 書爲公이면 則隱公非攝이 無疑也라하니라,"만일 은공(隱公)이 섭위했다면 《춘추(春秋)》에 공(公)이라고 쓰지 않았을 것이며, 《춘추(春秋)》에 공(公)이라고 썼다면 은공(隱公)은 섭위(攝位)한 것이 아님을 의심할 것이 없다.”라고 하였다.",니라,True,니라,Level2
당송팔대가문초소철3,253,1383,船行至新하니 會有蠻隷竊其槖裝以逃라가 獲於新州하고 谷從之至新이라가 遂病死니라,"그가 탄 배가 신주(新州)에 이르자, 마침 만예(蠻隷)가 있어 그의 행장을 훔쳐 도망치다가 신주(新州)에서 잡혔고, 소곡(巢谷)은 그를 쫓아 신주(新州)에 이르렀다가 드디어 병들어 죽었다.",니라,True,니라,Level2
시경집전(하),1074,2351,故로 君子思古之武王焉하니라,그러므로 옛날의 무왕(武王)을 그리워한 것이다.,니라,True,니라,Level2
당송팔대가문초소식1,369,1709,覽此而不爲嗚咽流涕者는 非人情也니라,이 글을 보고서도 오열하고 눈물을 흘리지 않는 자는 인정(人情)이 없는 것이다.,니라,True,니라,Level2
시경집전(하),281,626,又曰 非我戕汝라 乃下供上役之常禮耳라하니라,"또 말하기를 “내가 그대를 해치는 것이 아니라, 이것은 바로 아랫사람이 윗사람에게 부역을 바치는 떳떳한 예이다.”라고 한다.",니라,True,니라,Level2
맹자집주,2159,6664,故로 恐其亂德이니라,그러므로 그 덕(德)을 어지럽힐까 두려워하신 것이다.,니라,True,니라,Level2
당송팔대가문초유종원2,255,1483,麋至死不悟하니라,그러나 고라니는 죽을 때까지 그 까닭을 깨닫지 못하였다.,니라,True,니라,Level2
당송팔대가문초소순1,321,2016,有機也면 雖惡이라도 亦或濟하고 無機也면 雖善이라도 亦不克하니라,"기밀(機密)이 있으면 악(惡)이라 할지라도 때로는 이룰 수가 있고, 기밀(機密)이 없으면 선(善)이라 할지라도 이룰 수가 없다.",니라,True,니라,Level2
주역전의(하),1390,4216,隨風이 巽이니 君子以하여 申命行事하나니라,"“따르는 바람이 손(巽)이니, 군자(君子)가 보고서 명령을 거듭하고 정사(政事)를 행한다.”",니라,True,니라,Level2
당송팔대가문초소철2,138,793,故로 開元元和之初에 其治庶幾於貞觀이니라,그러므로 개원(開元)과 원화(元和)의 초기에 그 치정(治政)이 거의 정관(貞觀)에 가까웠다.,니라,True,니라,Level2
자치통감강목5,83,187,復爲長信少府라가 遷太子太傅러니 年九十에 卒하니 太后素服五日하여 以報師傅之恩하니라,"다시 장신궁(長信宮) 소부(少府)가 되었다가 태자태부(太子太傅)로 옮겼는데 나이 90세에 죽으니, 태후(太后)가 5일 동안 소복을 입어서 사부(師傅)의 은혜에 보답하였다.",니라,True,니라,Level2
주역전의(하),162,466,大壯은 利貞하니라,대장(大壯)은 정(貞)함이 이롭다.,니라,True,니라,Level2
맹자집주,161,630,包含徧覆하여 無不周徧은 保天下之氣象也요 制節謹度하여 不敢縱逸은 保一國之規模也니라,"널리 포함하고 두루 덮어주어 두루 하지 않음이 없음은 천하(天下)를 보전하는 기상(氣象)이요, 예절(禮節)을 따르고 법도(法度)를 삼가서 감히 방종(放縱)하고 안일(安逸)하지 못함은 일국(一國)을 보전하는 규모(規模)이다.",니라,True,니라,Level2
맹자집주,629,2184,故로 引之也시니라,그러므로 이것을 인용하신 것이다.,니라,True,니라,Level2
중용장구,24,85,是以로 君子旣常戒懼하고 而於此에 尤加謹焉하니 所以遏人欲於將萌하여 而不使其潛滋暗長於隱微之中하여 以至離道之遠也니라,"이러므로 군자(君子)가 이미 항상 계구(戒懼)하고, 이에 더욱 삼감을 가하는 것이니, 인욕(人慾)을 장차 싹틀 때에 막아서 은미(隱微)한 가운데에 속으로 불어나고 자라서 도(道)를 떠남이 멂에 이르지 않도록 하는 것이다.",니라,True,니라,Level2
당송팔대가문초소식3,86,313,多名言하니라,내용에 명언(名言)이 많다.,니라,False,니라,Level2
춘추좌씨전1,1044,3453,凡物不爲災면 不書니라,물(物)이 재해(災害)을 입지 않았으면 기록하지 않는다.,니라,True,니라,Level2
논어집주,670,2407,恭而無禮則勞하고 愼而無禮則葸하고 勇而無禮則亂하고 直而無禮則絞니라,"“공손하되 예(禮)가 없으면 수고롭고, 삼가되 예(禮)가 없으면 두렵고, 용맹스럽되 예(禮)가 없으면 혼란하고, 강직하되 예(禮)가 없으면 너무 급하다.”",니라,True,니라,Level2
당송팔대가문초한유3,286,1543,詹于時獨秀出하야 袞加敬愛하니 諸生皆推服하니라,이때 구양첨(歐陽詹)이 유독 출중하여 상곤(常袞)이 더욱 존경하고 사랑하니 제생(諸生)이 모두 존경해 감복하였다.,니라,True,니라,Level2
당송팔대가문초증공1,485,2715,推其徒子思來請記하여 遂來하니라,그리하여 그의 제자 자사(子思)를 보내 기문(記文)을 청하기로 하여 마침내 그가 찾아왔다.,니라,True,니라,Level2
당송팔대가문초소철2,179,1012,或曰 吳滅而晉亂은 此天命이요 非人事也어늘 而羊祜何罪焉고하니 吾應之曰 爲國當論人事니라,"어떤 이가 말하기를 “오(吳)나라가 멸망하고 진(晉)나라가 어지러운 것은 바로 하늘이 명한 것이고 사람이 한 일이 아니거늘, 양호(羊祜)가 무슨 죄인고?”라고 하기에 내가 응답하기를 “나라를 다스림에 있어서는 마땅히 사람이 한 일을 논해야 한다.",니라,True,니라,Level2
당송팔대가문초소식4,16,64,左氏之論이 得其正矣니라,그렇다면 좌씨(左氏)의 의논이 옳은 것이다.,니라,True,니라,Level2
당송팔대가문초소철2,306,1655,相地而征하니 山林川澤이 各致其時하고 陵阜陸墐이 各均其宜하고 邑鄕縣屬이 各立其正하니 擧齊國之地 如畫一之可數니라,"토지가 좋고 나쁜 것을 살펴서 등급을 나누어 세(稅)를 매기니, 산림(山林)과 천택(川澤)이 각각 적시에 이용되었고, 능부(陵阜)와 육근(陸墐)이 각각 적당하게 사용되었으며, 읍향(邑鄕)과 현속(縣屬)에 각각 행정관리를 세우니, 온 제(齊)나라 땅이 마치 줄을 그어놓은 듯이 잘 정돈되었다.",니라,True,니라,Level2
논어집주,1079,3546,夫子嘗曰 賜不幸言而中하니 是使賜多言也라하시니 聖人之不貴言也如是니라,"부자(夫子)께서 일찍이 말씀하시기를 ‘사(賜)는 불행히도 말을 하면 맞으니, 이것이 사(賜)로 하여금 말을 많게 하는 것이다.’하셨으니, 성인(聖人)께서 말을 귀하게 여기지 않으심이 이와 같았다.”",니라,True,니라,Level2
당송팔대가문초소철2,327,1793,自古其地에 多節俠死義者도 亦以此니 特存夫上之以詩書禮樂으로 相爲摩切者何如耳니라,"예부터 그 지방에 절조(節操)를 지키고 정의를 위해 죽은 자가 많은 것 역시 이 때문이었으니, 다만 윗자리에 있는 사람이 시서(詩書)와 예악(禮樂)으로써 어떻게 강마(講磨)하느냐에 달려 있을 뿐이다.",니라,True,니라,Level2
당송팔대가문초소식3,25,88,七人者는 皆自有以致敗亡이니 非不殺之過也니라,"위의 일곱 군주들은 모두 스스로 패망을 자초하였던 것이니, 일곱 사람을 죽이지 않은 잘못 때문에 패망한 것이 아니다.",니라,True,니라,Level2
맹자집주,1673,5488,禹之治水는 水之道也니라,우왕(禹王)이 물을 다스림은 물의 길을 따르신 것이다.”,니라,True,니라,Level2
당송팔대가문초한유3,33,190,徐城生公之父하니 曰洪이라 卒官涼之戶曹參軍하니라,서성현령이 공의 부친 정홍(鄭洪)을 낳으셨는데  양주(涼州)의 호조참군(戶曹參軍)으로 관직을 마치셨다.,니라,True,니라,Level2
당송팔대가문초한유3,193,1096,左人曰 是所謂大還者니 今三矣라하니라,"좌인(左人)(도사(道士))이 말하기를 ‘이것은 이른바 대환(大還)이란 것이니, 곧 죽게 될 것이다.’라고 하였다.”",니라,False,니라,Level2
시경집전(하),2300,5124,至於王職有闕失하여도 亦維仲山甫獨能補之하니 蓋惟大人然後能格君心之非니 未有不能自擧其德하고 而能補君之闕者也니라,"왕의 직책에 궐실(闕失)이 있음에 이르러도 오직 중산보(仲山甫)가 홀로 능히 보좌하니, 오직 대인(大人)인 뒤에야 인군(人君) 마음의 그릇된 것을 바로잡을 수가 있는 것이니, 스스로 그 덕(德)을 거행하지 못하고서 능히 인군(人君)의 잘못을 보좌한 자는 있지 않았다.",니라,True,니라,Level2
당송팔대가문초소철2,202,1160,帝亦疑之나 而崇行之愈力하고 蝗亦爲息이니라,"황제(皇帝) 또한 그 일을 의심하였으나 요숭(姚崇)은 더욱 힘써 행하였고, 황충(蝗蟲) 또한 멎었다.",니라,True,니라,Level2
